Name,FullAddress,Website,Email,Telefonnummer,Produktkategorien
Marinetorvet,"Grønlandsgade 16, 4690.0 Haslev, DK",https://www.marinetorvet.dk,info@marinetorvet.dk,+45 32 12 11 11,Tauwerk;Beschläge;Bootszubehör
Skive Bådbyggeri,"Fjordvej 35, 7800.0 Skive, DK",,,,Werften;Service/Repair;Kran
Lynæs Marinecenter,"Lynæshavnevej 13, 3390.0 Hundested, DK",https://www.lynaes-marinecenter.dk,soren@lynaes-marinecenter.dk,+45 47 94 01 02,Tauwerk;Beschläge;Bootszubehör
Kronborg Marine Bådudstyr,"Nordhavnsvej 9, 3000.0 Helsingør, DK",https://kronborgmarinebaadudstyr.dk/,kontakt@kronborgmarinebaadudstyr.dk,+45 49 20 00 44,Tauwerk;Beschläge;Bootszubehör
Lynettens Bådservice,"Refshalevej 200, 1432.0 København K, DK",https://www.baadservice.dk,lynettens@baadservice.dk,+45 32 57 61 06,Tauwerk;Beschläge;Bootszubehör
Skovshoved Bådeværft,"Skovshoved Havn 8, 2920.0 Charlottenlund, DK",https://skovshovedyachtvaerft.dk/,info@skovshovedyachtvaerft.dk,+45 39 63 23 15,Werften;Service/Repair;Kran
Paskram,"Bjernemarksvej 46B, 5700.0 Svendborg, DK",https://www.paskram.dk/,paskram@paskram.dk,+45 26 27 73 93,Segelmacher;Hydraulik
Bornholms Flådeservice,"Rebslagervej 1, 3770.0 Allinge, DK",http://www.bornholmsflaadeservice.dk/,info@b-flaadeservice.dk,+45 56 48 17 01,Tauwerk;Beschläge;Bootszubehör
Karstensens Skibsværft,"Vestre Strandvej 17, 9990.0 Skagen, DK",https://www.karstensens.dk/,drk@kaship.dk,+45 98 44 13 11,Werften;Service/Repair;Kran
Dansk Marine Center,"Stokagervej 23, 8240.0 Risskov, DK",https://danskmarinecenter.dk/,,+45 87 10 70 10,Werften;Service/Repair;Kran
Bådebygger Niels Løvstad,"Ejnar Mikkelsensvej 1, 3760.0 Gudhjem, DK",http://lovstad.dk,niels@lovstad.dk,+45 40 20 54 11,Werften;Service/Repair;Kran
John Mast,"Lunikvej 12, 2670.0 Greve, DK",https://www.johnmast.dk/,mail@johnmast.com,+45 43 90 56 00,Rigg;Tauwerk;Beschläge
Doylesails,"Skovshoved Havn 12, 2920.0 Charlottenlund, DK",https://www.doylesails.dk,info@doylesails.dk,+45 39 63 22 10,Segelmacher
Hal16,"Ny Kronborgvej 14, 3000.0 Helsingør, DK",https://mfs.dk/hal16/,,,Werften;Service/Repair;Kran
Sejl- og presenningsservice,"Sejlmagervej 2, 5960.0 Marstal, DK",https://sejlogpresenninger.dk/,kontakt@sejlogpresenninger.dk,+45 62 53 12 71,Segelmacher
UK Sailmakers,"Bakkegårdsvej 301, 3050.0 Humlebæk, DK",https://www.sails.dk,info@sails.dk,+45 45 86 68 20,Segelmacher
Resen Sails,"Tranevænget 52, 2605.0 Brøndby, DK",https://resensails.dk,info@resensails.dk,+45 70 77 70 71,Segelmacher
Sejlmager Hansen,"Herluf Trolles Gade 3, 1052.0 København K, DK",https://sejlmagerhansen.dk/,info@sejlmagerhansen.dk,+45 60 93 12 46,Segelmacher
Capenhagen Sails,"Uplandsgade 70, 2300.0 København S, DK",https://copenhagensails.dk/,peter@cphsails.dk,+45 23 60 12 14,Segelmacher
AFI Marine A/S,"Stavneagervej 13, 8250.0 Egå, DK",https://afi.dk/,shop@afi.dk,+45 86 12 43 66,Tauwerk;Beschläge;Bootszubehör
Unisafe,"Valseholmen 15-17, 2650.0 Hvidovre, DK",https://www.unisafe.dk/,info@unisafe.dk,+45 32 58 16 15,Tauwerk;Beschläge;Bootszubehör
Kragenæs Skibsproviantering,", , DK",http://www.k-s4943.dk/,,,Tauwerk;Beschläge;Bootszubehör
Hellers,", , DK",https://hellers.dk/,,+45 32503017,Tauwerk;Beschläge;Bootszubehör
Ullman Sails Denmark,", , DK",https://ullmansails.dk/,,,Motor;Segelmacher
Palby Marine,", , DK",https://www.palby.dk/,,,Tauwerk;Beschläge;Bootszubehör
Odden Bådeværft,", , DK",https://www.oddenbaade.com/,,,Werften;Service/Repair;Kran
Nordbjærgs Bådeværft,", , DK",http://nordbjaerg.dk/,,,Werften;Service/Repair;Kran;Tauwerk;Beschläge;Bootszubehör
Hundested Baadeværft,", , DK",https://www.hundestedbaadevaerft.com/,,,Werften;Service/Repair;Kran
Marineshoppen,", , DK",https://www.marineshoppenjuelsminde.dk,palle-marineshoppen@outlook.dk,,Tauwerk;Beschläge;Bootszubehör
X-Yachts,", , DK",https://www.x-yachts.com/,info@x-yachts.com,+45 74521022,Werften
Båd og Motor,", , DK",https://www.baad-motor.dk/,,,Motor;Tauwerk;Beschläge;Bootszubehör
Hvide Sande Shipyard,", , DK",https://hvsa.dk/,,,Werften;Service/Repair;Kran
Marinelageret,", , DK",https://marinelageret.dk/,,,Tauwerk;Beschläge;Bootszubehör
Søholm Yacht Service,", , DK",https://www.soeholmmarine.dk/,,,Werften;Service/Repair;Kran
MJ Værft Augustenborg I/S,", , DK",http://www.mj-vaerft.dk,,,Werften;Service/Repair;Kran
Bluebay Marine,", , DK",https://www.bluebay-marine.dk/,,,Tauwerk;Beschläge;Bootszubehör
Nordic Yacht Service,", , DK",https://nordicyachtservice.dk,,,Werften;Service/Repair;Kran
Orskov Yard - South,", , DK",https://www.orskov.dk/,,,Werften;Service/Repair;Kran
Oldenburger Yacht Club,", , DE",https://www.oyc.de/,,,Werften;Service/Repair;Kran
Bootsbau Herold,", , DE",https://www.bootsbau-herold.de,,,Werften;Tauwerk;Beschläge;Bootszubehör
Marscheider Maschinenbau GmbH,"Am Fischereihafen 10, 25761.0 Büsum, DE",https://www.marscheider-maschinenbau.de/,,,Werften;Service/Repair;Kran
Schiffsausrüster Sassnitz,"Hafenstraße 12H, 18546.0 Sassnitz, DE",https://www.schiffsausruester.net/,schiffsausruester@t-online.de,+49 38392 33134,Tauwerk;Beschläge;Bootszubehör
Siemer Jachtservice,", , DE",https://www.siemer-jachtservice.de,,,Werften;Service/Repair;Kran
Besmer Bootswerft,"Wernsdorfer Straße 26c, 12527.0 Berlin, DE",http://www.besmer-boote.de,,+49 30 6758032,Werften;Service/Repair;Kran
Marina Fehmarnsund - Bootswerft Schaich,", , DE",https://bootswerft-schaich.de/,,+49 4371 6713,Werften;Service/Repair;Kran
Yachtwerft Klemens,", , DE",https://www.yachtwerft-klemens.de/,info@yachtwerft-klemens.de,+49 4367 999077,Werften;Service/Repair;Kran
Marburger Bootswerft,"Am Schubstein 7, 35091.0 Cölbe, DE",http://marburger-bootswerft.de/,,,Werften;Service/Repair;Kran
Bootshop-Isselhorst,"Brockhagener Straße 284, 33649.0 Bielefeld, DE",https://www.bootshop-online.shop/de/,,+49 521 99997310,Tauwerk;Beschläge;Bootszubehör
Baltic Windsport,"Warnowufer 65.0, 18057.0 Rostock, DE",https://baltic-sport.de/index.php,,+493812009555,Tauwerk;Beschläge;Bootszubehör
EAGLE Catamarane / Catstadl,"Stadelner Straße 27.0, 91735.0 Muhr am See, DE",https://www.eagle-catamaran.de/,catstadl(ät)t-online.de,+49 9831 50 169,Tauwerk;Beschläge;Bootszubehör
USE Bootsservice,", , DE",http://www.use-bootsservice.de/,bootsbau@u-s-e.org,+49 30 677880125,Werften;Service/Repair;Kran
Zubehörshop BMK Yachthafen,", , DE",https://www.bmk-yachthafen.de/boot-und-equipment/zubehoershop/,bootszubehoer@bmk-yachthafen.de,+497543933220,Tauwerk;Beschläge;Bootszubehör
Deutsche Schlauchboot,"Angerweg 5.0, 37632.0 Eschershausen, DE",https://www.dwt-sgw.de/foerdernde-mitglieder/mitglieder-a-z/dsb-deutsche-schlauchboot-gmbh,markus.bolay@survitecgroup.com,+49 8230 700015,Werften;Sanitär
Gebrauchtboothandel Enno Schröder,", , DE",https://meinboot.eu/,,,Tauwerk;Beschläge;Bootszubehör
Bootscenter an der B1,"Berliner Straße 114.0, 14542.0 Werder (Havel), DE",https://bootscenter-b1.de/,,+49 3327 731731,Werften;Tauwerk;Beschläge;Bootszubehör
b'segeln,"Mehlbydiek 42.0, 24376.0 Kappeln, DE",https://www.bsegeln.com,info@b-segeln.de,+49 4642 925400,Segelmacher
Krüger & Till,"Unter den Linden 17.0, 14542.0 Werder (Havel), DE",https://www.wassersport-werder.de/,,,Tauwerk;Beschläge;Bootszubehör
Q.S. Worseck GmbH,", , DE",https://www.q-s-worseck.de/,,+49 3302 499870,Werften;Service/Repair;Kran
Lachmann Werft GbR,", , DE",https://www.lachmannwerft.de/,,,Motor;Werften;Service/Repair;Kran
Schiffswerft Barth GmbH,"Werftstraße 2c, 18356.0 Barth, DE",https://schiffswerft-barth.de/,info@barther-schiffswerft.de,+4938231 6840,Werften;Service/Repair;Kran
Barther Yachtservice GmbH,"Hafenstraße 28, 18356.0 Barth, DE",https://www.barther-yacht-service.de/,info@barther-yacht-service.de,+49 38231 274 0,Tauwerk;Beschläge;Bootszubehör
Bootscenter-Hohenwarte,", , DE",bootsschau.de,info@bootsschau.de,,Tauwerk;Beschläge;Bootszubehör
Steinlechner Bootswerft,", , DE",https://www.steinlechnerbootswerft.de/,,+49 8806 7621,Werften;Service/Repair;Kran
MVH Sportboottechnik,"An den Wiesen , 55218.0 Ingelheim am Rhein, DE",http://www.mvh-sportboottechnik.de/,,,Werften
Engelbrecht Yachtservice,"Adlergestell 350, 12489.0 Berlin, DE",https://engelbrecht-yachtservice.com/,,+49 30 23363030,Werften;Service/Repair;Kran
Bootscenter Menken,"Röntgenstraße 32, 86368.0 Gersthofen, DE",http://www.bootscenter-menken.de/,,,Tauwerk;Beschläge;Bootszubehör
Graf Bootsbau,", , DE",http://www.graf-bootsbau.de/,,+49 8263 383,Werften
FROG-Sails,"Heinrich-Hertz-Straße 10a, 24837.0 Schleswig, DE",https://frogsails.de,,+49 4621 3823496,Segelmacher
Yachtservice Edersee,"Uferstraße 3, 34513.0 Waldeck, DE",https://www.yachtservice-edersee.de,info@yachtservice-edersee.com,+49 56 34 994384,Tauwerk;Beschläge;Bootszubehör
Das Kanulädchen,"Virneburgstraße 8, 40764.0 Langenfeld, DE",https://daskanulaedchen.de/,info@daskanulaedchen.de,+49 2173 168225,Tauwerk;Beschläge;Bootszubehör
Lava Marine,"Raiffeisenstraße 38, 33175.0 Bad Lippspringe, DE",http://www.lavamarine.com,,+49 5252 970756,Werften
Yachtausrüstung Hamburg,"Rödingsmarkt 39, , DE",https://yachtausruestung-hh.de/,info@yachtausruestung-hamburg.de,+49 40 366717,Tauwerk;Beschläge;Bootszubehör
Bootswerft Schritt,"Mühlendamm 6, 18055.0 Rostock, DE",https://bootswerft-schritt.de/,,+49 381 21 507,Werften;Service/Repair;Kran;Tauwerk;Beschläge;Bootszubehör
Yachthafen Emmerich,", , DE",https://www.yhe.eu/,,+49 2822 4091,Werften;Service/Repair;Kran
Meidericher Schiffswerft,", , DE",https://www.meidericherschiffswerft.de/,,+49 203 449060,Werften;Service/Repair;Kran
VOLVO - Köln - Pannenbäcker,", , DE",http://www.bootreparatur.de,,+49 221 8303363,Motor;Werften;Service/Repair;Kran
Segelmacherei V. Matthias,"Klinkerfuesstraße 1a, 37073.0 Göttingen, DE",http://meinsegel.de/,,+49 551 20549258,Segelmacher
Maritime Technik Cuxhaven GmbH,"Kapitän-Alexander-Straße 50, , DE",https://mtcuxshop.de/,mtcux@t-online.de,+49 4721 665052,Tauwerk;Beschläge;Bootszubehör
CO-Segel Springer und Burmester GbR,"Goosstraat 1, 24376.0 Grödersby, DE",https://co-segel.de/,,+49 4642 4776,Segelmacher
Hauke Prohn Segelmacher,"Mühlenstraße 19a, 24376.0 Grödersby, DE",https://www.sonnensegelmacher.de/,,+49 4642 920894,Segelmacher
Alveus Bootsbau,"Fritz-Zubeil-Straße 68, 14482.0 Potsdam, DE",https://alveus-bootsbau.de/,,,Werften
AST – Advanced Sailing Technologies,"Fritz-Zubeil-Straße 68, 14482.0 Potsdam, DE",https://ast-yachts.com/,,,Werften
Roland steiner,", , DE",https://www.rolandsteiner-boote.de,,,Werften;Service/Repair;Kran
Werftladen,"Vilmnitzer Weg 19, 18581.0 Putbus, DE",https://vilm.de/,,+49 38 301 435,Tauwerk;Beschläge;Bootszubehör
Allboot,"Auenweg 173, 51063.0 Köln, DE",http://www.allboot.de,,+49 221 314511,Tauwerk;Beschläge;Bootszubehör
Münch-Werft,"Ahlerhof 20, 56112.0 Lahnstein, DE",https://www.muenchwerft.de/,info@muenchwerft.de,+49 151 23454504,Werften;Service/Repair;Kran
Bootsbau Wuthenow,", , DE",http://www.bootsbau-wuthenow.de,bootsbau.wuthenow@t-online.de,+49 38828 20914,Werften
Fünfseenwerft,", , DE",http://fuenfseenwerft.de/,,,Werften;Service/Repair;Kran
Michelsen-Werft,", , DE",http://www.michelsen-werft.de/,info@michelsen-werft.de,+49 7541 21886,Werften;Service/Repair;Kran
Werdin Schiffsausrüstung,"Zum Anleger 1, 32361.0 Preußisch Oldendorf, DE",https://www.oskar73.de,,+49 5742 920708,Werften
Gleich Eventtechnik,"Häfenweg 18, 76287.0 Rheinstetten, DE",https://eventtechnik-gleich.de/,m.gleich@eventtechnik-gleich.de,+49 721 1569340,Rigg;Tauwerk;Beschläge
Die Bootswerkstatt,", , DE",http://www.diebootswerkstatt.de/,die-bootswerkstatt@t-online.de,+49 89 8505956,Werften;Service/Repair;Kran
Caritas-Werft,", , DE",http://www.c-w-hannover.de/,,+49 511 70820,Werften
Kanu Shop Groß-Rohrheim,"Brahmsweg 6, 68649.0 Groß-Rohrheim, DE",https://www.kanutreff-ksgr.de/,ksgr.lerschi@t-online.de,+49 6245 905867,Tauwerk;Beschläge;Bootszubehör
Kanu-Schalles,"Philipp-Schnell-Straße 15, 60437.0 Frankfurt am Main, DE",https://www.kanu-schalles.de,info@kanu-schalles.de,+49 6101 49617,Tauwerk;Beschläge;Bootszubehör
Sea-Sports,"Am Lindenberg 1, 7745.0 Jena, DE",https://www.sea-sports.de/,service@sea-sports.de,+49 3641 634 97 34,Tauwerk;Beschläge;Bootszubehör
Hübner Bootsservice,", , DE",https://www.huebner-bootsservice.com/,huebnerbootsservice@web.de,+4975439669950,Werften;Service/Repair;Kran
Boots-Shop Schlegel,"Langenhorner Chaussee 198, 22415.0 Hamburg, DE",https://www.boots-shop-schlegel.com/,info@boots-shop-schlegel.de,+49 40 5323888,Tauwerk;Beschläge;Bootszubehör
Bootswerft Daniel Reich,"Poßmoorweg 38d, 22301.0 Hamburg, DE",http://www.bobbyreich.de/bootsreparaturen/,,+49 40 487824,Motor;Werften;Service/Repair;Kran
Segel Center Frankfurt,"Gutleutstraße 175, 60327.0 Frankfurt am Main, DE",https://www.segel-center-frankfurt.de,info@segel-center-frankfurt.de,+4969455372,Motor;Tauwerk;Beschläge;Bootszubehör
Yachticon,", , DE",https://www.ruegg-shop.de,,,Werften
Segelmacherei Tuchwerkstatt,"Salinenstraße 24, 17489.0 Greifswald, DE",https://tuchwerkstatt.de,ahoi@tuchwerkstatt.de,+49 3834 776 56 4,Segelmacher
Nordland Hansa,", , DE",http://www.nordland-hansa.de,,,Werften;Service/Repair;Kran
Manger,"Mergentheimer Straße 9, 97082.0 Würzburg, DE",http://www.bootsservice-wuerzburg.de/,info@bootsservice-wuerzburg.de,+49 931 3526698,Motor;Werften;Service/Repair;Kran
Bootsanlegestelle Ranaboot,"Schreberstraße 15, 4109.0 , DE",https://www.ranaboot.de/,,,Werften;Service/Repair;Kran
Allegro Handels GmbH,"Alemannenstraße 21, 67547.0 Worms, DE",https://www.allegro.de,,+49 6241 63085,Tauwerk;Beschläge;Bootszubehör
Hansa-Segel,"Segeberger Straße 62a, 23617.0 Stockelsdorf, DE",https://www.hansa-segel.de/,,,Segelmacher
UMS Boote Deutschland,", , DE",https://www.ums-boote.de/,Kontakt@UMS-Boote.de,+49 40 80007009,Tauwerk;Beschläge;Bootszubehör
