Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Vennekens,,,,,BE,,,https://www.jachtwerfvennekens.com/,Werften
Bateau Neptunia Commodore,,,,,BE,,,http://www.neptunia.com/,Tauwerk;Beschläge;Bootszubehör
Kayaks La Vanne,Rue Léon Henrard,10,5550,Alle,BE,,,,Tauwerk;Beschläge;Bootszubehör
Nautic Service,,,,,BE,,,,Werften
Victor Buyck Steel Construction,Industrieweg,44,9032,Gent,BE,,,,Werften
De Werf,,,,,BE,,+32 50 55 17 72;+32 56 21 25 36,,Werften;Service/Repair;Kran
Vancraynest,,,,,BE,,,,Segelmacher
Wittevrongel,Wenduinse Steenweg,10,,,BE,,,https://www.wittevrongel.be/,Tauwerk;Beschläge;Bootszubehör
North Sea Boating,,,,,BE,,,https://www.northseaboating.com/,Tauwerk;Beschläge;Bootszubehör
Seashop,Watersportlaan,7S,8620,Nieuwpoort,BE,info@seashop.be,+32 58 62 50 77,https://www.seashop.be,Tauwerk;Beschläge;Bootszubehör
Meuse et Sambre,Rue Reppe,20,,,BE,,,https://www.meusam.com,Werften;Service/Repair;Kran
Belgian Boat Service,,,,,BE,,,https://www.belgianboatservice.com/,Tauwerk;Beschläge;Bootszubehör
Belgium diving bvba,,,,,BE,,,,Werften;Service/Repair;Kran
Brugge Marine Center,Pathoekeweg,126,,,BE,,+32 50 31 35 87,https://bruggemarinecenter.com/,Tauwerk;Beschläge;Bootszubehör
Euro Boat nv,,,,,BE,,,,Tauwerk;Beschläge;Bootszubehör
Plaisance Eau d'Heure,,,,,BE,,+32 71 61 22 62,,Werften;Navigation/Instrumente
Fietsherstelzuil,,,,,BE,,,,Rigg;Tauwerk;Beschläge
Ship Support,Watersportlaan,5,8620,Nieuwpoort,BE,,,https://www.shipsupport.be,Tauwerk;Beschläge;Bootszubehör
Vankerkoven,,,,,BE,,,,Werften;Service/Repair;Kran;Anker/Deck
BaTo,,,,,BE,,+32 495 53 31 92,,Tauwerk;Beschläge;Bootszubehör
Chantier Naval de Rupelmonde,,,,,BE,,,,Werften;Service/Repair;Kran
Knuysen,Jan Baptist Pittoorsstraat,18,,,BE,,+32 3 355 21 70,https://www.knuysen.be/,Segelmacher
Navalia bvba,Havenstraat,"19,21",,,BE,info@navalia.be,+32 11 43 61 06,https://www.navalia.be/,Werften
Gardec,,,,,BE,,,,Werften;Service/Repair;Kran
Marine Technics,Werfkaai,43,,,BE,,+32 50 54 60 31,https://www.marine-technics.be/,Werften;Service/Repair;Kran
Jan Vandamme,Werfkaai,45,,,BE,info@scheepsbouw-vandamme.be,+32 50 37 58 50,https://scheepswerven-janvandamme.com,Werften;Service/Repair;Kran
Marina Yachting Center,Dokter Eduard Moreauxlaan,3,,,BE,,,,Tauwerk;Beschläge;Bootszubehör
I.D.P. Shipyard - site Plassendale,,,,,BE,,,,Werften;Service/Repair;Kran
De Blankenbergse Schute,,,,,BE,,,,Werften;Service/Repair;Kran
Block 'B' container exchange,,,,,BE,,,,Werften;Service/Repair;Kran;Beschläge
Block 'A' container exchange,,,,,BE,,,,Werften;Service/Repair;Kran;Beschläge
Empty containers exchange yard,,,,,BE,,,,Werften;Service/Repair;Kran
