Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Vennekens,Hoek,40,2850,Boom,BE,info@jachtwerfvennekens.com,+32 3 888 16 53,https://www.jachtwerfvennekens.com/,Werften
Bateau Neptunia Commodore,Rue Gransart,8,7640,Antoing,BE,info@neptunia.com,+32 69 44 68 68,https://www.neptunia.com/,Tauwerk;Beschläge;Bootszubehör
Kayaks La Vanne,Rue Léon Henrard,10,5550.0,Alle-sur-Semois,BE,info@kayakslavanne.be,+32 61 50 13 87,https://www.kayakslavanne.be/,Tauwerk;Beschläge;Bootszubehör
Nautic Service,Sprietestraat,164,8792,Beveren-Leie,BE,,+32 56 90 13 55,,Werften
Victor Buyck Steel Construction,Industrieweg,44,9032.0,Wondelgem,BE,VB-sales@victorbuyck.be,+32 9 376 22 11,https://www.victorbuyck.be/,Werften
De Werf,,,,,BE,,+32 50 55 17 72;+32 56 21 25 36,,Werften;Service/Repair;Kran
Vancraynest,Zilverlaan,29,8400,Oostende,BE,,+32 59 43 97 71,,Segelmacher
Wittevrongel,Wenduinse Steenweg,10,,,BE,,,https://www.wittevrongel.be/,Tauwerk;Beschläge;Bootszubehör
North Sea Boating,Wenduinse Steenweg,12,8370,Blankenberge,BE,info@northseaboating.com,+32 50 41 20 06,https://www.northseaboating.com/,Tauwerk;Beschläge;Bootszubehör
Seashop,Watersportlaan,7,8620,Nieuwpoort,BE,info@seashop.be,+32 58 62 50 77,https://www.seashop.be,Tauwerk;Beschläge;Bootszubehör
Meuse et Sambre,Rue Reppe,20,,,BE,,,https://www.meusam.com,Werften;Service/Repair;Kran
Belgian Boat Service,Watersportlaan,12,8620,Nieuwpoort,BE,info@belgianboatservice.com,+32 58 23 44 73,https://www.belgianboatservice.com/,Tauwerk;Beschläge;Bootszubehör
Belgium diving bvba,Narvikstraat,8,2030,Antwerp,BE,info@belgiumdiving.com,+32 3 541 94 94,https://www.belgiumdiving.com/,Werften;Service/Repair;Kran
Brugge Marine Center,Pathoekeweg,126,8000,Brugge,BE,info@bruggemarinecenter.com,+32 50 31 35 87,https://bruggemarinecenter.com/,Tauwerk;Beschläge;Bootszubehör
Euro Boat nv,,,,,BE,,,,Tauwerk;Beschläge;Bootszubehör
Plaisance Eau d'Heure,Allée JF Kennedy,15,5650,Chastrès,BE,,+32 71 61 22 62,,Werften;Navigation/Instrumente
Fietsherstelzuil,,,,,BE,,,,Rigg;Tauwerk;Beschläge
Ship Support,Watersportlaan,3a,8620,Nieuwpoort,BE,info@shipsupport.be,+32 58 24 39 36,https://www.shipsupport.be,Tauwerk;Beschläge;Bootszubehör
Vankerkoven,,,,,BE,,,,Werften;Service/Repair;Kran;Anker/Deck
BaTo,,,,,BE,,+32 495 53 31 92,,Tauwerk;Beschläge;Bootszubehör
Chantier Naval de Rupelmonde,,,,,BE,,,,Werften;Service/Repair;Kran
Knuysen,J.B. Pittoorsstraat,18,2110,Wijnegem,BE,info@knuysen.be,+32 3 355 21 70,https://www.knuysen.be/,Segelmacher
Navalia bvba,Havenstraat,21,3560,Lummen,BE,info@navalia.be,+32 11 43 61 06,https://www.navalia.be/,Werften
Gardec,,,,,BE,,,,Werften;Service/Repair;Kran
Marine Technics,Werfkaai,43,8380,Zeebrugge,BE,martec@skynet.be,+32 50 54 60 31,https://www.marine-technics.be/,Werften;Service/Repair;Kran
Jan Vandamme,Werfkaai,45,8380,Zeebrugge,BE,info@scheepsbouw-vandamme.be,+32 50 37 58 50,https://scheepswerven-janvandamme.com/,Werften;Service/Repair;Kran
Marina Yachting Center,Dokter Eduard Moreauxlaan,3,,,BE,,,,Tauwerk;Beschläge;Bootszubehör
I.D.P. Shipyard - site Plassendale,,,,,BE,,,,Werften;Service/Repair;Kran
De Blankenbergse Schute,,,,,BE,,,,Werften;Service/Repair;Kran
Block 'B' container exchange,,,,,BE,,,,Werften;Service/Repair;Kran;Beschläge
Block 'A' container exchange,,,,,BE,,,,Werften;Service/Repair;Kran;Beschläge
Empty containers exchange yard,,,,,BE,,,,Werften;Service/Repair;Kran
