Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Marinetorvet,Grønlandsgade,16,4690,Haslev,DK,info@marinetorvet.dk,+45 32 12 11 11,https://www.marinetorvet.dk,Tauwerk;Beschläge;Bootszubehör
Skive Bådbyggeri,Fjordvej,35,7800,Skive,DK,,,,Werften;Service/Repair;Kran
Lynæs Marinecenter,Lynæshavnevej,13,3390,Hundested,DK,soren@lynaes-marinecenter.dk,+45 47 94 01 02,https://www.lynaes-marinecenter.dk,Tauwerk;Beschläge;Bootszubehör
Kronborg Marine Bådudstyr,Nordhavnsvej,9,3000,Helsingør,DK,kontakt@kronborgmarinebaadudstyr.dk,+45 49 20 00 44,https://kronborgmarinebaadudstyr.dk/,Tauwerk;Beschläge;Bootszubehör
Lynettens Bådservice,Refshalevej,200,1432,København K,DK,lynettens@baadservice.dk,+45 32 57 61 06,https://www.baadservice.dk,Tauwerk;Beschläge;Bootszubehör
Skovshoved Bådeværft,Skovshoved Havn,8,2920,Charlottenlund,DK,info@skovshovedyachtvaerft.dk,+45 39 63 23 15,https://skovshovedyachtvaerft.dk/,Werften;Service/Repair;Kran
Paskram,Bjernemarksvej,46B,5700,Svendborg,DK,paskram@paskram.dk,+45 26 27 73 93,https://www.paskram.dk/,Segelmacher;Hydraulik
Bornholms Flådeservice,Rebslagervej,1,3770,Allinge,DK,info@b-flaadeservice.dk,+45 56 48 17 01,http://www.bornholmsflaadeservice.dk/,Tauwerk;Beschläge;Bootszubehör
3F Sejl og Bådudstyr,Kalvøvej,17,3600,Frederikssund,DK,,+45 47 31 10 00,,Tauwerk;Beschläge;Bootszubehör
Karstensens Skibsværft,Vestre Strandvej,17,9990,Skagen,DK,drk@kaship.dk,+45 98 44 13 11,https://www.karstensens.dk/,Werften;Service/Repair;Kran
Dansk Marine Center,Stokagervej,23,8240,Risskov,DK,,+45 87 10 70 10,https://danskmarinecenter.dk/,Werften;Service/Repair;Kran
Bådebygger Niels Løvstad,Ejnar Mikkelsensvej,1,3760,Gudhjem,DK,niels@lovstad.dk,+45 40 20 54 11,http://lovstad.dk,Werften;Service/Repair;Kran
John Mast,Lunikvej,12,2670,Greve,DK,mail@johnmast.com,+45 43 90 56 00,https://www.johnmast.dk/,Rigg;Tauwerk;Beschläge
Doylesails,Skovshoved Havn,12,2920,Charlottenlund,DK,info@doylesails.dk,+45 39 63 22 10,https://www.doylesails.dk,Segelmacher
Ved Spejderhytten,,,,,DK,,,,Werften;Service/Repair;Kran
Hal16,Ny Kronborgvej,14,3000,Helsingør,DK,,,https://mfs.dk/hal16/,Werften;Service/Repair;Kran
Helsingør Bådebyggeri,Nordhavnsvej,2B,3000,Helsingør,DK,,,,Werften;Service/Repair;Kran
Kano og Pedalbådene,,,,,DK,,,,Werften;Service/Repair;Kran
Sejl- og presenningsservice,Sejlmagervej,2,5960,Marstal,DK,kontakt@sejlogpresenninger.dk,+45 62 53 12 71,https://sejlogpresenninger.dk/,Segelmacher
UK Sailmakers,Bakkegårdsvej,301,3050,Humlebæk,DK,info@sails.dk,+45 45 86 68 20,https://www.sails.dk,Segelmacher
Resen Sails,Tranevænget,52,2605,Brøndby,DK,info@resensails.dk,+45 70 77 70 71,https://resensails.dk,Segelmacher
Sejlmager Hansen,Herluf Trolles Gade,3,1052,København K,DK,info@sejlmagerhansen.dk,+45 60 93 12 46,https://sejlmagerhansen.dk/,Segelmacher
Capenhagen Sails,Uplandsgade,70,2300,København S,DK,peter@cphsails.dk,+45 23 60 12 14,https://copenhagensails.dk/,Segelmacher
AFI Marine A/S,Stavneagervej,13,8250,Egå,DK,shop@afi.dk,+45 86 12 43 66,https://afi.dk/,Tauwerk;Beschläge;Bootszubehör
Unisafe,Valseholmen,15-17,2650,Hvidovre,DK,info@unisafe.dk,+45 32 58 16 15,https://www.unisafe.dk/,Tauwerk;Beschläge;Bootszubehör
