Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Wasserstoff,Badenstraße,24/25,18439,Stralsund,DE,,,http://www.deinwasserstoff.de,Segelmacher
Bootsbetrieb Schweizer,Seestraße,33,79822,Titisee-Neustadt,DE,,+49 7651 8214,,Tauwerk;Beschläge;Metallbau;Bootszubehör
Kuhnle Werft,Hafendorf Müritz,,17248,Rechlin,DE,,+49398232660,https://www.kuhnle-werft.de,Werften;Service/Repair;Kran
awn-Marinashop Müritz,Boeker Landstraße,1,17248,Rechlin,DE,info@kuhnle-werft.de,+49398232660,https://www.kuhnle-werft.de,Werften
Bootsimport Tibus,Industriestraße,8A,37434,Rhumspringe,DE,,,https://www.tibus-boote.de/,Tauwerk;Beschläge;Bootszubehör
Werner Kahl - Die Ruderwerkstatt GmbH,,,,,DE,,+49644177777,http://www.ruderwerkstatt.eu/,Tauwerk;Beschläge;Bootszubehör
Bootspunkt,Bodanrückstraße,6,78351,Bodman-Ludwigshafen,DE,,,,Tauwerk;Beschläge;Bootszubehör
correct-motors,Altenhofer Dorfstraße,18,16244,Schorfheide,DE,,+49 33363 46666,https://www.correct-motors.de,Motor;Tauwerk;Beschläge;Bootszubehör
Segelschule Greubel / Basis 2,Seespitz,4,91720,Absberg,DE,,,https://greubel.de/,Tauwerk;Beschläge;Bootszubehör
Die Segelstecherei by neoSails,Wiederitzscher Straße,19b,4519,Rackwitz,DE,kontakt@die-segelstecherei.de,+49 173 4819268,http://www.neosails.de/,Segelmacher
Janssen-Maritimes,Kleiner Westring,15,,,DE,,,https://www.janssen-maritimes.de/,Tauwerk;Beschläge;Bootszubehör
Eider Marin,Am Audorfer See,,24782,Büdelsdorf,DE,eidermarin@t-online.de,+49 172 8486834,https://www.eidermarin.de/,Tauwerk;Beschläge;Bootszubehör
Segelzentrum Kagerer GmbH,Nordring,2b,91785,Pleinfeld,DE,info@szk.de,+49 9144 92 72 17,https://szk.de/kontakt/,Tauwerk;Beschläge;Bootszubehör
Oeverdiek & Heinritz,,,,,DE,,,https://www.oundh.de/,Tauwerk;Beschläge;Bootszubehör
TKMS,Werftstraße,112-114,24143,Kiel,DE,,+49 431 7000,https://www.tkmsgroup.com/de/,Werften;Service/Repair;Kran
TTT Boote,Agnes-Bluhm-Straße,32,18442,Wendorf,DE,,,https://ttt-stralsund.de/,Tauwerk;Beschläge;Bootszubehör
Ruderschule Seenplatte GbR,,,,,DE,,,https://ruderschule-seenplatte.de,Tauwerk;Beschläge;Bootszubehör
Bootswerft Christopher Funger,,,,,DE,bootswerftfunger@t-online.de,+49 2152 559940,https://bootswerft-funger.de,Werften
Hausbootmanufaktur und Gebrauchtboothafen,Dorfstraße,62a,14797,Kloster Lehnin,DE,bootshafen@freenet.de,+49 3382 741951,http://www.gebrauchtbootcenter.com/,Motor;Tauwerk;Beschläge;Bootszubehör
Yacht-Center Mannheim,,,,,DE,info@yacht-center.de,+49 621 3380031,http://www.yacht-center.de,Motor;Tauwerk;Beschläge;Bootszubehör
STAFF yachting & woodwork,Fischerstraße,23,23730,Neustadt in Holstein,DE,,,,Segelmacher
Segelbedarf u. Bootszubehör Marina Dellas,Weskampstraße,10,26121,Oldenburg,DE,jd@dellas.de,+49 441 3617232,https://www.dellas.de,Tauwerk;Beschläge;Bootszubehör
coreboat - Marine Boote,,,,,DE,,,,Tauwerk;Beschläge;Bootszubehör
Der kleine Bootladen,,,,,DE,info@derkleinebootsladen.de,+49 30 6432 6415,https://derkleinebootsladen.de/,Tauwerk;Beschläge;Bootszubehör
Bootswerft Hillmann,,,,,DE,,,,Motor;Werften
