Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Kastellinrannan venevalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Kauppilanrannan venevalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Storm Marin,,,,,FI,,+358 10 5052717,https://www.stormmarin.fi/,Tauwerk;Beschläge;Bootszubehör
Nobilis,,,,,FI,,,,Tauwerk;Beschläge;Bootszubehör
Vexala fiskehamn,,,,,FI,,,,Werften;Service/Repair;Kran
Astrum Vene Kemiö,Arkadiantie,13,25700,Kemiö,FI,vene@astrum.fi,,https://www.astrum.fi/veneet,Tauwerk;Beschläge;Bootszubehör
W&W Marine,Kalkkirannantie,50,,,FI,,,https://www.wwmarine.fi/,Tauwerk;Beschläge;Bootszubehör
Nykäsenrannan venevalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Topboat,,,,,FI,,,,Tauwerk;Beschläge;Bootszubehör
Venetarvikemyymälä,,,,,FI,,,,Tauwerk;Beschläge;Bootszubehör
Nokian Veneilijät,,,,,FI,,,,Werften;Service/Repair;Kran
Travellift,,,,,FI,,,,Werften;Service/Repair;Kran
Nostorent Oy,Korjuuntie,24 H 1,28360,Pori,FI,,,,Rigg;Tauwerk;Beschläge
Boatman Group,,,,,FI,,,,Motor;Werften
M/S AURA,,,,,FI,,,,Werften;Service/Repair;Kran
J. Purho,Laivasillankatu,2,49400,Hamina,FI,,,,Tauwerk;Beschläge;Bootszubehör
H-Motors,Keskustie,24,19700,Sysmä,FI,,,https://www.h-motors.fi/,Motor;Tauwerk;Beschläge;Bootszubehör
Varvilahti pienvenetelakka,,,,,FI,,,,Werften;Service/Repair;Kran
Dalsbruks Båtservice Ab,Söderlångvikvägen,763,,,FI,,,http://www.dalsbruksbatservice.fi/,Werften;Service/Repair;Kran
Kone ja Tarvike,Leväsentie,56,70780,Kuopio,FI,kuopio@konejatarvike.com,017 3631 469,https://www.konejatarvike.com/,Tauwerk;Beschläge;Bootszubehör
Loviisan Veneveistämö Oy,,,,,FI,,,,Werften;Service/Repair;Kran
Telakointi ja Huolto Tuomo Lempinen Oy,,,,,FI,,,,Werften;Service/Repair;Kran
Boomeranger Boats Oy,,,,,FI,,,,Werften;Rigg
Vestek myymälä,Martinkuja,4,,,FI,,,http://www.captainsshop.fi/myymalat/,Tauwerk;Beschläge;Bootszubehör
Onnela Palvelut Oy,Salonkyläntie,619,,,FI,,,https://onnelapalvelut.fi/,Tauwerk;Beschläge;Bootszubehör
Rimito Marin Oy,Telakantie,72,21150,Naantali,FI,laine@rimitomarin.fi,0500522527,https://www.rimitomarin.fi/,Werften;Service/Repair;Kran
Kuopion Venehotelli Oy,Kumpusaarentie,37,70620,Kuopio,FI,info@kuopionvenehotelli.com,+358407285019,https://kuopionvenehotelli.com/,Werften;Service/Repair;Kran
Nautione Venemyynti,Nunnakatu,,21100,Naantali,FI,,,https://www.nautione.fi/,Tauwerk;Beschläge;Bootszubehör
Wemarin,,,,,FI,,,,Tauwerk;Beschläge;Bootszubehör
MarineStore.fi,,,,,FI,,,https://www.marinestore.fi,Tauwerk;Beschläge;Bootszubehör
Fantoy,Opistokatu,11,,,FI,,,https://www.fantoy.fi/,Tauwerk;Beschläge;Bootszubehör
Puu- ja venetyö,Opistokatu,13,,,FI,,,https://puujavenetyo.fi/,Tauwerk;Beschläge;Bootszubehör
SK-Center Huolto,Koulumestarintie,4,17200,Vääksy,FI,,037660994,http://www.skcenter.fi/,Tauwerk;Beschläge;Bootszubehör
Harjujoen rantapaikat,,,,,FI,,,,Werften;Service/Repair;Kran
Ajolanranta Oy,,,,,FI,,,https://www.ajolanranta.fi/,Werften;Service/Repair;Kran
Yamaha Center,Tuupakantie,1,01740,Vantaa,FI,,0405233560,https://www.yamaha-center.fi/Vantaa/,Motor;Tauwerk;Beschläge;Bootszubehör
Buster Store Vantaa,Tuupakantie,1,01740,Vantaa,FI,,0407141289,https://boatstore.fi/,Tauwerk;Beschläge;Bootszubehör
Karilainen Oy,Kisällintie,1,63700,Ähtäri,FI,,04247501,https://www.karilainen.fi/,Tauwerk;Beschläge;Bootszubehör
Vääksyn Konepiste,Vehkoontie,1,17200,Vääksy,FI,myynti@venekauppa.com,0102717410,,Tauwerk;Beschläge;Bootszubehör
Seaking Finland,Hämeenlinnantie,18,15800,Lahti,FI,,,https://seakingfinland.fi/,Tauwerk;Beschläge;Bootszubehör
Vääksyn Konepiste Huolto,Vehkoontie,3,17200,Vääksy,FI,,,,Tauwerk;Beschläge;Bootszubehör
Boat Fix,Lähdemäentie,12,15270,Hollola,FI,,,https://boatfix.fi/,Tauwerk;Beschläge;Bootszubehör
BRM Marine,Kilonkartanontie,4,02610,Espoo,FI,,044 5080477,,Tauwerk;Beschläge;Bootszubehör
Alutrack,Mickelsinkuja,8 A,02770,Espoo,FI,,0400700752,http://www.alutrack.fi/,Tauwerk;Beschläge;Metallbau;Bootszubehör
Navigreen,Mäntykuja,2,02400,Kirkkonummi,FI,,0405889600,https://www.navigreen.fi/,Tauwerk;Beschläge;Bootszubehör
Seaboost,Nygrannaksentie,22,02750,Espoo,FI,,0400703536,https://www.seaboost.fi/,Tauwerk;Beschläge;Bootszubehör
Nautikulma,Piispanristintie,2,20760,Piispanristi,FI,,,https://www.nautikulma.fi/,Tauwerk;Beschläge;Bootszubehör
Tekno-Marine,,,,,FI,,,https://www.tekno-marine.fi/,Tauwerk;Beschläge;Bootszubehör
Southeast Boat Service Oy,Vasikkasaarentie,15,48200,Kotka,FI,,+358407729895,,Tauwerk;Beschläge;Bootszubehör
Hangon Auto- & Venetalo,,,,,FI,,,https://hav.fi/,Tauwerk;Beschläge;Bootszubehör
Kaakon Rantavaruste,Kaupinkatu,23,45130,Kouvola,FI,,04578341484,,Tauwerk;Beschläge;Bootszubehör
Sea Store,Kipparlahti,,00810,Helsinki,FI,,,https://www.seastore.fi/,Tauwerk;Beschläge;Bootszubehör
Pöllisaari,,,,,FI,,,,Werften;Service/Repair;Kran
Pernon telakka,Telakkakatu,1,20240,Turku,FI,,,,Werften;Service/Repair;Kran
Suomenojan venesatama,,,,,FI,,,,Werften;Service/Repair;Kran
Turun Korjaustelakka,,,,,FI,,,https://www.turkurepairyard.com,Werften;Service/Repair;Kran
Kantvikin pienvenesatama,,,,,FI,,,,Werften;Service/Repair;Kran
Laitaatsillan telakka,,,,,FI,,,,Werften;Service/Repair;Kran
Mepratuote,Kaviokuja,8,20380,Turku,FI,,,https://www.mepratuote.fi/,Tauwerk;Beschläge;Bootszubehör
Marina Pargas,Tervsundsvägen,70,,,FI,,,https://meredin.fi/,Werften;Service/Repair;Kran
Venesiwa BCB Boats,Viluntie,2,21140,Rymättylä,FI,,,https://www.bcb-boats.fi/,Tauwerk;Beschläge;Bootszubehör
VP Rantaparkki,Laivurintie,2a,79100,Leppävirta,FI,vpn.rantaparkki@pp.inet.fi,+358-41-5076445,http://www.rantaparkki.fi,Werften;Service/Repair;Kran
Pickala Port,Rannikkotie,31b,,Siuntio,FI,info@pickalaport.com,(09) 295 2264,http://www.pickalaport.com,Tauwerk;Beschläge;Bootszubehör
Merimarina,Poijukatu,5,33180,Tampere,FI,sales@merimarina.fi,+358 3 261 1980,http://www.merimarina.fi/,Tauwerk;Beschläge;Bootszubehör
VK-motors,Kuruntie,15,,,FI,,+35834740040,,Motor;Tauwerk;Beschläge;Bootszubehör
Kuusiston Telakka,Kuuslahdentie,44,21620,Kuusisto,FI,,,,Werften;Service/Repair;Kran
Paraisten Telakka Oy,,,,,FI,,,,Werften;Service/Repair;Kran;Navigation/Instrumente
Seaside Industry Park Rauma,,,,,FI,,,https://www.seasideindustry.com,Werften;Service/Repair;Kran
MälöMarin Ab,Skärgårdsvägen,3059,,,FI,,+358 (0)400 820854,https://www.malomarin.fi/,Werften;Service/Repair;Kran
S-Marin Volvo Penta Center,Tammistontie,258,,Turku,FI,,,https://astrumvene.fi/huolto/,Motor;Tauwerk;Beschläge;Bootszubehör
Heinlahden Veneveistämö,,,,,FI,,,https://www.tiiskeri.fi/,Werften;Service/Repair;Kran
Marina Saimaan Portti,,,,,FI,,,,Werften;Service/Repair;Kran
Kanavansuun telakka,Suolavuorentie,7,,,FI,,,https://kanavansuuntelakka.fi/,Werften;Service/Repair;Kran
Paattimaakarit,,2,,,FI,,,,Werften
S-Marin,Tammistontie,258,20900,Turku,FI,,,https://astrumvene.fi/talvisailytys/,Werften;Service/Repair;Kran
Heinolan Veneveistämö,Ruukintie,23,,,FI,,,https://www.puuveneveistajat.fi/heinolan-veneveistamo/,Werften
Veneveistämö R. Tuovinen,,,,,FI,,,,Werften
Blue Ocean Oy,Ojangonkaari,14,02480,Kirkkonummi,FI,,,,Tauwerk;Beschläge;Bootszubehör
Finnmaster Boats Oy,Yrittäjäntie,4,09220,Sammatti,FI,,,,Werften;Rigg
Ship & Boat Center Päijänne,,,,,FI,sbcpaijanne@gmail.com,0442392174;0440998885,,Werften;Service/Repair;Kran
Boat ramp,,,,,FI,,,,Werften;Service/Repair;Kran;Hydraulik
Ämmässuon talvisäilytysalue,,,,,FI,,,,Werften;Service/Repair;Kran;Metallbau
