Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Kastellinrannan venevalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Kauppilanrannan venevalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Storm Marin,,,,,FI,,+358 10 5052717,https://www.stormmarin.fi/,Tauwerk;Beschläge;Bootszubehör
Nobilis,,,,,FI,,,,Tauwerk;Beschläge;Bootszubehör
Vexala fiskehamn,,,,,FI,,,,Werften;Service/Repair;Kran
Astrum Vene Kemiö,Arkadiantie,13,25700,Kemiö,FI,vene@astrum.fi,,https://www.astrum.fi/veneet,Tauwerk;Beschläge;Bootszubehör
W&W Marine,Kalkkirannantie,50,,,FI,,,https://www.wwmarine.fi/,Tauwerk;Beschläge;Bootszubehör
Nykäsenrannan venevalkama,,,,,FI,,,,Werften;Service/Repair;Kran
Topboat,,,,,FI,,,,Tauwerk;Beschläge;Bootszubehör
Venetarvikemyymälä,,,,,FI,,,,Tauwerk;Beschläge;Bootszubehör
Nokian Veneilijät,,,,,FI,,,,Werften;Service/Repair;Kran
Travellift,,,,,FI,,,,Werften;Service/Repair;Kran
Nostorent Oy,Korjuuntie,24 H 1,28360,Pori,FI,,,,Rigg;Tauwerk;Beschläge
Boatman Group,,,,,FI,,,,Motor;Werften
M/S AURA,,,,,FI,,,,Werften;Service/Repair;Kran
J. Purho,Laivasillankatu,2,49400,Hamina,FI,,,,Tauwerk;Beschläge;Bootszubehör
H-Motors,Keskustie,24,19700,Sysmä,FI,,,https://www.h-motors.fi/,Motor;Tauwerk;Beschläge;Bootszubehör
Varvilahti pienvenetelakka,,,,,FI,,,,Werften;Service/Repair;Kran
Dalsbruks Båtservice Ab,Söderlångvikvägen,763,,,FI,,,http://www.dalsbruksbatservice.fi/,Werften;Service/Repair;Kran
Kone ja Tarvike,Leväsentie,56,70780,Kuopio,FI,kuopio@konejatarvike.com,017 3631 469,https://www.konejatarvike.com/,Tauwerk;Beschläge;Bootszubehör
Loviisan Veneveistämö Oy,,,,,FI,,,,Werften;Service/Repair;Kran
Telakointi ja Huolto Tuomo Lempinen Oy,,,,,FI,,,,Werften;Service/Repair;Kran
Boomeranger Boats Oy,,,,,FI,,,,Werften;Rigg
Vestek myymälä,Martinkuja,4,,,FI,,,http://www.captainsshop.fi/myymalat/,Tauwerk;Beschläge;Bootszubehör
Onnela Palvelut Oy,Salonkyläntie,619,,,FI,,,https://onnelapalvelut.fi/,Tauwerk;Beschläge;Bootszubehör
