Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Brama Yachts & Catamarans,Ποσειδώνος,4,17455,Άλιμος,GR,,+30 6977977578,https://www.bramayachts.com/,Tauwerk;Beschläge;Hydraulik;Bootszubehör
Express Boat Service,,,,,GR,,,,Werften;Service/Repair;Kran
Tarsanas Shipyards,Ηρώων Πολυτεχνείου,13,84100,Ερμούπολη,GR,,,,Werften;Service/Repair;Kran
Lyrarakis Marine,,,,,GR,,,,Werften;Service/Repair;Kran
BWA Yachting,Προβλήτα Β,2,,,GR,,2109836918,,Tauwerk;Beschläge;Bootszubehör
Tsoukasmarine boat equipment,Σπηλιάδου,12,48100,Πρέβεζα,GR,tsoukasmarine@windowslive.com,+30 2682 089778,,Tauwerk;Beschläge;Bootszubehör
Αρσανάς Καρούλια/Κατουνάκια,,,,,GR,,,,Werften;Service/Repair;Kran
"Atlas , Stavros Kreatsoulas",,,,,GR,,,,Werften;Service/Repair;Kran
Tolo Roklub,,,,,GR,,,,Werften;Service/Repair;Kran
Batsis Yacht Support,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
Motocraft Α.Ε,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
MARINA Stores,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
Χώρος Στάθμευσης Σκαφών Steel-Design,,,,,GR,,,,Segelmacher
Σκαφάτος,,,,,GR,,+302109326342,https://skafatos.gr/,Tauwerk;Beschläge;Bootszubehör
DanEri Yachts,Adamantas,,84800,Milos,GR,s.6ykov@gmail.com,+30 694 426 4064,https://daneriyachts.com,Motor;Werften;Service/Repair;Kran
Sailing Time,,,,,GR,,,,Werften;Service/Repair;Kran
Technohull,,,,,GR,,,,Werften;Service/Repair;Kran
Artemis,,,,,GR,,,,Werften;Service/Repair;Kran
Marine Store Βαγγελής,Θουκυδίδου,,46100,Σύβοτα,GR,,+30 2665 093648,,Tauwerk;Beschläge;Bootszubehör
Shark Marine,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
Ελληνικά Ναυπηγεία Σκαραμαγκά,,,,,GR,,,,Werften;Service/Repair;Kran
Traditional wooden boat yard,,,,,GR,,,,Werften;Service/Repair;Kran
Olympic,,,,,GR,,,,Werften;Service/Repair;Kran
Aegina Yacht Services,,,,,GR,,,,Werften;Service/Repair;Kran
Ψυγεία Αυτοκινήτων Γιάννης Ιωαννίδης,,,,,GR,,,,Rigg;Tauwerk;Beschläge
Ναυπηγείο Λάμπρος Μητσούδης,Γεωργικής Σχολής,78,54500,Θεσσαλονίκη,GR,,,,Werften;Service/Repair;Kran
Aktio Marina,,,,,GR,,+30 26820 61305,https://aktio-marina.gr/,Werften;Service/Repair;Kran
marine service,,,,,GR,,,,Werften;Service/Repair;Kran
Basimakopoulos Shipyard,,,,,GR,,,,Werften;Service/Repair;Kran
Poros Marine,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
Salty Wave boat parking,,,,,GR,,,,Werften;Service/Repair;Kran
Ναυπηγεία-Καρνάγιο,,,,,GR,,,,Werften;Service/Repair;Kran
Patmos Marine,,,,,GR,,,https://www.patmosmarine.com/,Werften;Service/Repair;Kran
Πολατίδης Marine,Γεωργικής Σχολής,21,57001,Πυλαία,GR,kpolatidis@gmail.com,+30 2310 475945,,Tauwerk;Beschläge;Bootszubehör
Ionion Marina,,,,,GR,,+30 26820 24305,https://www.ionionmarine.com,Werften;Service/Repair;Kran
Cleopatra Marina Shipyard,,,,,GR,,(+30) 26820 23015,http://www.cleopatra-marina.gr,Werften;Service/Repair;Kran
Top Marine,Απόλλωνος,38,55535,Πυλαία,GR,,+30 2310 465933,https://topmarine.gr,Tauwerk;Beschläge;Bootszubehör
Dynamic Marine Services,Απόλλωνος,3,54453,Πυλαία,GR,,+30 2310 489008,,Tauwerk;Beschläge;Bootszubehör
