Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Brama Yachts & Catamarans,Ποσειδώνος,4.0,17455,Άλιμος,GR,,+30 6977977578,https://www.bramayachts.com/,Tauwerk;Beschläge;Hydraulik;Bootszubehör
Express Boat Service,,,,,GR,,,,Werften;Service/Repair;Kran
Tarsanas Shipyards,Ηρώων Πολυτεχνείου,13.0,84100,Ερμούπολη,GR,,,,Werften;Service/Repair;Kran
Lyrarakis Marine,,,,,GR,,,,Werften;Service/Repair;Kran
BWA Yachting,Προβλήτα Β,2.0,,,GR,,2109836918,,Tauwerk;Beschläge;Bootszubehör
Tsoukasmarine boat equipment,Σπηλιάδου,12.0,48100,Πρέβεζα,GR,tsoukasmarine@windowslive.com,+30 2682 089778,,Tauwerk;Beschläge;Bootszubehör
Αρσανάς Καρούλια/Κατουνάκια,,,,,GR,,,,Werften;Service/Repair;Kran
"Atlas , Stavros Kreatsoulas",,,,,GR,,,,Werften;Service/Repair;Kran
Tolo Roklub,,,,,GR,,,,Werften;Service/Repair;Kran
Batsis Yacht Support,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
Motocraft Α.Ε,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
MARINA Stores,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
Χώρος Στάθμευσης Σκαφών Steel-Design,,,,,GR,,,,Segelmacher
Σκαφάτος,,,,,GR,,+302109326342,https://skafatos.gr/,Tauwerk;Beschläge;Bootszubehör
DanEri Yachts,Adamantas,,84800,Milos,GR,s.6ykov@gmail.com,+30 694 426 4064,https://daneriyachts.com,Motor;Werften;Service/Repair;Kran
Sailing Time,,,,,GR,,,,Werften;Service/Repair;Kran
Technohull,,,,,GR,,,,Werften;Service/Repair;Kran
Artemis,,,,,GR,,,,Werften;Service/Repair;Kran
Marine Store Βαγγελής,Θουκυδίδου,,46100,Σύβοτα,GR,,+30 2665 093648,,Tauwerk;Beschläge;Bootszubehör
Shark Marine,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
Ελληνικά Ναυπηγεία Σκαραμαγκά,,,,,GR,,,,Werften;Service/Repair;Kran
Traditional wooden boat yard,,,,,GR,,,,Werften;Service/Repair;Kran
Olympic,,,,,GR,,,,Werften;Service/Repair;Kran
Aegina Yacht Services,,,,,GR,,,,Werften;Service/Repair;Kran
Ψυγεία Αυτοκινήτων Γιάννης Ιωαννίδης,,,,,GR,,,,Rigg;Tauwerk;Beschläge
