Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Ναυπηγείο Λάμπρος Μητσούδης,Γεωργικής Σχολής,78.0,54500,Θεσσαλονίκη,GR,,,,Werften;Service/Repair;Kran
Aktio Marina,,,,,GR,,+30 26820 61305,https://aktio-marina.gr/,Werften;Service/Repair;Kran
marine service,,,,,GR,,,,Werften;Service/Repair;Kran
Basimakopoulos Shipyard,,,,,GR,,,,Werften;Service/Repair;Kran
Poros Marine,,,,,GR,,,,Tauwerk;Beschläge;Bootszubehör
Salty Wave boat parking,,,,,GR,,,,Werften;Service/Repair;Kran
Ναυπηγεία-Καρνάγιο,,,,,GR,,,,Werften;Service/Repair;Kran
Patmos Marine,,,,,GR,,,https://www.patmosmarine.com/,Werften;Service/Repair;Kran
Πολατίδης Marine,Γεωργικής Σχολής,21.0,57001,Πυλαία,GR,kpolatidis@gmail.com,+30 2310 475945,,Tauwerk;Beschläge;Bootszubehör
Ionion Marina,,,,,GR,,+30 26820 24305,https://www.ionionmarine.com,Werften;Service/Repair;Kran
Cleopatra Marina Shipyard,,,,,GR,,(+30) 26820 23015,http://www.cleopatra-marina.gr,Werften;Service/Repair;Kran
Top Marine,Απόλλωνος,38.0,55535,Πυλαία,GR,,+30 2310 465933,https://topmarine.gr,Tauwerk;Beschläge;Bootszubehör
Dynamic Marine Services,Απόλλωνος,3.0,54453,Πυλαία,GR,,+30 2310 489008,,Tauwerk;Beschläge;Bootszubehör
