Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Howth Boatyard,,,,,IE,,,https://www.leonardshipwrightsandboatbuilders.ie/,Werften;Service/Repair;Kran
Kilmacsimon Boatyard,,,,,IE,,+353 21 242 8578,http://kilmacsimonboatyard.com,Werften;Service/Repair;Kran
The Point,,,,,IE,,,,Werften;Service/Repair;Kran
Blessington Sailing Club,,,,,IE,,,,Werften;Service/Repair;Kran
Bray Sailing Club small boat pen,,,,,IE,,,,Werften;Service/Repair;Kran
Bray Sailing Club large boat pen,,,,,IE,,,,Werften;Service/Repair;Kran
The Old Boat Yard,Church Road,,,Carrigaline,IE,,,,Werften;Service/Repair;Kran
New Ross Boat Yard,Waterford Road,,,New Ross,IE,info@newrossboatyard.com,+353-51-447655,http://www.newrossboatyard.com/,Werften;Service/Repair;Kran
Waterford Boat Yard,,,,,IE,,+353-51-857755,http://www.waterfordboatyard.com/,Werften;Service/Repair;Kran
Carlingford Marina Boat Yard,,,,,IE,,,,Werften;Service/Repair;Kran
MGM Boats,,,,,IE,,,,Tauwerk;Beschläge;Bootszubehör
Boat Yard,,,,,IE,,,,Werften;Service/Repair;Kran
Boat shed,Blacksod,,,,IE,,,,Motor;Tauwerk;Beschläge;Bootszubehör
Wexford Boats,,,,,IE,,,,Tauwerk;Beschläge;Bootszubehör
Waterways Ireland Depot,,,,,IE,,,,Werften;Service/Repair;Kran
Killen Marine,Barnhill Road,13.0,,Dalkey,IE,info@killenmarine.ie,,,Tauwerk;Beschläge;Bootszubehör
Sheelin Boats Ireland,,,,,IE,,,,Tauwerk;Beschläge;Bootszubehör
