Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Edilnautica,,,,,IT,,,,Werften;Service/Repair;Kran
Nautica Casarola,,,,,IT,,,,Werften;Service/Repair;Kran
LICOSPARS di Luciano Lievi e C. s.n.c. - Accessori Nautici,Via per Villavetro,18,25084,Gargnano,IT,,+39 0365 71688,http://www.licospars.com/,Werften;Service/Repair;Kran;Rigg
Roccavela,,,,,IT,,,,Werften;Service/Repair;Kran
Nautica Garden Center,,,,,IT,,+39 349 3212167,https://www.nauticagardencenter.com,Tauwerk;Beschläge;Bootszubehör
Nautica Boat Service,,,,,IT,,,,Werften;Service/Repair;Kran
Consorzio Cantieri riuniti del Mediterraneo,,,,,IT,,,,Werften;Service/Repair;Kran
Arsenale San Marco,,,,,IT,,,,Werften;Service/Repair;Kran
Golden Bay,,,,,IT,,,,Werften;Service/Repair;Kran
Darsena di Azzate,,,,,IT,,,,Werften;Service/Repair;Kran
Cantiere Navale Gallinaro,,,,,IT,,,,Werften;Service/Repair;Kran
Nautilus Club Nautico,,,,,IT,,,,Werften;Service/Repair;Kran
Ottoni del Mare,Via Borgo dei Cappuccini,,57126,Livorno,IT,,,,Tauwerk;Beschläge;Bootszubehör
Bongini & C,Molo Ponte Morosini,51,,,IT,,,http://www.bonginiec.it/,Rigg;Tauwerk;Beschläge
Cantiere Navale di C.P.,,,,,IT,,,,Werften;Service/Repair;Kran
Tommaso Montano,,,,,IT,,,,Werften;Service/Repair;Kran
MC Nautica,Via Cagliari,80,09170,Oristano,IT,,,,Tauwerk;Beschläge;Bootszubehör
Marine Interiors,Via Redipuglia,163,34077,Ronchi dei Legionari,IT,,,http://www.marineinteriors.com,Werften
Conit Solutions S.r.l.,Via Divisione Alpina Julia,4,34079,Staranzano,IT,,,http://www.conitsolutions.com,Werften
HSC Shipyard,Via Isola Zavorra,,,,IT,info@hscshipyard.it,+39 0923 1961485,http://hscshipyard.it,Werften;Service/Repair;Kran
Arpini arredamenti nautici,Via Milano,99,22063,Cantù,IT,,+39 031 712405,http://www.arpini-srl.it/,Tauwerk;Beschläge;Bootszubehör
Arcadia Yachts S.r.l.,Via Terragneta,90,80058,Torre Annunziata,IT,,,https://www.arcadiayachts.it/,Werften;Service/Repair;Kran
OneSails International,,,,,IT,,,https://www.onesails.com/,Segelmacher
Cantiere Motonautico San Pietro,,,,,IT,,,,Werften;Service/Repair;Kran
Nautica Maria,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Milmotors,,,,,IT,,,,Motor;Tauwerk;Beschläge;Bootszubehör
C.n.a. Cantiere Nautico S.r.l.,Via Cagnona Nuova,913,47030,San Mauro Pascoli,IT,,,,Werften
Navigare,,,,,IT,navigare@navigare.it,+39 0586 621381,https://navigare.it/,Tauwerk;Beschläge;Bootszubehör
Barcasilo,,,,,IT,,,,Werften;Service/Repair;Kran
Motonautica Pagliettini,,,,,IT,info@motonauticapagliettini.it,+39 0185 491642,http://www.motonauticapagliettini.it,Werften
F.lli Larini Arredamento Navale,,,,,IT,,,,Werften
Absolute yachts,Via Francesco Petrarca,4,29027,,IT,,,,Werften
Darsena San Marco - Marina e Cantiere Nautico,,,,,IT,,,,Werften;Service/Repair;Kran
Nettuno Sailrig,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Cantiere nautico Casaril,,,,,IT,,,,Werften;Service/Repair;Kran
NauticaLuino,Via Dante Alighieri,29,21016,,IT,,+39 0332 531558,http://www.nauticaluino.it/,Tauwerk;Beschläge;Metallbau;Bootszubehör
Cantiere nautico Dell’Oro,,,,,IT,,,,Werften;Service/Repair;Kran
Sportrace,Via Fabio Filzi,19,57122,,IT,,+39 0586 421740,https://www.sportracelivorno.it/,Motor;Tauwerk;Beschläge;Bootszubehör
Darsena Canale Revedoli,,,,,IT,,+39 0421 237406,,Tauwerk;Beschläge;Bootszubehör
Nautica Superstar,Strada Statale 16 Adriatica,,73020,Melpignano,IT,,,,Tauwerk;Beschläge;Bootszubehör
Nautica Follonichese,Via Aurelia Vecchia,32,58020,Scarlino,IT,,,,Werften;Service/Repair;Kran
Ocean Marine S.r.l.,Via Consiglio d'Europa,42,34074,Monfalcone,IT,info@oceanmarinesrl.com,+39 0481 413305,https://www.oceanmarine.it/,Werften;Service/Repair;Kran
Foppiano officina motori marini,,,,,IT,,,https://www.officinafoppiano.com/,Motor;Werften;Service/Repair;Kran
Nautica Pezzotti,,,,,IT,,,,Werften;Service/Repair;Kran
Nautica Giacomo Pezzotti,,,,,IT,,,,Werften;Service/Repair;Kran
Nautica,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Ciop Nautica s.r.l.,Via Martiri di Cefalonia,19,88100,Catanzaro,IT,,,,Tauwerk;Beschläge;Bootszubehör
Circolo Nautico Pontedoro,,,,,IT,,,,Werften;Service/Repair;Kran
Battagli Marine Hardware,Viale San Bartolomeo,733,19126,La Spezia,IT,,+39 0187 564493,,Tauwerk;Beschläge;Bootszubehör
SLF Costruzioni nautiche,,,,,IT,,,,Werften
Nautica Fusaro,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Marflor,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Nautica Club Cal del Cigno,Lungofiume Sud,268f,65128,Pescara,IT,,,,Werften;Service/Repair;Kran
Capri Blue Boats,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
"Kayak Canoa rent at restaurant ""Da Goia"" and restaurant Lo Scoglio delle Sirene",,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
New Nautic Show,Via Antonio Pigafetta,2,30035,Mirano,IT,,+390415322123,https://www.newnauticshow.com,Tauwerk;Beschläge;Bootszubehör
Moby Dick di Dario Travaglio,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
ABM Nautica,Via dell'Edilizia,149,58022,Follonica,IT,,,,Tauwerk;Beschläge;Bootszubehör
Nautica Elbana,,,,,IT,,,,Segelmacher
Cantiere Navale Se.Ma.Ter.,,,,,IT,,,,Werften;Service/Repair;Kran
La Bottega del gozzo,Via Marina Grande,124,80067,Sorrento,IT,,,https://www.facebook.com/VincenzoAprea78,Werften
Mondo Mare,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Nautica Bibione,Corso del Sole,8,30020,Bibione,IT,,+39 335 656 5940,https://www.nauticabibione.it/,Tauwerk;Beschläge;Bootszubehör
Nautica Rio Martino,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Cantieri Zuanelli,Via Guglielmo Marconi,54,25080,Padenghe sul Garda,IT,,,,Werften;Service/Repair;Kran
Centro Nautico Franciacorta,Via Nazionale,307,24062,Costa Volpino,IT,,,,Tauwerk;Beschläge;Bootszubehör
Circolo Vela Marciana Marina,,,,,IT,,,,Werften;Service/Repair;Kran
Squero Sant'Isepo,Fondamenta San Giuseppe,645a,30122,Venezia,IT,,,https://sanisepo.it/,Werften;Service/Repair;Kran
Squero Vecio,Calle del Squero,6304,30121,Venezia,IT,,,https://squerovecio.wordpress.com/,Werften;Service/Repair;Kran
Ocean Marine S.r.l.,Via Consiglio d'Europa,36,34074,Monfalcone,IT,info@oceanmarinesrl.com,+39 0481 790416,https://www.oceanmarine.it/,Werften;Service/Repair;Kran
Lupimare,,,,,IT,,,https://www.lupimare.it,Motor;Tauwerk;Beschläge;Bootszubehör
Zamamare Yacht,Via Israele,19,07026,Olbia,IT,,,,Werften;Service/Repair;Kran
Marinestar,,,,,IT,marinestar@inwind.it,+39 0332 531169,https://www.marinestar.it/,Tauwerk;Beschläge;Bootszubehör
Arno marine,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Nautica Cestari,,,,,IT,,+39 334 3169459,,Tauwerk;Beschläge;Bootszubehör
Nautica Bego,Via Carlo Alberto Dalla Chiesa,6,28921,Verbania,IT,info@nauticabego.com,+39 0323 404544,https://www.nauticabego.com/,Tauwerk;Beschläge;Bootszubehör
Postiglione,,,,,IT,,,http://www.cantierepostiglione.it/,Werften;Service/Repair;Kran
Artinautica,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Boat Service Trapani,,,,,IT,,,,Werften;Service/Repair;Kran
Cantiere Nautico Miceli,,,,,IT,,,,Werften;Service/Repair;Kran
Cantiere Navale Cintura,,,,,IT,,,,Werften;Service/Repair;Kran
Cantiere nautico Puna Molino,,,,,IT,,,,Werften;Service/Repair;Kran
Cantiere nautico Punta Molino,Viale Angelo Lucchini,3,21010,Porto Valtravaglia,IT,cantierepuntamolino@gmail.com,+390332547640,https://cantierepuntamolino.com/,Tauwerk;Beschläge;Bootszubehör
Cantiere navale Mandrea,,,,,IT,,,,Motor;Werften;Service/Repair;Kran
Nautica Pisani,,,,,IT,,,,Werften;Service/Repair;Kran
Nautica Sud Mirenzi Srl,,,,,IT,,,,Werften;Service/Repair;Kran
Boat Blumare,,,,,IT,,,,Werften
Mare Torino,Via Boston,72,10137,Torino,IT,info@maretorino.com,+39 011 596236,https://www.maretorino.com,Tauwerk;Beschläge;Bootszubehör
Carcano Motori Marini,,,,,IT,,,,Motor;Tauwerk;Beschläge;Bootszubehör
Adria Trade,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Yacht Center Aprilia,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Susi Faggiani,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Aprilia Italia,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
