Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Cantiere nautico Taroni,,,,,IT,,,http://www.cantierenauticotaroni.com,Werften;Service/Repair;Kran
Cantiere del Verbano,Strada Nazionale Sempione Feriolo,10,28831,Baveno,IT,,+39 0323 28280,,Werften;Service/Repair;Kran
Lega Navale Italiana Sezione di Varese,,,,,IT,,,,Werften
San Lorenzo,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Carlini Roberto & Stefano S.r.l,,,,,IT,,,,Werften;Service/Repair;Kran
Cantieri Navali Vittoria,Via Leonardo da Vinci,47,,,IT,,,https://www.vittoria.biz/,Werften;Service/Repair;Kran
Cantiere Battelli,,,,,IT,,,,Werften;Service/Repair;Kran
Lega Navale Italiana Sezione Mandello Del Lario,,,,,IT,,,,Motor;Werften;Service/Repair;Kran
Amico & Co.,,,,,IT,,,http://www.amico.it/,Werften;Service/Repair;Kran
Mostes,,,,,IT,,,,Werften;Service/Repair;Kran
Area Rimessaggio Marina di Sant'Elmo,,,,,IT,,,,Werften;Service/Repair;Kran
Marina Timavo - Pesca Service,,,,,IT,,,http://www.pescaservice.it/,Werften;Service/Repair;Kran
New Yacht Club,,,,,IT,,,,Werften;Service/Repair;Kran
Spectragroup Ormeggio Campo Boe,,,,,IT,,,,Werften;Service/Repair;Kran
Cantieri Navali Scala,,,,,IT,,,,Werften;Service/Repair;Kran
Nautica Zabeo,Via Colombara,125c,30176,Venezia,IT,,+39 041 931559,http://www.zabeomare.it,Tauwerk;Beschläge;Bootszubehör
Cantiere Nautico Velmare,,,,,IT,,,https://www.velmare.it/,Werften;Service/Repair;Kran
Cantiere Costantini,Via Lungolago,1,21038,Reno di Leggiuno,IT,,,http://cantierecostantini.it,Werften;Service/Repair;Kran
Nauticstore,Via Monte Bianco,13,12040,Genola,IT,,,,Tauwerk;Beschläge;Bootszubehör
Cantieri di Aprilia,,,,,IT,,,,Werften;Service/Repair;Kran
imbarcazioni Lotti,,,,,IT,,,,Tauwerk;Beschläge;Bootszubehör
Apreamare,Via Terragneta,72,80058,Torre Annunziata,IT,,+39 081 537 8411,https://www.apreamare.it/,Werften;Service/Repair;Kran
Casa di Barche,,,,,IT,,,,Werften;Service/Repair;Kran
Balena,,,,,IT,,,,Werften;Service/Repair;Kran
Cantiere nautico Barberis,,,,,IT,,,,Werften;Service/Repair;Kran
