Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Caruana Marine Centre,,,,,MT,,,,Tauwerk;Beschläge;Bootszubehör
Mecca Marine,Triq San Pawl,474,SPB3416,San Pawl il-Baħar,MT,,,www.mecca-marine.com,Tauwerk;Beschläge;Bootszubehör
Stuart Marine Centre,,,,,MT,,,,Tauwerk;Beschläge;Bootszubehör
Fabian Enterprises Limited,,,,,MT,,,,Tauwerk;Beschläge;Bootszubehör
International Marine Centre,,,,,MT,,,,Tauwerk;Beschläge;Bootszubehör
M&N Marine,,,,,MT,,,,Tauwerk;Beschläge;Bootszubehör
Safe Sea,,,,,MT,,,,Tauwerk;Beschläge;Bootszubehör
Manoel Island Yacht Yard,,,,,MT,,,,Motor;Werften;Service/Repair;Kran
Ħolma,,,,,MT,,,,Werften;Service/Repair;Kran
Bonnici Stores Marine / VM Motori,,,,,MT,,,,Motor;Werften;Service/Repair;Kran
Premium Power Sports,,,,,MT,,,,Tauwerk;Beschläge;Bootszubehör
RibMarine,Midland Micro-Enterprise Park,C4,NXR 6345,In-Naxxar,MT,info@ribmarineltd.com,+356 9942 2423;+356 7988 7575,http://ribmarineltd.com/,Tauwerk;Beschläge;Bootszubehör
