Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
NaviSale,Industrieweg,1,8531PA,Lemmer,NL,,+31 514 565 797,https://navisale.nl/,Werften;Service/Repair;Kran
De Rietpol,,,,,NL,,,,Werften;Service/Repair;Kran
"Jachtwerf Wolderwijd, Zeewolde",,,,,NL,,,,Werften;Service/Repair;Kran
Beaut,Papaverweg,43,1032KE,Amsterdam,NL,,,,Tauwerk;Beschläge;Bootszubehör
Aqua Marina,Drachtsterweg,26,9001BE,Grou,NL,info@aquamarina.nl,+31 566 623 180,https://www.aquamarina.nl/,Tauwerk;Beschläge;Bootszubehör
Pedro-Boat,,,,,NL,info@pedro-boat.nl,+31 598 451 763,https://www.pedro-boat.de,Werften;Service/Repair;Kran
Zeilmakerij Sterk,,,,,NL,,,,Segelmacher
Jachtwerf De Marshaven,Kleine Belt,4c,7202CS,Zutphen,NL,,,https://www.jachtwerfzutphen.nl,Tauwerk;Beschläge;Bootszubehör
PWR Motoren,Zomerdijk,84,8064XG,Zwartsluis,NL,,+31 38 386 6869,https://pwrmotoren.com/,Motor;Werften;Service/Repair;Kran
Rolf Mulder,Ooievaarshorsterweg,4,3832GV,Leusden,NL,,+31 33 494 0383,http://www.mulder-leusden.nl,Segelmacher
Halmarine outboards,Westdijk,26,3752AE,Bunschoten-Spakenburg,NL,,,,Motor;Tauwerk;Beschläge;Bootszubehör
Jachtwerf de Haas,Binckhorstlaan,281,2516BB,'s-Gravenhage,NL,,+31 70 385 0676,http://www.jachtwerfdehaas.nl,Werften;Service/Repair;Kran
Jachtwerf D. Mulder,Frans Halsplantsoen,6,2251XJ,Voorschoten,NL,,,,Werften;Service/Repair;Kran
Royal Huisman,Flevoweg,1,8325PA,Vollenhove,NL,,,https://www.royalhuisman.com/,Motor;Werften;Service/Repair;Kran
Alumax Boats,Setheweg,12,7942LB,Meppel,NL,,,,Werften;Metallbau
Boatservice Dannijs,Setheweg,18,7942LB,Meppel,NL,,,,Tauwerk;Beschläge;Bootszubehör
Mared Marine,Setheweg,47,7942LA,Meppel,NL,,,,Tauwerk;Beschläge;Bootszubehör
LocoMotion Watersport,Nieuwe Bredase Baan,18V,4825BP,Breda,NL,,+31 76 711 0211,https://www.locomotionbreda.nl/,Werften;Service/Repair;Kran
Van Vossen Tenders,Koematen,54,8331TK,Steenwijk,NL,info@vanvossentenders.nl,+31 521 520 440,https://vanvossentenders.nl/,Werften
National Marine Suppliers,Aalsmeerderdijk,328,1436BG,Aalsmeerderbrug,NL,,,https://nationalmarine.com/,Tauwerk;Beschläge;Bootszubehör
No Limit Ships,Stockholmstraat,3,9723BC,Groningen,NL,,,https://nolimitships.com/,Werften;Service/Repair;Kran
Gielissen Linskens Shipyard,Geijsterseweg,10,5861BL,Wanssum,NL,info@gielissen.nl,+31 478 531 935,https://www.shipyardgielissen.com,Werften;Service/Repair;Kran
Scheepsmakelaardij Fikkers,Hoge der A,36,9712AE,Groningen,NL,,,,Tauwerk;Beschläge;Bootszubehör
Dijksma Holland,Produktieweg,30,8331LK,Steenwijk,NL,info@dijksmaholland.nl,+31 6 53125511,https://www.dijksmaholland.nl/,Tauwerk;Beschläge;Bootszubehör
Braak Zeilmakerij en Zonwering,Brugstraat,29,1775BC,Middenmeer,NL,,,,Segelmacher
Van Dijk Watersport,Het Aanleg,18,9951SJ,Winsum,NL,,+31 595 444 423,https://vandijkwatersport.nl/,Tauwerk;Beschläge;Bootszubehör
Koninklijke De Vries Scheepsbouw,Oosteinderweg,25,1432AC,Aalsmeer,NL,info@vriesyard.feadship.nl,+31 297 388 900,https://www.feadship.nl/nl/family/de-vries-groep,Werften;Service/Repair;Kran
Struik & Hamerslag,Industriestraat,4,3291CC,Strijen,NL,,,,Werften
Jachtwerf Delta,Deltahoek,11,4511PA,Breskens,NL,info@jachtwerfdelta.nl,+31 117 381 451,https://www.jachtwerfdelta.nl/,Tauwerk;Beschläge;Bootszubehör
De Bootique,Kaai,3,4511RC,Breskens,NL,info@debootique.nl,+31 117 381 257,https://www.debootique.nl/,Tauwerk;Beschläge;Bootszubehör
Beuving de Punt,Groningerstraat,118,9493TA,De Punt,NL,,,,Tauwerk;Beschläge;Bootszubehör
De Vrijheid Nautic Zeilmakerij,Havenkade,6,3281LS,Numansdorp,NL,info@devrijheidnautic.nl,+31 6 50491164,https://www.devrijheidnautic.nl,Segelmacher
Zeilmakerij K.B. Starkenburg,Singelweg,25,9291ML,Kollum,NL,,,,Segelmacher
Damen Shiprepair,Ritthemsestraat,500,4389PA,Ritthem,NL,,,,Werften;Service/Repair;Kran
van Duivendijk B.V.,Havendijk,3,4311BJ,Bruinisse,NL,,,,Werften;Service/Repair;Kran
van Kessel Yachting,Waage Naak,17,6019AA,Wessem,NL,,,https://vankesselyachting.com,Werften
Mertens Yachting,Faunaberg,8,4708CC,Roosendaal,NL,,+31 6 51147863,,Tauwerk;Beschläge;Bootszubehör
Scheepswerf L.J. Boer Sliedrecht B.V.,Industrieweg,18,3361HJ,Sliedrecht,NL,,+31 184 412 303,https://www.scheepswerfboer.nl,Werften;Service/Repair;Kran
Visscher Scheepsreparatie B.V.,Industrieweg,51b,3361HJ,Sliedrecht,NL,,+31 184 496 363,http://www.visscherscheepsrep.nl/,Werften
IQIP The Netherlands,Molendijk,94,3361EP,Sliedrecht,NL,,+31 88 208 11 00,https://iqip.com/,Werften;Service/Repair;Kran
Jachtwerf Oostwatering,Polredijk,17,4351RT,Veere,NL,info@oostwatering.nl,+31 118 501 665,https://www.oostwatering.nl/,Tauwerk;Beschläge;Bootszubehör
FlevoNautica Voor de liefhebbers van sloepen en tenders,Marinaweg,14,1361AC,Almere,NL,,,https://www.flevonautica.nl/,Werften
Sailcenter,Marinaweg,16,1361AC,Almere,NL,,,https://sailcenter.nl,Tauwerk;Beschläge;Bootszubehör
Royal Van Lent,Julianalaan,3,2159LA,Kaag,NL,info@lentyard.feadship.nl,+31 252 547 123,https://www.feadship.nl/family/royal-van-lent-shipyard,Werften;Service/Repair;Kran
Hoogeveen Yachting,Dr Anton Philipsstraat,44,7903AM,Hoogeveen,NL,,,,Werften;Service/Repair;Kran
De Waarf,Werfstraat,19,7468GG,Enter,NL,,,,Werften;Service/Repair;Kran
Scheepswerktuigkundig Expertise Buro Coers,Puerto Ricostraat,89,1339KR,Almere,NL,,,https://www.coersexpertise.nl,Werften
Roompot Yacht Service,Anna Frisoweg,2,4493NR,Kamperland,NL,yachtservice@roompotmarina.nl,+31 113 405 110,https://www.roompotmarina.nl/nl/yacht-service,Werften;Service/Repair;Kran
De Hoop,Bijlandseweg,19,6916BH,Tolkamer,NL,lobith@dehoop.net,,https://www.dehoop.net/,Werften
Zwemer,Havenweg,4,4493MT,Kamperland,NL,info@zwemer.nl,+31 113 371 547,https://www.zwemer.nl/,Tauwerk;Beschläge;Bootszubehör
Interboat,Oud-Loosdrechtsedijk,181,1231LV,Loosdrecht,NL,info@interboat.com,+31 35 582 7425,https://www.interboat.nl/,Tauwerk;Beschläge;Bootszubehör
Yacht Club Loosdrecht,Industrieweg,14s,1231KH,Loosdrecht,NL,,,,Werften
Zoeteweij Yerseke,Industrieweg,2,4401LB,Yerseke,NL,info@zoeteweij-yerseke.nl,+31 113 576 080,https://www.zoetewey-yerseke.nl/,Segelmacher
Maritime Service Yerseke,Molendijkseweg,8,4401NM,Yerseke,NL,,,,Tauwerk;Beschläge;Bootszubehör
Hansa Watersport,Het Sas,2,4475NA,Wilhelminadorp,NL,info@hansawatersport.nl,+31 113 223 944,https://www.hansawatersport.nl/,Tauwerk;Beschläge;Bootszubehör
Zeilmakerij Double Q,Scheendijk,23,3621VC,Breukelen,NL,info@zeilmakerijdouble-q.nl,,https://www.zeilmakerijdouble-q.nl/,Segelmacher
Beekman,Kloetingseweg,5,4462AT,Goes,NL,,,,Motor;Tauwerk;Beschläge;Bootszubehör
Leca Sails,Tinus van der Sijdestraat,19,5161CD,Sprang-Capelle,NL,,,,Segelmacher
Scheepsmakelaardij Goliath,Hendrik Bulthuisweg,2,8606KB,Sneek,NL,,,,Tauwerk;Beschläge;Bootszubehör
Dekker Watersport,Pieter Ghijsenlaan,4,1506PV,Zaandam,NL,,+31 75 616 3362,,Tauwerk;Beschläge;Bootszubehör
Aquanaut Yachting Holland,Selfhelpweg,9,8607AB,Sneek,NL,,+31 515 412 253,https://www.aquanaut.nl/,Werften;Service/Repair;Kran
TeamCo Shipyard BV,Bakkersdam,1A,5256PK,Heusden,NL,info@teamcoshipyard.nl,+31 416 665 500,https://www.teamcoshipyard.nl/,Werften;Service/Repair;Kran
Princess Yachts Benelux,Scheepswerf,1A,5256PL,Heusden,NL,info@princess-yachts.nl,+31 40 222 1888,https://www.princess-yachts.nl/,Tauwerk;Beschläge;Bootszubehör
Florian Zeilmakerij,Doctor A.F. Philipsstraat,13C,4462EW,Goes,NL,s.adiela27@hotmail.com,+31 6 36323494,,Segelmacher
Thomas Canvas,,,,,NL,,,,Segelmacher;Persenning
Zeilmakerij De Vries Maritiem,Vuurtorenweg,1,8531HJ,Lemmer,NL,,+31 514 562 015,https://zeilmakerijdevriesmaritiem.nl,Segelmacher
Zeilmakerij De Vuurtoren,Vuurtorenweg,8,8531HJ,Lemmer,NL,info@zeilmakerijdevuurtoren.nl,+31 514 534 521,https://zeilmakerijdevuurtoren.nl/,Segelmacher
Rubberboten Online,Ambachtswei,1,8501XA,Joure,NL,,,,Tauwerk;Beschläge;Bootszubehör
Modus Marine,Zuidersluisweg,84,8243RC,Lelystad,NL,info@modusmarine.nl,+31 320 261 812,https://modus-marine.nl/,Werften;Service/Repair;Kran
Mast Jachtschilders,De Werf,1,9204WV,Drachten,NL,,,,Werften;Service/Repair;Kran;Rigg
Bolt,Buitenstvallaat,10,9204WX,Drachten,NL,,,,Werften;Service/Repair;Kran
Miedema Sails,Gouden Boaijum,6,8621CV,Heeg,NL,info@miedemasails.nl,+31 515 443450,https://miedemasails.nl/,Segelmacher
Zuiderbaan Totaal Service,Suderséleane,15,8711GX,Workum,NL,,+31 514 59 35 58,https://zuiderbaanservice.nl/,Werften;Service/Repair;Kran
van Malsen Jachtbetimmering,Strânwei,22,8754HA,Makkum,NL,info@vanmalsen.nl,+31 515 232 967,https://www.vanmalsen.nl/,Werften
Koninklijke De Vries Scheepsbouw,Strânwei,6,8754HA,Makkum,NL,info@vriesyard.feadship.nl,+31 515 445 700,https://www.feadship.nl/nl/family/de-vries-groep,Werften;Service/Repair;Kran
Scheepswerf De Klop,Fortlaan,46,3554HV,Utrecht,NL,info@scheepswerfdeklop.nl,+31 30 244 1878,https://scheepswerfdeklop.nl,Werften;Service/Repair;Kran
