Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Yamaha,,,,,PT,,,,Motor;Werften;Service/Repair;Kran
União Construtora Naval,,,,,PT,,,,Werften
Sopromar,Estrada Sopromar Estaleiro,1,8600-716,Lagos,PT,,,http://www.sopromar.com/,Werften;Service/Repair;Kran
Porto de Pescas – Vila de Nordeste,Caminho do Porto,,9630-158,Nordeste,PT,,,,Werften;Service/Repair;Kran
Peça com Cor,Rua Carlos Aboim Inglês,,,Charneca de Caparica e Sobreda,PT,,,,Rigg;Tauwerk;Beschläge
C.M.A.,Estrada da Bela Vista,30,,Charneca de Caparica e Sobreda,PT,,,,Werften;Service/Repair;Kran
Rmirco Herdeiros,Rua Leite de Faria,21,,Charneca de Caparica e Sobreda,PT,,,,Werften;Service/Repair;Kran
REBOAT,"Box n.º2, Estaleiro da Marina de Albufeira, Largo das Docas",,8200-394,Albufeira,PT,,,,Werften;Service/Repair;Kran
Navalria,,,,,PT,info@navalria.pt,+351 234 378970,https://www.navalria.pt,Werften;Service/Repair;Kran
West Coast i,,,,,PT,,,,Tauwerk;Beschläge;Bootszubehör
Garraio equipamentos,,,,,PT,,,https://www.jgarraio.pt,Tauwerk;Beschläge;Bootszubehör
Laurel,,,,,PT,,,,Werften
Gasopesca,,,,,PT,,,,Tauwerk;Beschläge;Bootszubehör
Sea way,,,,,PT,,,https://siroco-nautica.pt/,Tauwerk;Beschläge;Bootszubehör
Estaleiro Naval dos Socorridos,,,,,PT,,,https://tecnoviayachtservice.pt/index.php/pt/estaleiros/estaleiro-naval-dos-socorridos,Werften;Service/Repair;Kran
Southwest Boats,,,,,PT,,,,Tauwerk;Beschläge;Bootszubehör
"Nautifish, lda - Loja Náutica e Pesca Online",Rua Major Neutel de Abreu,116,3260-427,Figueiró dos Vinhos,PT,,+351236628235,,Tauwerk;Beschläge;Bootszubehör
Marina Guadiana,,,,,PT,,,https://marinaguadiana.com/,Werften;Service/Repair;Kran
Estaleiros da Lisnave,,,,,PT,,,,Werften;Service/Repair;Kran
Arsenal do Alfeite,,,,,PT,,,https://www.arsenal-alfeite.pt/,Werften;Service/Repair;Kran
Porto dos Carneiros,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiros Navais de Viana do Castelo,,,,,PT,,,https://west-sea.pt/,Werften;Service/Repair;Kran;Navigation/Instrumente
Navaltagus,,,,,PT,,,,Werften;Service/Repair;Kran
Varadouro de São Lázaro,,,,,PT,,,,Werften;Service/Repair;Kran
Oficina de Botes Baleeiros do Capelo,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro da Rocha do Conde de Óbidos,,,1399-036,Lisboa,PT,,,,Werften;Service/Repair;Kran
Encantos da Foz lda,Rua de São Brás,259 Poente,,,PT,,,,Werften
Estaleiro Naval José Gouveia,,,,,PT,,,,Werften;Service/Repair;Kran
Portinho da Achada,Caminho do Porto,,,Achada,PT,,,,Werften;Service/Repair;Kran
Hangar Municipal,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro Naval de Peniche,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro Douro Marina,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro de Construção Civil,,,,,PT,,,,Werften;Service/Repair;Kran
Centro Nautico Sopromar de Lagos,Estrada Sopromar Estaleiro,1,8600-716,Lagos,PT,,,http://www.sopromar.com/,Werften;Service/Repair;Kran
Estaleiros do ouro - Calafates,Rua do Ouro,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro da Junta de Freguesia de Colmeias e Memória,,,,,PT,,,,Werften;Service/Repair;Kran
Oceanáutica,,,,,PT,,+351 234 331 327,,Tauwerk;Beschläge;Bootszubehör
Estaleiros Navais do Mondego - Atlantic Eagle,Rua dos Estaleiros,,3090-749,Figueira da Foz,PT,,+351 233 412 480,https://atlanticeagle.pt,Werften;Service/Repair;Kran;Navigation/Instrumente
Estaleiro Naval de Água de Pena,,,,,PT,,,https://tecnoviayachtservice.pt/index.php/en/boatyards/agua-de-pena-boatyard,Werften;Service/Repair;Kran
Estaleiro da Barroca,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro Venamar,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro do Talaminho,,,,,PT,,,,Werften;Service/Repair;Kran
