Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Estaleiro da Rocha do Conde de Óbidos,,,1399-036,Lisboa,PT,,,,Werften;Service/Repair;Kran
Encantos da Foz lda,Rua de São Brás,259 Poente,,,PT,,,,Werften
Estaleiro Naval José Gouveia,,,,,PT,,,,Werften;Service/Repair;Kran
Portinho da Achada,Caminho do Porto,,,Achada,PT,,,,Werften;Service/Repair;Kran
Hangar Municipal,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro Naval de Peniche,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro Douro Marina,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro de Construção Civil,,,,,PT,,,,Werften;Service/Repair;Kran
Centro Nautico Sopromar de Lagos,Estrada Sopromar Estaleiro,1,8600-716,Lagos,PT,,,http://www.sopromar.com/,Werften;Service/Repair;Kran
Estaleiros do ouro - Calafates,Rua do Ouro,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro da Junta de Freguesia de Colmeias e Memória,,,,,PT,,,,Werften;Service/Repair;Kran
Oceanáutica,,,,,PT,,+351 234 331 327,,Tauwerk;Beschläge;Bootszubehör
Estaleiros Navais do Mondego - Atlantic Eagle,Rua dos Estaleiros,,3090-749,Figueira da Foz,PT,,+351 233 412 480,https://atlanticeagle.pt,Werften;Service/Repair;Kran;Navigation/Instrumente
Estaleiro Naval de Água de Pena,,,,,PT,,,https://tecnoviayachtservice.pt/index.php/en/boatyards/agua-de-pena-boatyard,Werften;Service/Repair;Kran
Estaleiro da Barroca,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro Venamar,,,,,PT,,,,Werften;Service/Repair;Kran
Estaleiro do Talaminho,,,,,PT,,,,Werften;Service/Repair;Kran
