Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Marine Motoshop,,,,,RO,,,,Tauwerk;Beschläge;Bootszubehör
Caiac Shop,Strada Potopului,12,,Târgu Mureș,RO,,+40747835624,https://www.caiac-shop.ro,Tauwerk;Beschläge;Bootszubehör
Select Tours,,,,,RO,,,,Werften;Service/Repair;Kran
Şantierul Naval Vard Braila,Strada Celulozei,1A,810282,Brăila,RO,,,,Werften;Service/Repair;Kran
Hydrobycicle Yard,,,,,RO,,,,Werften;Service/Repair;Kran
Damen Shipyards Mangalia,Șoseaua Portului,1,,Mangalia,RO,,,https://www.damen.com/en/companies/damen-shipyards-mangalia,Motor;Werften;Service/Repair;Kran
doc SORENA,,,,,RO,,,,Werften;Service/Repair;Kran
Dry dock no. 2,,,,,RO,,,,Werften;Service/Repair;Kran
Dry dock no. 1,,,,,RO,,,,Werften;Service/Repair;Kran
Floating Dock no. 2,,,,,RO,,,,Werften;Service/Repair;Kran
Floating Dock no. 1,,,,,RO,,,,Werften;Service/Repair;Kran
Gsp Shipyard Agigea,,,,,RO,,,,Werften;Service/Repair;Kran
Șantierul Naval Constanța,,,,,RO,,,,Werften;Service/Repair;Kran
