Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Navtika Cizej d.o.o.,Kopitarjeva ulica,8.0,2000,Maribor,SI,info@navtika-cizej.si,+386 2 228 23 30,http://www.navtika-cizej.si,Tauwerk;Beschläge;Bootszubehör
Blumar d.o.o.,Vrhovlje,1.0,6221,Dutovlje,SI,,,https://www.blumar.si/,Werften
Whaly Čolni,Kersnikova ulica,6.0,1000,Ljubljana,SI,,,https://whaly-boats.si/,Tauwerk;Beschläge;Bootszubehör
STRAVS SAILS - Jadrarna Seaway Portorož d.o.o.,,,,,SI,,,,Segelmacher
Stal Mar d.o.o.,,,,,SI,,,,Tauwerk;Beschläge;Bootszubehör
Marine System d.o.o.,,,,,SI,,,,Tauwerk;Beschläge;Bootszubehör
C&G NAVIGATOR PTUJ d.o.o.,Ormoška cesta,29.0,2250,Ptuj,SI,info@navigator-ptuj.si,+386 51 238 901,https://www.navigator-ptuj.si/,Tauwerk;Beschläge;Bootszubehör
Škver,,,,,SI,,,,Werften
Marina Izola,,,,,SI,,,,Werften;Service/Repair;Kran
AsBoats,Turnerjeva ulica,2.0,2313,Fram,SI,,,https://www.as-boats.si/si/kontakt/,Tauwerk;Beschläge;Bootszubehör
