Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Astillero IZAR Gijón,,,,,ES,,,,Werften;Service/Repair;Kran
Nautica Miguel Rivas,,,,,ES,,,,Werften;Service/Repair;Kran
Centro Náutico,,,,,ES,,,,Werften;Service/Repair;Kran
Drettmann International,,,,,ES,,,,Motor;Tauwerk;Beschläge;Bootszubehör
Nauservis,Avinguda de Joan Maragall,17,08320,El Masnou,ES,,,,Werften
Marítimas Reunidas,Calle de Sierra Morena,19,,,ES,,+34 916752066,http://www.maresa.es,Rigg;Tauwerk;Beschläge
Nordeste,Avenida de José Hierro,46,39007,Santander,ES,info@velerianordeste.com,+34 942235556,https://www.velerianordeste.com/,Tauwerk;Beschläge;Bootszubehör
Tack velas,,,,,ES,,,,Segelmacher
Náutica Antonio de la Peña,Paseo de la Farola,15,29016,,ES,,,,Tauwerk;Beschläge;Bootszubehör
La Marina Yacht Service Sl,carretera de Teulada a Moraira,1,03724,Moraira,ES,,+34 965 743 091,http://www.lamarinayachtservice.es,Tauwerk;Beschläge;Bootszubehör
AD NAUTIC,Avinguda de Joan Fuster,2c,03700,Dénia,ES,nautica@mundomarino.es,+34965784501,https://www.efectosnavales.es/,Tauwerk;Beschläge;Bootszubehör
Marine Yacht Care,,,,,ES,,,,Werften;Service/Repair;Kran
Motonautica Ogalla,,,,,ES,,,,Werften;Service/Repair;Kran
Náutica Guardamar,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Sport Nautic,Avinguda de Joan Fuster,1,03700,Dénia,ES,info@sportnautic.com,+34 96 578 43 20,https://sportnautic.com/,Tauwerk;Beschläge;Bootszubehör
Náutica Noguera,,,,,ES,,+34965780778,https://www.nauticanoguera.com/,Tauwerk;Beschläge;Bootszubehör
M.D. Náutica,,,,,ES,,,https://www.mdnautica.com/,Tauwerk;Beschläge;Bootszubehör
Salomar Velas,circunvalacion D.Aurelio folgar 2 Troans,2,,Cuntis,ES,,,,Segelmacher
Sotoboats Chartering & Sales,Puerto Deportivo de Estepona,,29680,Estepona,ES,,+34 951 50 73 55,http://www.sotoboats.com,Tauwerk;Beschläge;Bootszubehör
Astillero Redondela,,,,,ES,,,,Werften;Service/Repair;Kran
"Talleres Candano, S.L.",,,,,ES,info@tcandano.com,+34 985 59 02 48,https://www.tcandano.com/,Tauwerk;Beschläge;Bootszubehör
BlueSea Nautic,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Yacht Chandlers,Dic de Ponent (Estació Marítima),,,,ES,,+34 931195336,,Werften
Náutica Costa,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Nautica Busturia,,,,,ES,,,,Werften
Jotun Ibérica,,,,,ES,,,,Werften;Service/Repair;Kran
NLC Tapiceria Nautica,,,,,ES,nauticnlc@gmail.com,+34 661 61 83 82,,Persenning;Polster/Sattlerei;Tauwerk;Beschläge;Bootszubehör
"Metalships & Docks, S.A.U.",,,,,ES,,,,Werften;Service/Repair;Kran
Estaleiros Montenegro,,,,,ES,,,,Werften;Service/Repair;Kran
Palmaloft,Carrer dels Mestres d'Aixa,5,07014,Palma de Mallorca,ES,,+34696741181,https://www.palmaloft.com/,Rigg;Tauwerk;Beschläge
Sea Safe,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Performance,,,,,ES,,,,Motor;Tauwerk;Beschläge;Bootszubehör
Elvstrom,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Nautiparts,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Deltamar,,,,,ES,,,,Werften
Galemar Naútica,Carretera de La Palma,,30310,Cartagena,ES,,,,Tauwerk;Beschläge;Bootszubehör
Scanner Spain,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Ocibar,,,,,ES,,,,Werften
Teo,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Cyan marine,,,,,ES,,,,Werften
Huelmo,,,,,ES,,,,Werften
Pep Campos,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Abrigo Porto,,,,,ES,,,,Werften;Service/Repair;Kran
Marinaseca,,,,,ES,,,https://marinacoruna.es/,Segelmacher
Motonáutica,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Piraguas GM,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Yes Marine Yacht Engineering Supplies,Carrer de la Pau,12,08930,Sant Adrià de Besòs,ES,,+34 654600622,https://yes-marine.com/,Motor;Tauwerk;Beschläge;Bootszubehör
Náutica Mengual,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
"Astilleros Astondoa, S.A.",Carrer del Moll de Ponent / Calle del Muelle de Poniente,,,,ES,info@astondoa.com,+34 966 694 574,https://astondoa.com/,Werften;Service/Repair;Kran
Maksyboats,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Accastillage Diffusion Javea,,,,Javea Port,ES,javea@mundomarino.es,,https://www.efectosnavales.es,Tauwerk;Beschläge;Bootszubehör
General Elevadores,Calle Rafael Belmonte García,,41010,Sevilla,ES,,+34 954336078,https://www.generalelevadores.com/,Rigg;Tauwerk;Beschläge
Astilleros Araez,,,,,ES,,,,Werften;Service/Repair;Kran
Club Nàutic Vilanova,Dic de Ponent,,,,ES,cnv@cnvilanova.cat,+34 938150267,https://www.cnvilanova.cat/,Werften
Vilanova Grand Marina,Dic de Ponent (Estació Marítima),,,,ES,info@vilanovagrandmarina.com,+34 938105611,https://www.pendennisvilanova.com/,Werften
Ossian Fasteners,Carrer de l'Àncora,33,,,ES,enquiries@ossianfasteners.com,+34 938101310,https://www.ossianfasteners.com,Werften
Lava Chandlers,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Náutica Güimar,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Náutica El Gobernador,El Gobernador,,,,ES,,+34 985 89 18 16,,Tauwerk;Beschläge;Bootszubehör
Denitel,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Fundes Maremar,Carrer Sant Felip,71,08320,El Masnou,ES,,+34 93 540 29 24,,Tauwerk;Beschläge;Bootszubehör
Obrallar,,,,,ES,,,,Werften
Nàutica Pascual,Rambla de Joan Baptista Pirelli,94,08800,,ES,nauticapascual@nauticapascual.es,+34 938100022,,Segelmacher
Lonas y tejidos JNB,Carrer Àncora,33,08800,,ES,info@jnb.es,+34 938103073,https://www.jnb.es,Segelmacher
Dradisa,Passatge de Joaquim Blume,7,08800,,ES,comercial@dradisa.es,+34 938151512,,Werften
Agrumaca grup,,,,,ES,agrumaca@agrumaca.com,,https://www.agrumaca.com/,Werften
Metaltec Naval,Calle Galera,,39600,Maliaño,ES,info@metaltecnaval.com,+34 942 369 022,https://www.metaltecnaval.com/,Werften;Service/Repair;Kran
Navantia - San Fernando,Carretera de la Carraca,,11100,San Fernando,ES,,,https://www.navantia.es/es//,Werften;Service/Repair;Kran
Factoria Astilleros Navantia,Carretera de la Carraca,,11100,San Fernando,ES,,,https://www.navantia.es/es//,Werften;Service/Repair;Kran
Navantia,,,,,ES,,,https://www.navantia.es/es//,Werften;Service/Repair;Kran
Angar,,,,,ES,,,,Werften;Service/Repair;Kran
LíneaJet Center,Varadero Alcaidesa,,11300,La Línea de la Concepción,ES,info@lineajetcenter.com,+34 669 19 43 57,,Tauwerk;Beschläge;Bootszubehör
AD Bahía de Algeciras,Varadero Alcaidesa,,11300,La Línea de la Concepción,ES,,,,Tauwerk;Beschläge;Bootszubehör
Nautichandler Vilanova,Moll de Ponent s/n,,08800,Vilanova i la Geltrú,ES,vilanova@nautichandler.com,+34 663317430,,Tauwerk;Beschläge;Bootszubehör
"Factoria Astilleros Navantia. San Fernando (Antes, La Bazan de San Fernando)",Arrsenal de la Carraca,,11100,San Fernando,ES,,,https://www.navantia.es/es//,Werften;Service/Repair;Kran
Altavela,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Blancomar Náutica S.L.,Calle de Santiago,109,38001,Santa Cruz de Tenerife,ES,,+34628017407,http://www.blancomarnautica.es/,Tauwerk;Beschläge;Bootszubehör
AccuaJet Coma-ruga,,,43880,Coma-ruga,ES,info@accuajetcomarruga.com,+34 877 225 116,,Tauwerk;Beschläge;Bootszubehör
Itzurun Nautika,Santiago auzoa,8,20750,Zumaia,ES,,+34 943 86 00 08,,Tauwerk;Beschläge;Bootszubehör
Redymar,Santiago auzoa,10,20750,Zumaia,ES,redymar@redymar.com,+34 943 14 31 76,https://redymar.com/,Tauwerk;Beschläge;Bootszubehör
El Chopo,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Tropical Nautic,Avenida Julio Moreno,15,,,ES,,+34 651829694,http://www.tropicalnautic.es/,Tauwerk;Beschläge;Bootszubehör
Top Boats,Paseo del Canal,,,San Roque,ES,,,,Tauwerk;Beschläge;Bootszubehör
Nautica Tritón,,,,,ES,,+34 958833885,http://www.nauticatriton.com/,Tauwerk;Beschläge;Bootszubehör
Interboat,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
"Lo Sirgador, turisme fluvial",Rambla de Felip Pedrell,,43500,Tortosa,ES,,,,Navigation/Instrumente;Tauwerk;Beschläge;Hydraulik;Bootszubehör
Nagasa,Rúa Pizarro,50,36204,Vigo,ES,,+34986471989,,Tauwerk;Beschläge;Bootszubehör
Astilleros Gondán,,,,,ES,,,,Werften;Service/Repair;Kran
Estaleiro de Hermida,,,,,ES,,,,Werften;Service/Repair;Kran
Estaleiro de Purro,,,,,ES,,,,Werften;Service/Repair;Kran
Sun Sails Marina,,,,,ES,,,,Werften;Service/Repair;Kran
Astilleros Balenciaga,Santiago auzoa,1,20750,Zumaia,ES,balenciaga@astillerosbalenciaga.com,+34 943 862008,https://www.astillerosbalenciaga.com/,Werften;Service/Repair;Kran
Navantia Puerto Real,,,,,ES,,,,Werften;Service/Repair;Kran
Dragados Off-shore,,,,,ES,,,,Werften;Service/Repair;Kran
Astilleros de Cádiz - Navantia,Avenida de Astilleros,,,,ES,,,,Werften;Service/Repair;Kran
Helimotor,,,,,ES,info@helimotor.com,+34 972 45 12 11,https://helimotor.com,Motor;Tauwerk;Beschläge;Bootszubehör
Astilleros de Mallorca,,,,,ES,,,,Werften;Service/Repair;Kran
Zona embarcaciones oficiales,,,,,ES,,,,Werften;Service/Repair;Kran
Talleres Náuticos,,,,,ES,,,,Werften
DIVE&DIVE Centro de Buceo,,,,,ES,,,,Werften;Service/Repair;Kran
Astilleros Armón Gijón,,,,,ES,,,,Werften;Service/Repair;Kran
Estaleiros Armón Burela,,,,,ES,,,https://www.astillerosarmon.com/es/armon-burela.html,Werften;Service/Repair;Kran
Real Carenero,,,,,ES,,,,Werften;Service/Repair;Kran
Varadero Port Denia,,,,,ES,,,https://www.portdenia.com/superyacht-shipyard/,Werften;Service/Repair;Kran
Varaderos de Cillero,,,,,ES,,,,Werften;Service/Repair;Kran
Nautic Luis,Avinguda de la República Catalana,46,17487,Empuriabrava,ES,nauticluis@nauticluis.com,+34 972 450063,https://nauticluis.com,Tauwerk;Beschläge;Bootszubehör
Varaderos de Celeiro,,,,,ES,,,,Werften;Service/Repair;Kran
Nautica Fornés,,,,,ES,,+34 639 57 92 69,https://nauticafornes.com/,Tauwerk;Beschläge;Bootszubehör
Ampurianautic,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Sunseeker,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Metropol Nauticas,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Marina Seca de Dénia,Camí de Gandia,,03700,Dénia,ES,haro@mundomarino.es,+34966426865,https://www.mundomarino.es/,Werften;Service/Repair;Kran
Varadero,,,,,ES,,,,Werften;Service/Repair;Kran
Estaleiro da Graña,,,,,ES,,,,Werften;Service/Repair;Kran
Costa de embarcacións,,,,,ES,,,,Werften;Service/Repair;Kran
Astilleros Armon,,,,,ES,,,,Werften;Service/Repair;Kran
Astilleros Zamakona,,,,,ES,,,,Werften;Service/Repair;Kran
Pepito de Farei,,,,,ES,,,,Werften;Service/Repair;Kran
Astilleros Cernaval,,,,,ES,,,,Werften;Service/Repair;Kran
Embarcadero de Alcalá,,,,,ES,,,,Werften;Service/Repair;Kran
Nàutica Sóller,carreró d'en Figa,6,,,ES,,,,Motor;Tauwerk;Beschläge;Bootszubehör
VGP La Naval,,,,,ES,,,,Werften;Service/Repair;Kran
Atlantic Passion,,,,,ES,,,,Werften;Service/Repair;Kran
Nodosa,,,,,ES,,,https://www.nodosa.com/,Werften;Service/Repair;Kran
Astilleros Placeres,,,,,ES,,,,Werften;Service/Repair;Kran
motonàutica Ensenyat,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
nàutica Vermell,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Varador,,,,,ES,,,,Werften;Service/Repair;Kran
Varadero Estepona,,,,,ES,,,,Werften;Service/Repair;Kran
O Carro,,,,,ES,,,,Werften;Service/Repair;Kran
Estaleiros Factorías Vulcano,,,,,ES,,,,Werften;Service/Repair;Kran
Varadero Puerto Calero,,,,,ES,,,,Werften;Service/Repair;Kran
Astilleros Nereo,Callejón de Marina,10,,,ES,info@astillerosnereo.com,+34 952291198,https://www.astillerosnereo.com/,Werften;Service/Repair;Kran
Navemar,,,,,ES,,,,Werften;Service/Repair;Kran
Sasga Yachts,Avinguda Circumvalació,35,07711,,ES,sasga@sasgayachts.com,+34 971 15 67 79,https://www.sasgayachts.com/,Werften;Service/Repair;Kran
Jordi Arenós Nàutica,Port Pesquer,,43860,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Jets 24,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Blau Naval,,,,,ES,,,,Werften
Heavy seas,,,,,ES,,,,Werften
Nàutica Castrovan,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
motonáutica Sampol,,,,,ES,,,,Werften
Aister,,,,,ES,,+34986240294,www.aister.com,Werften;Navigation/Instrumente
Atollvic,,,,,ES,,+34 986 393 170,https://www.atollvic.com/,Werften
Nova nàutica,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Astilleros del Guadalquivir,,,,,ES,,,http://www.astillerosguadalquivir.eu/,Werften;Service/Repair;Kran
Alcudiamar,,,,,ES,,,,Werften;Service/Repair;Kran
A Poutada,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Peirao do Chafarro,,,,,ES,,,,Werften;Service/Repair;Kran
Estaleiro de Casqueiro,,,,,ES,,,,Werften;Service/Repair;Kran;Navigation/Instrumente
Multimar,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Bennàsar,,,,,ES,,,,Werften
Náutica Antonio de la Peña,Calle Casares,1,29004,,ES,,,https://nap.es,Tauwerk;Beschläge;Bootszubehör
Navantia - San Fernando,,,,,ES,,,https://www.navantia.es/es//,Werften;Service/Repair;Kran
RMB,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Astilleros Ría de Avilés,,,,,ES,,,,Werften;Service/Repair;Kran
Varaderos y talleres del Mediterráneo,,,,,ES,,,,Werften;Service/Repair;Kran
Rodman,,,,,ES,,+34986811818,https://rodman.es/,Motor;Werften
Audax Marina,,,,,ES,,,,Werften;Service/Repair;Kran
Talleres Blascar,,,,,ES,,,,Werften;Service/Repair;Kran
Marina Center,Carretera de Cala Reona,,30370,Cabo de Palos,ES,,+34 968 14 50 77,https://www.marinacenter.com/,Tauwerk;Beschläge;Bootszubehör
Nàutica El Paso,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Estaleiro do Chazo,,,,,ES,,,,Werften
Roses Nautic,,,,,ES,,+34 972 15 24 61,https://www.rosesnautic.com,Tauwerk;Beschläge;Bootszubehör
Náutica Estartit,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Estaleiro Amado S.L.,,,,,ES,,,,Werften;Service/Repair;Kran
Blue Parrot Offshore,,,,,ES,,,,Werften;Service/Repair;Kran
Náutica Calafell M.G.,,,,,ES,,,,Tauwerk;Beschläge;Bootszubehör
Astillero y Varadero El Rodeo,,,,,ES,,,,Werften;Service/Repair;Kran
Línea Náutica,Carretera de las Industrias,,11300,La Línea de la Concepción,ES,,,,Motor;Tauwerk;Beschläge;Bootszubehör
Nauta Morgau,,,,,ES,,,,Werften
Motonautica,,,,,ES,,,,Werften;Service/Repair;Kran
Navantia Astillero de Cartagena,,,,,ES,,,,Werften;Service/Repair;Kran
Rio Iberica,Avinguda de Tramuntana,,17487,Empuriabrava,ES,rio@rioiberica.com,+34972450354,https://www.nautica-rio.com/,Tauwerk;Beschläge;Bootszubehör
