Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Oscar,,,,,HU,,,,Werften;Service/Repair;Kran
Csónakkikötő,,,,,HU,,,,Werften;Service/Repair;Kran
Neptun kikötő,,,,,HU,,,,Werften;Service/Repair;Kran
kenu kikötőhely,,,,,HU,,,,Werften;Service/Repair;Kran
Vidám Vidra Vízitúrák,,,,,HU,,+36 70 369 3538,,Werften;Service/Repair;Kran
Jóhajó,Karolina út,17,1113,Budapest,HU,,,http://www.johajo.hu/,Tauwerk;Beschläge;Bootszubehör
Jeanneau-Prestige Magyarországi Képviselet,Szent Korona utca,84,1161,Budapest,HU,info@jeanneau.hu,+36 1 270 0017,https://jeanneau.hu/,Tauwerk;Beschläge;Bootszubehör
Marina Vitolázók boltja,San Marco utca,56,1032,Budapest,HU,,+36306373637,https://www.marina.hu/,Tauwerk;Beschläge;Bootszubehör
Siófoki BAHART kikötő,,,,,HU,,,,Werften;Service/Repair;Kran
Kisfaludy Gőzös Sétahajó - Balatoni Séthajózási Kft.,,,,,HU,,,,Werften;Service/Repair;Kran;Metallbau
Admiralis,,,,,HU,,,,Tauwerk;Beschläge;Bootszubehör
Trinexus Aqua,Mázsa tér,5-7,1107,Budapest,HU,info@trinexus.hu,+36 1 278 0990,https://www.trinexus.hu/,Tauwerk;Beschläge;Bootszubehör
Holovits Vitorlásbolt,Budapesti út,87,8623,Balatonföldvár,HU,,+36 84 342 324,https://vitorlastanfolyam.holovits.hu/vitorlasbolt-balatonfoldvar/,Tauwerk;Beschläge;Bootszubehör
Hajósbolt,Csillaghegyi út,23,1037,Budapest,HU,info@hajoswebshop.hu; freeboatofficial@gmail.com,+3670 452 5225,https://hajosbolt.com/,Tauwerk;Beschläge;Bootszubehör
Tó jetski bérlés,,,,,HU,,,,Tauwerk;Beschläge;Bootszubehör
Szeged-Tápé hajógyár,,,,,HU,,,,Werften;Service/Repair;Kran
Hunsails Vitorlaszabó Műhely,,,,,HU,,+36 20 995 9877,https://hunsails.hu,Segelmacher
Hajószerviz,,,,,HU,,,,Werften
Piarista csónakház,,,,Tiszaug,HU,,,,Werften
kishajó tároló,,,,,HU,,,,Werften;Service/Repair;Kran
Wiking yacht club,,,,,HU,,,,Werften;Service/Repair;Kran
Magnum Marine,,,,,HU,,,,Tauwerk;Beschläge;Bootszubehör
Vidra Csónakház,,,,,HU,,,,Werften;Service/Repair;Kran
Fűzfa Pihenőpark és Kikötő,,,,,HU,,,,Motor;Werften;Service/Repair;Kran
Katamarán Kemping,,,,,HU,,,,Werften;Service/Repair;Kran
Trinexus hajósbolt,Brüsszeli körút,22/C,6721,Szeged,HU,szeged@trinexus.hu,+36 62 499 995,https://www.trinexus.hu/,Tauwerk;Beschläge;Bootszubehör
Silver Dock,,,,,HU,,,https://silverdock.hu/,Werften;Service/Repair;Kran
Port 313,,,,,HU,,,https://port313.hu/,Werften;Service/Repair;Kran
Rinivi Antislip Kft.,,,,,HU,,,,Werften
Picula és Társa Kft.,Fő utca,60,8195,Királyszentistván,HU,piculasailing@gmail.com,+36 20 935 3680,https://www.picula.hu/,Werften
Domokos Kötél,Széchenyi utca,97,5520,Szeghalom,HU,,+36 30 945 6384,,Rigg;Tauwerk;Beschläge
Maritime Hajósbolt,Gyöngysor utca,10-12,1037,Budapest,HU,,,https://maritime.hu/,Tauwerk;Beschläge;Bootszubehör
