Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Staatswerft,,,,,DE,,,,Werften;Service/Repair;Kran
Bootshafen Hannover,,,,,DE,,,,Werften;Service/Repair;Kran
Oldenburger Yacht Club,,,,,DE,,,https://www.oyc.de/,Werften;Service/Repair;Kran
Bootsbau Herold,,,,,DE,,,https://www.bootsbau-herold.de,Werften;Tauwerk;Beschläge;Bootszubehör
Bootswerft Landberg,Werftstraße,2,25761,Büsum,DE,,,,Werften;Service/Repair;Kran
Marscheider Maschinenbau GmbH,Am Fischereihafen,10,25761,Büsum,DE,,,https://www.marscheider-maschinenbau.de/,Werften;Service/Repair;Kran
Schiffsausrüster Sassnitz,Hafenstraße,12H,18546,Sassnitz,DE,schiffsausruester@t-online.de,+49 38392 33134,https://www.schiffsausruester.net/,Tauwerk;Beschläge;Bootszubehör
HANSA-Werft,,,,,DE,,,,Werften;Service/Repair;Kran
Siemer Jachtservice,,,,,DE,,,https://www.siemer-jachtservice.de,Werften;Service/Repair;Kran
Jan Segel,,,,,DE,,,,Segelmacher
Museumshafen,,,,,DE,,,,Werften;Service/Repair;Kran
Jacko Werft Kai Jacobi Dolgenbrodt,Dahme Ufer,14,15754,Heidesee,DE,,,,Werften;Service/Repair;Kran
Besmer Bootswerft,Wernsdorfer Straße,26c,12527,Berlin,DE,,+49 30 6758032,http://www.besmer-boote.de,Werften;Service/Repair;Kran
Marina Fehmarnsund - Bootswerft Schaich,,,,,DE,,+49 4371 6713,https://bootswerft-schaich.de/,Werften;Service/Repair;Kran
Yachtwerft Klemens,,,,,DE,info@yachtwerft-klemens.de,+49 4367 999077,https://www.yachtwerft-klemens.de/,Werften;Service/Repair;Kran
Neue Jadewerft,,,,,DE,,+49 4421 3990,,Werften;Service/Repair;Kran
Turbo-Technik Reparatur-Werft,,,,,DE,,+49 4421 30780,,Werften;Service/Repair;Kran
Böbs Werft,,,,,DE,,,,Werften;Service/Repair;Kran
Wasserstraßen- und Schifffahrtsamt Minden,,,,,DE,,,,Werften;Service/Repair;Kran
Störtebeker,,,,,DE,,,,Werften;Service/Repair;Kran
Oderwerft,,,,,DE,,,,Werften;Service/Repair;Kran
Neuhäuser Werft,,,,,DE,,,,Werften;Service/Repair;Kran
Yabonet,,,,,DE,,,,Tauwerk;Beschläge;Bootszubehör
Marburger Bootswerft,Am Schubstein,7,35091,Cölbe,DE,,,http://marburger-bootswerft.de/,Werften;Service/Repair;Kran
Bootshop-Isselhorst,Brockhagener Straße,284,33649,Bielefeld,DE,,+49 521 99997310,https://www.bootshop-online.shop/de/,Tauwerk;Beschläge;Bootszubehör
Bernds Bootsdienst,,,,,DE,,,,Tauwerk;Beschläge;Bootszubehör
Baltic Windsport,Warnowufer,65,18057,Rostock,DE,,+493812009555,https://baltic-sport.de/index.php,Tauwerk;Beschläge;Bootszubehör
Oberelbe GmbH,Rudolf-Sendig-Straße,14,01814,Bad Schandau,DE,,,,Werften;Service/Repair;Kran
Bootswerft Palm,Unter den Linden,5,16798,Fürstenberg/Havel,DE,,,,Werften;Service/Repair;Kran
Weise Wassersport,Tizianstraße,53,80638,München,DE,,,,Tauwerk;Beschläge;Bootszubehör
EAGLE Catamarane / Catstadl,Stadelner Straße,27,91735,Muhr am See,DE,catstadl(ät)t-online.de,+49 9831 50 169,https://www.eagle-catamaran.de/,Tauwerk;Beschläge;Bootszubehör
"Rockmann Seilerei, Bürsten",Hildesheimer Straße,37,30169,Hannover,DE,,,,Motor;Rigg;Tauwerk;Beschläge
USE Bootsservice,,,,,DE,bootsbau@u-s-e.org,+49 30 677880125,http://www.use-bootsservice.de/,Werften;Service/Repair;Kran
Schweriner Boots- & Yachthandel Slipservice,,,,,DE,,,,Werften;Service/Repair;Kran
