Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
ehemalige Schiffswerft Korneuburg,,,,,AT,,,,Werften;Service/Repair;Kran
Wöss Marine,,,,,AT,,,,Tauwerk;Beschläge;Bootszubehör
Zillen Witti,,,,,AT,info@witti.co.at,+43 7285 6390,http://www.witti.co.at/,Tauwerk;Beschläge;Bootszubehör
OneSails - Bodensee,Kohlplatzstraße,16,6971,Hard,AT,,,,Tauwerk;Beschläge;Bootszubehör
Erlaufseeschifffahrt,,,,,AT,,,,Werften;Service/Repair;Kran;Hydraulik
Armster Bootszubehör,Täglicher Markt,4,3500,Krems an der Donau,AT,,+43 2732 82298,https://www.armster.at/leistungen/verkauf-bootszubehoer/,Tauwerk;Beschläge;Bootszubehör
Bootsverleih Offenhauser,Seedorf,14,,,AT,,,,Rigg;Tauwerk;Beschläge
Maritimo,,,,,AT,,,,Tauwerk;Beschläge;Bootszubehör
NIULA Boats,Gewerbestraße,1,7122,Gols,AT,,,,Tauwerk;Beschläge;Bootszubehör
easykanu Paddelshop,,,,,AT,,+4369913169931,https://easykanu.at,Tauwerk;Beschläge;Bootszubehör
ÖSWAG Schiffswerft,,,,,AT,,,,Werften;Service/Repair;Kran
G. Ascherl GmbH,Industriestraße,43,6971,Hard,AT,office@ascherl.at,+43 5574 89900-0,http://www.ascherl.at,Tauwerk;Beschläge;Bootszubehör
Boote Stummer,Uferstraße,11,4801,Traunkirchen,AT,boote.stummer@utanet.at,+43 7617 2248,https://www.boote-stummer.at/,Tauwerk;Beschläge;Bootszubehör
Parallelwelt,,,,,AT,,,,Werften
OneSails Austria,Schwechater Straße,35,2322,Zwölfaxing,AT,office@onesails.at,+43 1 7065454,http://www.onesails.at,Segelmacher
Segelmacher Weber,Sickenberggasse,15,1190,Wien,AT,,,https://www.segelmacher-weber.at/,Segelmacher
SUNBEAM Yachts,Köstendorfer Landesstraße,7,5163,Mattsee,AT,sunbeam@sunbeam.at,+43 6217 5581-0,https://www.sunbeam-yachts.com/,Werften
Bootswerft Steiner Nautic,,,,,AT,,,,Werften
Werft Schmalzl,Seecorso,13a,9220,Velden am Wörther See,AT,office@boote-schmalzl.at,+43(0)4274/2284,https://www.boote-schmalzl.at/,Werften;Service/Repair;Kran
Maletschek Nautics GmbH,Betriebsgebiet Jochen I,4,7121,Weiden am See,AT,,,,Tauwerk;Beschläge;Bootszubehör
Boote Schmalzl,Seecorso,13,9220,Velden am Wörther See,AT,office@boote-schmalzl.at,+43(0)4274/2284,https://www.boote-schmalzl.at/,Tauwerk;Beschläge;Bootszubehör
Multihull Sailing Center,Im Seebad,,7091,Breitenbrunn,AT,,+43 664 8466117,https://multihull-sailing.net,Tauwerk;Beschläge;Bootszubehör
Werft Fußach,,,,,AT,,,,Werften;Service/Repair;Kran
