Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Marina Kammer,,,,,AT,,,,
Motoryachtclub Steyregg,,,,,AT,,,,
Hafen Jois,,,,,AT,,,,
Motor-Yacht-Club Wachau,Yachthafenstraße,7,3500,Krems an der Donau,AT,mycw@aon.at,+43 2732 836 17,http://www.motoryachtclubwachau.at/,
Rust,,,,,AT,,,,
Rust,,,,,AT,,,,
Alter Hafen,,,,,AT,,,,
Motorboot-Club St.Pölten-Rossatz,,,,,AT,mbc-rossatz@gmx.at,+43 2742 362649,http://www.mbc-rossatz.at/,
Hafen Joching - Wassersportclub Weißenkirchen,,,,,AT,,+43 2715 72828,,
Wassersportclub Spitz,,,,,AT,,+43 664 2314705,https://spitz.riskommunal.net/system/web/gelbeseite.aspx?menuonr=223779145&detailonr=223948566,
Yachthafen Emmersdorf,,,,,AT,info@hafenemmersdorf.com,+43 664 1820373,https://www.hafenemmersdorf.at/,
Campingplatz Marbacher Freizeitzentrum & Sportboothafen,,,,,AT,info@marbach-freizeit.at,+43 7413 20733,https://www.marbach-freizeit.at/bootsliegeplatz/,
Freizeithafen Ardagger,,,,,AT,sigi.wagner@aon.at,+43 664 4137931,https://steckerlfisch-ardagger.at/,
Bootshafen St. Johann,,,,,AT,,,,
Marina Schloßteich,,,,,AT,,,,
Bootsverleih Kapeller,,,,,AT,,,https://www.bootsverleih.at/,
Loretto,,,,,AT,,,,
Segelboot Club Krems,,,,,AT,info@segelbootclub-krems.at,,https://www.segelbootclub-krems.at/,
Kran für Ennkraftwerk Ternberg,,,,,AT,,,,
Sportboothafen Greifenstein,,,,,AT,,,,
Segelschule Hofbauer,,,,,AT,,,https://boats2sail.com/segelschule-hofbauer/,
Union Yacht Club Attersee,,,,,AT,,,,
Schmalzl,,,,,AT,,,,
Interessensgruppe Motorbootfahrer Johlerarm,,,,,AT,imjhainburg@gmx.at,+43 664 3250466,,
Sankt Oswald,,,,,AT,,,,
Terrassenareal,,,,,AT,,,,
Abfallkran,,,,,AT,,,,
Yachthafen Isperdorf,,,,,AT,,,,
Segelclub Seeadler,,,,,AT,,,,
Ennskraftwerke,,,,,AT,,,,
Franz vom Schiff (Scheriau),,,,,AT,,,,
Mureny Marina,,,,,AT,,,,
Schiffsanlegestelle Aschach,,,,,AT,,,,
Segelclub Ebensee,,,,,AT,,,,
Segelclub Altmünster,,,,,AT,,,,
ASKÖ Gmunden Segeln,,,,,AT,,,,
UYC-Traunsee,,,,,AT,,,,
Odysseus,,,,,AT,,,,
Öl-Bohranlage,,,,,AT,,,,
Österreichischer Heeres Yacht Club / ÖHYC,,,,,AT,,,,
Schiffsanlegestelle,,,,,AT,,,,
Boot-Club Zwentendorf,,,,,AT,,+43 2277 2251,,
Yachthafen Döbriach,,,,,AT,,,,
BYC Yachtclub,,,,,AT,,,https://www.byc.at/,
Kran,,,,,AT,,,,
Kran,,,,,AT,,,,
Löschweier,,,,,AT,,,,
Anlegestelle Niederranna,,,,,AT,,,,
Anlegestelle Obermühl,,,,,AT,,,,
Anlegestelle Wesenufer,,,,,AT,,,,
Schiffsanlegestellen Engelhartszell,,,,,AT,tourismus@engelhartszell.ooe.gv.at,+43 7717 805516,,
Sportboothafen Gasthof Pension Luger,,,,,AT,office@gasthof-luger.at,+43 7285 507,http://www.gasthof-luger.co.at,
Anlegestelle Brandstatt,,,,,AT,,,,
MYCK Motor-Yacht-Club Kachlet,,,,,AT,office@myc-kachlet.at,+43 664 5583685,https://www.myc-kachlet.at/,
MYCN - Motor Yacht Club Nibelungen,,,,,AT,g.hufnagl@mycn.at,+43 664 5577543,https://www.mycn.at/,
Motor Yacht Club Au an der Donau,,,,,AT,,+43 664 6336532,https://www.myc-au.at/,
Sportboothafen Linz,,,,,AT,,+43 680 3048249,http://askoe-wsk-linz.at/joomla/index.php/haefen,
Steganlage - Campingplatz in Au an der Donau,,,,,AT,,,https://www.camping-audonau.at/,
Anlegestelle Camping Krenn,,,,,AT,christine.krenn@aon.at,+43 7412 52678,http://www.gasthof-krenn.at,
Sporthafen Pöchlarn,,,,,AT,,,,
Marina Traismauer,,,,,AT,info@marinatraismauer.at,+43 664 4466551,https://www.marinatraismauer.at/,
Stadthafen Rust,,,,,AT,,,,
Essl,,,,,AT,,,,
Yachtclub Schwarzindien,,,,,AT,,,,
Bootshafen Kasten,,,,,AT,,,,
Thomas-Koschat-Park,,,,,AT,,,,
Union Yacht Club Mattsee,,,,,AT,,,https://www.uyc-mattsee.at/,
Fähre Rust,,,,,AT,,,,
Wassersportverein Krems,Yachthafenstraße,,3500,Krems an der Donau,AT,info@wsvk.at,+43 676 4318 831,https://www.wsvk.at/,
Segelschule Club Danube,,,,,AT,,,,
Dragositschach,,,,,AT,,,,
Motor Yacht Club Salzkammergut,,,,,AT,,,,
Segelhafen West,,,,,AT,,,,
Jachthafen Oggau,,,,,AT,,,,
Yachtclub Breitenbrunn,,,,,AT,,,,
Bootskran,,,,,AT,,,,
Segelclub Mattsee,,,,,AT,,,http://www.segelclub-mattsee.at/,
Krananlage Rohner,,,,,AT,,,,
Segelhafen Stadthafen Neusiedl,,,,,AT,,,,
Wöss Marine,,,,,AT,,,,Beschläge;Bootszubehör;Tauwerk
Zillen Witti,,,,,AT,info@witti.co.at,+43 7285 6390,http://www.witti.co.at/,Beschläge;Bootszubehör;Tauwerk
Gästesteg Purbach,,,,,AT,,,,
