Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Kempischdok,,,,,BE,,,,
Jachthaven Willemdok,Godefriduskaai,99,2000,,BE,jaw@pandora.be,+32 3 231 50 66,https://jachthaven-antwerpen.be/willemdok.html,
Watersportvereniging Zelzate,,,,,BE,,,http://www.vpf.be/system/files/bemanning/WVZ.pdf,
Yacht Club Des Ascenseurs,,,,,BE,,,,
NV Koekoekx,,,,,BE,,,,
Nuclea Yacht Club,,,,,BE,,,,
Kloron,Scheldekaai,,8581,Kerkhove,BE,,,,
Kuurne,,,,,BE,,,,
Portus Ganda,,,,,BE,,+32 9 266 56 60,http://www.portusganda.be/,
Zilvermeerhaven,,,,,BE,,,,
Portus Ganda,,,,,BE,,+32 9 266 56 60,,
Motor Yacht Club Gent,,,,,BE,,,,
VVW Gent-Leie / K.G.W.V./ G.L.V.,,,,,BE,,+32 495 22 61 50,,
MYCG,,,,,BE,,,https://motoryachtclubgent.be/,
Jachthaven Heerenlaak (Marec),,,,,BE,,,https://www.marec.be/nl/jachthaven-heerenlaak.html,
BWSV Beernem,,,,,BE,,,,
Le Port de plaisance de Lives,,,,,BE,,,http://www.portnamur.be/pan.taf?IdNav=7&IdLang=FR,
Le Port de plaisance de Lives,,,,,BE,,,http://www.portnamur.be/pan.taf?IdNav=7&IdLang=FR,
Port de Plaisance d'Erquelinnes,,,,,BE,,,,
Kids Harbour,,,,,BE,,,,
Koninklijke Brugse zeil- en yachtclub,,,,,BE,,,https://www.bzyc.be/,
Brechtse Yacht Club,,,,,BE,,,,
Ieper Marina,,,,,BE,,,,
De Ponton,,,,,BE,,,,
Leiesnelvaarders,,,,,BE,,,,
Gent Centrum Yacht Club,,,,,BE,,+32 479 24 63 88,,
Yachting Merelbeke,,,,,BE,,+32 9 362 76 44,,
Jachthaven Zulte,,,,,BE,,,,
"Jachthaven Kanne ""YAKAN""",,,,,BE,,,,
MCS MarineCenter,,,,,BE,,,,
Port de Plaisance de Visé,,,,,BE,,,,
Port de Plaisance de Visé,,,,,BE,,,https://www.ardennenwie.nl/jachthaven-vise-opgeknapt/306/16347,
Port de plaisance Henri Hallet,,,,,BE,,,https://www.portnamur.be/tourisme-fluvial/henri-hallet,
Costa Zela,,,,,BE,,,https://www.costazela.be/,
Port de plaisance,,,,,BE,,,,
Water Sports,,,,,BE,,,,
Yachting Club Geel,,,,,BE,,,,
Vennekens,,,,,BE,,,https://www.jachtwerfvennekens.com/,Werften
Bateau Neptunia Commodore,,,,,BE,,,http://www.neptunia.com/,Beschläge;Bootszubehör;Tauwerk
Le Port de plaisance d’Amée,,,,,BE,,,https://www.portnamur.be/tourisme-fluvial/amee,
Kayaks La Vanne,Rue Léon Henrard,10,5550,Alle,BE,,,,Beschläge;Bootszubehör;Tauwerk
Grand Large de Péronnes,,,,,BE,,,,
Yacht Club Driegoten,,,,,BE,,,,
Westhoek Marina,,,,,BE,,,,
Nautic Service,,,,,BE,,,,Werften
Victor Buyck Steel Construction,Industrieweg,44,9032,Gent,BE,,,,Werften
VVW Lokeren,,,,,BE,,,https://vvw-lokeren.be/,
Norther,,,,,BE,,,,
Parkwind,,,,,BE,,,,
Vancraynest,,,,,BE,,,,Segelmacher
Wittevrongel,Wenduinse Steenweg,10,,,BE,,,https://www.wittevrongel.be/,Beschläge;Bootszubehör;Tauwerk
North Sea Boating,,,,,BE,,,https://www.northseaboating.com/,Beschläge;Bootszubehör;Tauwerk
Seashop,Watersportlaan,7S,8620,Nieuwpoort,BE,info@seashop.be,+32 58 62 50 77,https://www.seashop.be,Beschläge;Bootszubehör;Tauwerk
VVW Mendonk,,,,,BE,,,,
Boelwerfkraan,,,,,BE,,,,
Belgian Boat Service,,,,,BE,,,https://www.belgianboatservice.com/,Beschläge;Bootszubehör;Tauwerk
Port de Bruxelles - Haven van Brussel,,,,,BE,,,,
Jachthaven VVW Aalst,,,,,BE,,,,
Royal North Sea Yacht Club,,,,,BE,,,,
Wolff 1250B,,,,,BE,,,,
Schrank,,,,,BE,,,,
Port de Bruxelles - Haven van Brussel,,,,,BE,,,,
oude kraan,,,,,BE,,,,
Brugge Marine Center,Pathoekeweg,126,,,BE,,+32 50 31 35 87,https://bruggemarinecenter.com/,Beschläge;Bootszubehör;Tauwerk
Euro Boat nv,,,,,BE,,,,Beschläge;Bootszubehör;Tauwerk
Plaisance Eau d'Heure,,,,,BE,,+32 71 61 22 62,,Werften
Kempisch dok,,,,,BE,,,,
Port des Yachts - Port autonome de Liège,,,,,BE,,,http://www.portdeliege.be/fr/port-yachts,
Jachthaven Linkeroever,,,,,BE,,,,
Jachthaven Herentals,,,,,BE,,,,
Willemdok,,,,,BE,,,,
Jachthaven De Meerpaal,,,,,BE,,,,
Mercator Marina Dok 2,,,,,BE,,+32 59 70 57 62,https://www.mercatormarina.be/,
