Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Плаж Обзор,,,,,BG,,,,
Кап. Г. Георгиев - Порт Варна,,,,,BG,,,,
Каваклар,,,,,BG,,,,
Гранд Хотел Варна,,,,,BG,,,,
Яхтено Пристанище - Балчик,,,,,BG,,,,
Златни Пясъци,,,,,BG,,,,
Палас,,,,,BG,,,,
Езерото,,,,,BG,,,,
Морска Гара,,,,,BG,,,,
Пристанище Бяла,,,,,BG,,,,
Рибарско пристанище Сарафово,,,,,BG,,,,
Рибарски кей Лозенец,,,8277,Лозенец,BG,,+359 88 830 5537,,
Лиман Яхтинг Созопол,,,,Созопол,BG,,,,
Пристанище Дуранкулак,,,,,BG,,,,
BDIN кану-каяк клуб,,,,,BG,,,,
Яхтено пристанище,,,,,BG,,,,
Marina Dinevi,,,,,BG,,,,
Fisherman's Marina,,,,,BG,,,,
Yacht Club Port Rousse,,,,,BG,,,,
Лодкостоянка Ченгене Скеле,,,,,BG,,,,
Яхтено пристанище,,,,,BG,,,,
Марина Созопол,,,,,BG,,,,
