Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Пракат катамаранаў,,,,,BY,,,,
Пракат катамаранаў і лодак,,,,,BY,,,,
Лодкавы прычал,,,,,BY,,,,
Кран АБК-4,,,,,BY,,,,
Лодкавая станцыя,,,,,BY,,,,
лодкавы прычал,,,,,BY,,,,
прыстань Жаховічы,,,,,BY,,,,
прыстань,,,,,BY,,,,
прыстань,,,,,BY,,,,
пляж санаторыя нарач,,,,,BY,,,,
ПГК Дняпровец-2008,праспект Шміта,1Б,,,BY,dneprovec08@gmail.com,,http://dneprovec2008.by,
Причал,,,,,BY,,,,
Лодкавы прычал,,,,,BY,,,,
Прычал,,,,,BY,,,,
Витебскгрузсервис,,,,,BY,,,,
Витебскгрузсервис,,,,,BY,,,,
Место швартовки,,,,,BY,,,,
F1-teplohod,,,,,BY,,,https://teplohod.by/,
АСВОД,Прагрэсіўная вуліца,27,220002,,BY,,,,
АСВОД,,,,,BY,,,,
казловы кран,,,,,BY,,,,
РУП Рэчыцкі суднабудаўніча-суднарамонтны завод,Суднабудаўнічая вуліца,10/1,247519,Азершчына,BY,,,,Werften
Пракат катамаранаў,,,,,BY,,,,
Лодачная,,,,,BY,,,,Beschläge;Bootszubehör;Tauwerk
стаянка для яхт,,,,,BY,,,,
Яхт клуб,,,,,BY,,,,
казловы кран,,,,,BY,,,,
казловы кран,,,,,BY,,,,
10-я пляцоўка,,,,,BY,,,,
РУП Рэчыцкі суднабудаўніча-суднарамонтны завод,вуліца Новы Свет,71,247500,Рэчыца,BY,,,,Werften
Кааператыў Лодачнік,,,,,BY,,,,
Подъёменый козловой кран,,,,,BY,,,,
"ГП ""Центр механизации путевых работ Белорусской железной дороги""",,,,,BY,,,,
Пинскдрев,,,,,BY,,,,
Рэспубліканскі цэнтр алімпійскай падрыхтоўкі па парусным спорце,,,,,BY,,,,
Яхтклуб Мерыдыян,,,,,BY,,,,
