Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Port du Petit-Cortaillod,,,,,CH,,,,
Enge,,,,,CH,,+41 44 411 84 42,,
Porto Lugano,,,,,CH,,,,
Krananlage Hafen Wollishofen,,,,,CH,,,,
YC Nautica-Sport,,,,,CH,info@ycnautica.ch,+41 31 3319241,https://www.ycnautica.ch,Beschläge;Bootszubehör;Tauwerk
Rorhaab,,,,,CH,,,,
Alter Hafen,,,,,CH,,,,
Port de la Gouille,,,,,CH,,,,
Grue de matage,,,,,CH,,,,
Yachthafen Staad,,,,,CH,,,,
Port des Iris,,,,,CH,,,,
St. Petersinsel,,,,,CH,,,,
Vieux Port de Faoug,,,,,CH,,,,
Yachthafen,,,,,CH,,,,
KIBAG Marina Gottlieben Werft,,,,,CH,,,,
Hafen Ermatingen,,,,,CH,,,,
Port de la Baie de l'Eglise,,,,,CH,,,,
Bootshafen Tribschenhorn,Tribschenmoosweg,,,,CH,,,https://bootshafen-luzern.ch/,
Port La Belotte,Chemin des Pêcheurs,9A,1222,Vésenaz,CH,capitainerie@etat.ge.ch,+41 22 388 55 50,https://www.ge.ch/navigation-capitainerie/ports,
Port de Bellerive,,,,,CH,,,,
Gemeindebootshafen Hergiswil,Seestrasse,10,6052,Hergiswil,CH,hafenmeister@bootshafen-hergiswil.ch,+41 41 631 07 74,https://www.bootshafen-hergiswil.ch/,
Hafen am Rheinspitz,,,,,CH,hildegard.bischof@rheinunternehmen.ch,,https://www.rheinunternehmen.ch/index.php?id=34,
Hafen Riesbach,,,,,CH,,+41 44 411 84 42,,
Rade de Genève - Rive gauche,Quai Gustave Ador,,,Genève,CH,,,,
Marina Fallenbach Brunnen,,,,,CH,,+41 41 8256557,https://www.marina-fallenbach.ch/,
Faul AG,,,,,CH,,,,
Thalwil Farbsteig,,,,,CH,,,,
Thalwil Bürger,,,,,CH,,,,
Rüschlikon,,,,,CH,,,,
Wollishofen,,,,,CH,,+41 44 482 99 44,http://www.yachthafen.ch,
Tiefenbrunnen,,,,,CH,,+41 44 411 84 42,,
Resasteg,,,,,CH,,,,
Seepolizei,,,,,CH,,,,
Herrliberg,,,,,CH,,,,
Bootshafen Rütenen,,,,,CH,info@marina-ruetenen.ch,+41 41 6207075,https://bootshafen.ch/,
Motorboothafen Luzern,,,,,CH,,,https://bootshafen-luzern.ch/,
Kohlenweiher,,,,,CH,,,,
Port du Nid du Crõ,,,,,CH,,,,
Port des Jeunes-Rives,,,,,CH,,,,
Port d'Auvernier,,,,,CH,,,,
Port de Serrières,,,,,CH,,,,
Port de Gletterens,,,,,CH,,,,
Yachtclub Zug,,,,,CH,,,,
Boot Club Augst,,,,,CH,bca@boot-club-augst.ch,,https://www.boot-club-augst.ch/,
Bootshafen Greppen,,,,,CH,,,,
Bootshafen Marina-Park Lützelau / Weggis,,,,,CH,,+41 41 850 05 68,,
Bootshafen Vitznau,,,,,CH,anker-travel@vitznau.ch,+41 41 3971707,https://www.vitznau.ch/xml_1/internet/de/application/d15/f345.cfm,
Bootsvermietung Central Weggis GmbH,,,,,CH,info@lüchttürmli.ch,+41 76 298 39 68,,
Genossenschaft Bootshafen Flüelen,,,,,CH,info@bootshafen-fluelen.ch,+41 79 782 72 87,https://www.bootshafen-fluelen.ch/,
Hafen Felsenegg Gersau,,,,,CH,,,,
Kibag Marina,,,,,CH,,,,
Hafen Ruderbaum (Altnau),,,,,CH,,,,
Boot-Club Rheinfelden,,,,,CH,,,,
Steganlage der Gemeinde Kaiseraugst,,,,,CH,,,,
Basler Segelclub,,,,,CH,,,,
Motoryachtclub Basel,,,,,CH,,,,
Marina Dreiländereck,,,,,CH,,,,
Hafen Feldbach Steckborn,,,,,CH,,,https://www.steckborn.ch/index.php?id=67,
Bootsclub Wettingen,,,,,CH,,,http://home.netwings.ch/trenold/bootsclub.htm,
Seepolizei,,,,,CH,,,,
Schlosshafen,,,,,CH,,,,
Hafen Aazopf Arth,,,,,CH,,,,
JOHO Bootbau,,,,,CH,,,,Beschläge;Bootszubehör;Tauwerk;Werften
SC Neuhaus,,,,,CH,,,,
Chantier Naval Casanova,,,,,CH,,,https://www.snpi.ch/html/chantier_naval_casanova.html,Beschläge;Bootszubehör;Tauwerk
Nennes Marines,,,,,CH,,,,Beschläge;Bootszubehör;Tauwerk
Scuola Nautica Mike,Via alla Foce,,6900,Lugano,CH,info@snmike.ch,+41 76 8177277,https://www.snmike.ch/,
Seglerhafen Rorschach,,,,,CH,,,,
Hafen Zollershuus,,,,,CH,,,,
Yachthafen Rorschach,,,,,CH,,+4179 697 37 60,,
Alfermée,,,,,CH,,,,
Tüscherz,,,,,CH,,,,
Twann - Polizeihafen,,,,,CH,,,,
Twann,,,,,CH,,,,
Hafen Ligerz,,,,,CH,,,,
Le Landeron,,,,,CH,,,,
Hafenkrangenossenschaft,,,,,CH,,,,
Marina Uster,,,,,CH,,,,
Società Salvataggio Lugano,Via Foce,7a,6900,Lugano,CH,,,,
Boesch,Seestrasse,197,,,CH,info@boesch-boats.ch,+41 44 711 75 75,http://www.boesch-boats.ch/,Beschläge;Bootszubehör;Tauwerk
Nautec,,,,,CH,,+41 44 749 27 30,https://www.nautec.ch/,Beschläge;Bootszubehör;Tauwerk
Cachelin,,,,,CH,,,,Werften
Porto Ticino Brissago,,,,,CH,,,https://www.yachtsport-resort.com/YachtsportResort/page/harbourInstallation?language=2,
Hafenmeister / Capitainerie,,,,,CH,,+41 79 416 22 92,,
Lanchetta,,,,,CH,,,,
Rive Marine,,,,,CH,,,https://www.rivemarine.ch/,Beschläge;Bootszubehör;Tauwerk
Rive Marine,,,,,CH,,,https://www.rivemarine.ch/,Beschläge;Bootszubehör;Tauwerk
Cheyres,,,,,CH,,,,
Oberrieden,,,,,CH,,,,
Bootshafen Zug,,,,,CH,,,,
Hafen Arth,,,,,CH,,,,
SH Power,,,,,CH,,,,
Club Nautique de Pully,,,,,CH,,,,
Bootssteg Yacht Club Rapperswil,,,,,CH,,,,
Indian Summer Sailing,Ahornstrasse,3,9320,Frasnacht,CH,info@is-sailing.info,+41 79 352 47 15,https://is-sailing.info/,Beschläge;Bootszubehör;Tauwerk
Segelservice Theimer GmbH,Seestrasse,9,3855,Brienz,CH,klaus@segelservice-theimer.ch,+41794323317,https://segelservice-theimer.ch/,Segelmacher
Burger Stahlbau AG,,,,,CH,,,,
Gersau,,,,,CH,,,,
SSH Segelschule Hallwilersee AG,,,,,CH,,,,
Kieswerk Hafen,,,,,CH,,,,
Schiffslände Mammern,,,,,CH,,,,
Gemeindehafen Eschenz,,,,,CH,,,,
Berghaus ARVA,,,,,CH,,,,
Weidli,,,,,CH,,,,
Yachtclub for the nobles,Elsterweg,26,3603,Thun,CH,yftn.shop@gmail.com,,https://yachtclub-nobles.business.site/,
Luginbühl,,,,,CH,,+41 22 361 30 14,,Beschläge;Bootszubehör;Tauwerk
Société nautique de Genève (SNG),,,,,CH,,,,
Rattenhafen,,,,,CH,,,,
Hasler Bootswerft,,,,,CH,,,,
SGV & Kiesag,,,,,CH,,,,
Port de Corsier,Quai de Corsier,,1246,Corsier,CH,capitainerie@etat.ge.ch,+41 22 388 55 50,https://www.ge.ch/navigation-capitainerie/ports,
Vieux Port d'Ouchy,Place du Vieux-Port,3,1006,Lausanne,CH,,+41 21 315 32 35,,
Port de la Venoge,Chemin de la Venoge,,1025,Saint-Sulpice,CH,ports@morges.ch,+41 21 694 33 55,https://www.morges.ch/vivre-a-morges/loisirs/ports/port-du-bief-8615,
Port d'Anières,,,1247,Anières,CH,capitainerie@etat.ge.ch,+41 22 388 55 50,https://www.ge.ch/navigation-capitainerie/ports,
Momect SA,,,,,CH,,,,
Porto Regionale di Locarno,,,,,CH,info@portolocarno.com,+41 91 752 30 40,http://www.portolocarno.com,
Centro Nautico Di Domenico SA,,,,,CH,,+41 91 752 16 63,https://www.didomenico.ch/,
Axpo,,,,,CH,,,,
Rheinschifffahrten Züri-Rhy,Rheinstrasse,10,8428,Teufen,CH,,,,Beschläge;Bootszubehör;Tauwerk
Stoll Schifffahrten AG,Rheinquai,16,8200,Schaffhausen,CH,,,,Beschläge;Bootszubehör;Tauwerk
Ganz Yachting,Bellerivestrasse,264,8008,Zürich,CH,,,,Beschläge;Bootszubehör;Tauwerk
Sägerei Fenk,,,,,CH,,,,
Club de la Voile de la Gruyère,,,,,CH,,,https://cvgruyere.ch/,Beschläge;Bootszubehör;Tauwerk
Tschanen,,,,,CH,,,,
Marina Maur,,,,,CH,,,,
Bootsteg Bauschänzli,,,,,CH,,,,
Bootsteg Quaibrücke,,,,,CH,,,,
Merligen,,,,,CH,,,,
