Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Přístav U jezu Hodonín,,,,,CZ,,,,
Inge Boršov,,,,,CZ,,,,
Marina Vltava,,,,,CZ,,,,
Popelíky,,,,,CZ,,,,
Marina di Olomouc,,,,,CZ,,,,
Přístav Strážnice,,,,,CZ,,,,
Labská plavební - Děčín - Hřensko - Dráždany,,,,,CZ,,,,
Přístav Veselí nad Moravou,,,,,CZ,,,,
Přístaviště − Loď Arnošt z Pardubic,,,,,CZ,,,,
Marina Davle,,,,,CZ,,,,
Napajedla - Pahrbek,,,,,CZ,,,,
Valy u Přelouče,,,,,CZ,,,,
Nákladní přístav,,,,,CZ,,,,
Marina Týnec,,,,,CZ,,,http://www.marinatynec.cz,
Loděnice,,,,,CZ,,,,
Hluboká nad Vltavou,,,,,CZ,,,,
Hluboká nad Vltavou,,,,,CZ,,,,
Karlův hrádek,,,,,CZ,,,,
Purkarec,,,,,CZ,,,,
Yacht Club,,ev.827,79802,Mostkovice,CZ,,,,Werften
"Davle, PPS",,,,,CZ,,,,
Zastávka Štěchovice PPS,,,,,CZ,,,,
Zastávka Slapy PPS,,,,,CZ,,,,
Zastávka Měchenice PPS,,,,,CZ,,,,
Přístav Rohatec,,,,,CZ,,,https://www.batacanal.cz/pristav/rohatec.html,
Šlapadla / pedalboat,,,,,CZ,,,,
Město Libčice nad Vltavou,,,,,CZ,,,,
Přístav Sudoměřice,,,,,CZ,,,,
Přístav Rohatec – kolonie,,,,,CZ,,,,
Přístav Petrov,,,,,CZ,,,,
Přístav Vnorovy,,,,,CZ,,,,
Rekreační přístav Tvrdonice,,,,,CZ,,,,
Půjčovna rekreačních plavidel,,,,,CZ,,,,
Přístaviště Rašínovo nábřeží,,,,,CZ,,,,
Marina Orlík,,,,,CZ,,,,
Yacht-klub Lovosice,,,,,CZ,,,,
Yachtklub Roudnice nad Labem,,,,,CZ,,,,
Škoda,,,,,CZ,,,,
Vranov,,,,,CZ,,,,
Butov,,,,,CZ,,,,
Přístaviště Kunětice,,,,,CZ,,,,
Námořní centrum Ostrava,,,,,CZ,,,http://www.namornicentrum.cz,Beschläge;Bootszubehör;Tauwerk
Troja - Císařský ostrov,,,,,CZ,,,,
molo,,,,,CZ,,,,
Leskovec - Slezská Harta,,,,,CZ,,,,
Nová Pláň - Slezská Harta,,,,,CZ,,,,
Petrov,,,,,CZ,,,,
Sudoměřice,,,,,CZ,,,,
"Orlice, km 16,2 - nástupní místo Třebechovice",,,,,CZ,,,,
"Orlice, km 9,3 - nástupní/výstupní místo",,,,,CZ,,,,
TJ Lodní Sporty Brno,,,,,CZ,,,,
ČEZ,,,,,CZ,,,,
Odysseus Jachtklub molo,,,,,CZ,,,,
Jachtklub Slavia,,,,,CZ,,,,
Kolínská řepařská drážka,,,,,CZ,,,,
Marina Lipno,,,,,CZ,,,,
Yacht-klub Lovosice,,,,,CZ,,,,
DPMB,,,,,CZ,,,,
Přístav Spytihněv,,,,,CZ,,,,
Jacht klub TJ Sokol Palkovice,,,,,CZ,,,http://www.tjsokolpalkovice.cekuj.net/,
Podolský přístav,,,,,CZ,,,,
Marina České Vrbné,,,,,CZ,,+420 702 005 307,,
Lannova loděnice,,,,,CZ,,,https://www.rvccr.cz/vodni-cesty/plavebni-objekty-vltava-pristavy-lannova-lodenice,
Nová Pláň - kotviště,,,,,CZ,,,,
Leskovec nad Moravicí,,,,,CZ,,,,
Smíchovský přístav,,,,,CZ,,,,
DOCK,,,,,CZ,,,,
CERE Marina,,,,,CZ,,,,
Podolský přístav,,,,,CZ,,,,
Přístav Holešovice,,,,,CZ,,,,
Marina Píšťany,,,,,CZ,,,,
Přístaviště Nelahozeves,,,,,CZ,,,,
Přístaviště Brandýs nad Labem - Stará Boleslav,,,,,CZ,,,,
Yacht Club Doksy,,,,,CZ,,,,
JK Plzeň,,,,,CZ,,,https://www.jkplzen.cz,
Ostende,,,,,CZ,,,,
"ČD, a.s.",,,,,CZ,,,,
