Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Alter Hafen Leinehafen Schwarmstedt,,,,,DE,,,,
Übigauer Uferkran,,,,,DE,,,,
Torfschiffe,,,,,DE,,,,
Torfkähne Adolphsdorfer Torfschiffer,Hammeweg,19,27726,Worpswede,DE,,,https://www.torfschiffe.de/,
Yachthafen Mondorf,,,,,DE,,,,
Hafen Bremervörde,,,,,DE,bernd.gerken@bremervoerde.de,,https://www.bremervoerde.de/index.php?option=com_content&view=article&id=173&Itemid=193,
Freizeitzentrum Schult,,,,,DE,,+49 381 49455266,,
Wasserwanderrastplatz Sophienhof,,,,,DE,,,,
WWRP Alt Plestlin,,,,,DE,,,,
Wasserwanderrastplatz Stolpe an der Peene,Peeneblick,26,17391,Stolpe an der Peene,DE,info@hafenstolpe.de,+49 17621058588,https://hafenstolpe.de/,
Yachthafen Herrenbrücke,,,,,DE,,+49 7534 1277,,
Marina Wolfsbruch,,,,,DE,,+49 33921 87,https://www.precisehotels.com/rheinsberg/marina,
Klever Segelgemeinschaft e.V. (KSG),,,,,DE,,,,
Oste-Yacht-Club,,,,,DE,,,,
Segelclub Gießen 84,,,,,DE,,,,
Lagunenstadt Ueckermünde,,,,,DE,,,http://www.lagunenstadt-ueckermuende.de/,
Kran für Trailerboote und Yachttransport,,,,,DE,,,,
Baltrum,,,,,DE,,,,
Yacht- und Ruder-Club Attendorn,,,,,DE,info@yrca.de,+49 2722 53478,https://www.yrca.de/,
Bootshaus-Braker Ruder- und Segelverein (BRSV),,,,,DE,,,,
Sportboothafen Nordenham,,,,,DE,,+49 4731 88345,https://www.nsg-nordenham.de/,
Yachthafen Vitte-Lange Ort,,,,,DE,,+49 38300 6036868; +49 171 796 19 39,http://www.yachthafen-langeort.de,
Alter Hafenkran,,,,,DE,,,https://www.krfrm.de/projekte/route-der-industriekultur/interaktive-karte/,Motor
Wassersportclub Kleve e.V. (WSCKL),,,,,DE,,,,
Segelclub Insel Poel SCIP,,,,,DE,,+49 172 3198999,https://www.ostsee-charter-yacht.de/yachthafen/insel-poel-segelclub-insel-poel.php,
Hafen Cochem - Cond,,,,,DE,hafenmeister@cochem.de,+49 151 54727870,,
Missunder Yachtclub,,,,,DE,doc.kurstedt@t-onine.de,+49 4622 180950,https://www.miyc.de/,
Wassersport Borgwedel,,,,,DE,,+49 179 529857,,
