Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Svanemøllehavnen,,,,,DK,info@smhavn.dk,+45 3920 2221,https://www.smhavn.dk/,
Kalkbrænderihavnen,,,,,DK,havnekontoret@sundkrogen.dk,+45 22 92 97 11,http://www.sundkrogen.dk/,
Brandsbøl Havn,,,,,DK,,,,
Skanderborg lystbådehavn,,,,,DK,,,,
Hasle Havn,,,,,DK,,,,
Snogebæk Havn,,,,,DK,,,,
Balka Havn,,,,,DK,,,,
Nexø,,,,,DK,,,,
Årsdale Havn,,,,,DK,,,,
Tejn,,,,,DK,,,,
Teglkås Bådehavn,,,,,DK,,,,
Gedser Lystbådehavn,,,,,DK,gk@guldborgsund.dk,+45 54 179245,,
Lystbådehavn Troense,,,,,DK,,,,
Stubbekøbing,,,,,DK,,,,
Drejø Gamle Havn,,,,,DK,,,,
Drejø Havn,,,,,DK,,,,
Korshavn Bro,,,,,DK,,,https://www.avernak.dk,
Avernakø Bådehavn,,,,,DK,,,http://www.avernakohavn.dk,
Fjellebroen Havn,,,,,DK,,,http://www.fjellebroenhavn.dk/,
Vang Havn,,,,,DK,,,,
Vedbæk Havn,,,,,DK,havnefoged@vedbaek-havn.dk,+45 4589 1223,https://www.vedbaek-havn.dk/,
Høllet,,,,,DK,,,,
Baagø Havn,,,,,DK,,,,
Skærbæk Lystbådehavn,,,,,DK,,,,
Esbjerg Havn,,,,,DK,,,,
Esbjerg Lystbådehavn,,,,,DK,,+45 7612 4000,http://www.esbjergsøsport.dk/,
Bagenkop Havn,,,,,DK,jajo@langelandkommune.dk,+45 6351 6275,https://www.bagenkop-info.dk/halhavn/,
Svinø Broer,,,,,DK,,+45 44224604,http://www.svinoebaadelaug.dk/,
Middelfart Marina,,,,,DK,havnen@middelfart.dk,+45 8888 4905,,
Præstø Havn,,,,,DK,praesto@vordingborg.dk,+45 40598072,https://praesto-havn.vordingborg.dk/,
Uggelhuse Marina,,,,,DK,,,,
Mastekran,,,,,DK,,,,
Bådelift,,,,,DK,,,,
Bådekran,,,,,DK,,,,
Skive Søsportshavn,,,,,DK,fklug@mail.dk,+45 2179 0151,https://www.skivesoesportshavn.dk/,
Marinetorvet,,,,,DK,,,https://www.marinetorvet.dk,Beschläge;Bootszubehör;Tauwerk
Holstebro-Struer Havn,,,,,DK,havn@struer.dk,+45 97850228,http://www.struerhavn.dk/,
Dronningborg Lystbådehavn,,,,,DK,,,,
Strib Bådehavn,,,,,DK,,,,
Lindholm Brygge Bådelaug,,,,,DK,,,,
Thyborøn Lystbådehavn,,,,,DK,turist@visitlemvig.dk,+45 97 831288,https://www.thyboronport.dk/gaestesejlere.html,
Kindvig havn,,,,,DK,,,,
Kindvig Lystbådehavn,,,,,DK,,,,
Livø Lystbådehavn,,,,,DK,,,,
Gyldendal Lystbådehavn,,,,,DK,,+45 21132302,https://www.gyldendalhavn.dk/,
Hejlsminde Havn,,,,,DK,,,http://hejlsmindehavn.com/index.php?page=lystbadehavn,
Nykøbing Sjælland Lystbådehavn,,,,,DK,odsherredhavne@odsherred.dk,+45 21 779376,http://www.odsherredhavne.dk,
Rørvig Havn,,,,,DK,odsherredhavne@odsherred.dk,+45 70 20 38 38,https://beta.odsherred.dk/da/opleve-og-vaere-aktiv/ud-i-naturen/odsherred-havne/roervig-havn/,
Nivå Havn,,,,,DK,nivaahavn@fredensborg.dk,+45 7256 5305,http://www.nivaahavn.dk/,
Hvalpsund Fiskerihavn,,,,,DK,,,,
Sundsøre Lystbådehavn,,,,,DK,mail@sundsoerehavn.dk,+45 9759 7082,https://www.sundsoerehavn.dk/,
Nibe Havn,,,,,DK,,+45 98 353025,http://www.nibe-havn.dk/,
Lohals Havn,,,,,DK,,,,
Rønbjerg Lystbådehavn,,,,,DK,,+45 23484118,,
Espergærde Havn,,,,,DK,info@espergaerdehavn.dk,+45 2286 1026,http://www.espergaerdehavn.dk/,
Humlebæk Havn,,,,,DK,,+45 2129 7191,http://humlebaekhavn.dk,
Hobro Lystbådehavn,,,,,DK,,,,
Sletten Havn,,,,,DK,kontor@slettenhavn.dk,+45 2040 2772,http://slettenhavn.dk/,
Brøndby Havn,,,,,DK,brondbyhavn@brondbyhavn.dk,+45 43 736100,https://www.brondbyhavn.dk/,
Ishøj Havn,,,,,DK,havnekontor@ishoj-havn.dk,+45 4373 0004,https://www.ishoj-havn.dk/,
Vallensbæk Havn,,,,,DK,havnekontor@vallensbaekhavn.dk,+45 43543575,https://vhkb.dk/,
Greve Marina,,,,,DK,,+45 43 908618,https://greve-marina.dk/,
Sejerø Lystbådehavn,,,,,DK,soren.mortensen@kalundborg.dk,+45 59590379,https://sejero.dk/fakta/sejeroe-havn/,
Kalvehave Havn,,,,,DK,kalvehavehavn@mail.dk,+45 55 388460,https://kalvehavehavn.dk/,
Mastekran,,,,,DK,,,,
Sakskøbing Bådelaug og Lystbådehavn,,,,,DK,,+45 20 630706,https://www.saxbaad.dk/,
Lemvig Marina,,,,,DK,,,https://www.visitlemvig.dk/havn.htm,
Mariager Jollehavn,,,,,DK,,,,
Mariager Lystbådehavn,,,,,DK,,,,
Hobro Både- og Fiskerihavn,,,,,DK,,,,
Nakskov,,,,,DK,,,,
Lundeborg Havn,,,,,DK,,,,
Sæby Havn,,,,,DK,saebyhavn@frederikshavn.dk,+45 98 461059,http://www.saebyhavn.dk/,
Herslev Havn,,,,,DK,,+45 46 402439,http://www.herslevstrandsejlklub.dk/,
Veddelev Strand Bådelaug,,,,,DK,havnefoged@vsb.dk,+45 51 906675,https://vsb.dk/,
Køge Marina,,,,,DK,marina@koege.dk,+45 5666 1689,http://koegemarina.dk/,
