Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Kalasadam,,,,,EE,,,,
Rohuküla sadam,,,,,EE,,,,
Heltermaa sadam,Rohu,5,93819,Kuressaare,EE,info@saarteliinid.ee,+372 46 31 649,https://saarteliinid.ee/ports/heltermaa/,
Lõmaja sadam,,,,,EE,,,,
Prangli Lõunasadam,,,,,EE,,,,
Paldiski Põhjasadam,,,,,EE,,,https://www.portofpaldiski.ee/,
Paldiski Lõunasadam,,,,,EE,,,,
BoatCovers,Uus,38,71005,Viljandi,EE,,+372 5664 4837,,Beschläge;Bootszubehör;Tauwerk
Kuressaare jahisadam,,,,,EE,sadam@kuressaare.ee,,https://sadam.kuressaare.ee/et/sadam/,
Roomassaare sadam,,,,,EE,,,,
Triigi sadam,,,,,EE,,,,
Suur-Lootsi sadam,Suur-Lootsi,4,,Narva-Jõesuu,EE,info@narva-joesuu.ee,+3725036817,,
Pivarootsi sadam,,,,,EE,,,,
Jaagu sadam,,,,,EE,,,,
Sauga sadam,,,,,EE,,+372 5097841,https://fishingvillage.ee/sadam/,
Toritamme lauter,,,,,EE,,,,
Haven Management OÜ,,,,,EE,,,,
Nautical Partners,Nooda tee,8,,Tallinn,EE,,,https://www.nauticalpartners.fi/,Beschläge;Bootszubehör;Tauwerk
Baltic Cruisers,Nooda tee,8,13516,Tallinn,EE,,,https://paadid.ee/,Beschläge;Bootszubehör;Tauwerk
Norrby paadisadam,,,,,EE,,,,
Kiirassaare sadam,,,,,EE,,,,
Kütioja sadam,,,,,EE,andresn@haberst.ee,+3726990000,,
Baltic Cruisers,Pärnu mnt,232/8,,,EE,,,,Beschläge;Bootszubehör;Tauwerk
Kõinast paadisadam,,,,,EE,,,,
Boat Service Estonia,Angerja tee,57,,,EE,,+372 5300 3305,https://boat-service.ee/,Werften
Hosby lauter,,,,,EE,,,,
Virtsu sadam,,,,,EE,,,,
Kuivastu sadam,,,,,EE,,,,
Vanasadama Jahisadam,,,,,EE,,,,
Vergi sadam,,,,,EE,,+37255567349,,
Koguva sadam,,,,,EE,,+3725133446,,
Roomassaare sadam,,,,,EE,,,,
Käsmu sadam,,,,,EE,sadam@kasmusadam.ee,+372 5047908,https://www.käsmusadam.ee/,
Munalaiu sadam,,,,Lao küla,EE,info@saarteliinid.ee,+372 4530140,https://saarteliinid.ee/munalaiu/,
Kärdla sadam,Sadama,30,92411,Kärdla,EE,,+372 56662514,https://hiiumaasadamad.ee/kardla/,
Roograhu sadam,,,,,EE,,+372 463 6609,http://www.roograhu.ee/sadam/,
Heltermaa väikelaeva sadam,,,,,EE,,,,
Karlova sadam,Rebase,18,50104,Tartu,EE,,+372 5037616,https://www.setoline.ee/karlova-sadam/,
Kelvingi sadam,,,,Kelvingi küla,EE,,+3725032826,https://kelvingisadam.ee/,
Viljandi Metall AS,,,,,EE,,,,
Viljandi Metall AS,,,,,EE,,,,
Viljandi Metall AS,,,,,EE,,,,
Viljandi Metall AS,,,,,EE,,,,
Vikati sadam,,,,,EE,,+3725092932,https://saarteliinid.ee/vikati/,
Pärnu Jahtklubi jahisadam,,,,,EE,sadam@jahtklubi.ee,+3724471750,https://jahtklubi.ee,
Puise kalasadam,,,,,EE,,+372 5136263,,
Österby paadisadam,,,,,EE,,+372 472 4354,https://www.laanenigula.ee/osterby-sadam,
Hara sadam,,,,,EE,,+372 5016952,https://www.laanenigula.ee/hara-sadam,
Neeme sadam,Sadama tee,5,,,EE,info@neememarina.ee,+372 5697 3676,https://neememarina.ee,
Jõekääru sadam,,,,,EE,,+3725165123,,
Koljunuki sadam,Nuki tee,10/12,,Ülgase küla,EE,sadam@koljunuki.ee,+3725035000,https://koljunuki.ee/,
Lohusalu sadam,Lohusalu tee,152,76709,Lohusalu küla,EE,,+372 6272020,https://lohusalu.ee/,
Juheta väikesadam,,,,,EE,,+372 5013489,,
Kurkse sadam,,,,,EE,,+3725036435,http://www.kurksesadam.ee/,
Lennusadam,,,,,EE,sadam@lennusadam.eu,+372 6411408,https://meremuuseum.ee/lennusadam/,
Noblessneri sadam,,,,,EE,port@noblessner.ee,+372 56888825,https://noblessner.ee/sadam/#/,
Räpina sadam,,,,,EE,info@rapinasadam.ee,+372 5251225,http://www.rapinasadam.ee/,
Saaga sadam,Saaga tee,9c,62205,Kikaste küla,EE,,+372 5025024,https://www.saaga.ee/sadam/,
Ürgoru paadisadam,,,,,EE,,+3725266794,https://urgoru.ee/paadisadam/,
Värska sadam,,,,,EE,,+372 53499980,https://www.setoline.ee/varska-sadam/,
Alliklepa sadam,,,,,EE,info@alliklepasadam.ee,+372 5258735,https://alliklepasadam.ee,
Soela sadam,,,,,EE,,,http://www.soelasadam.ee/en,
Kadariku sadam,,,,,EE,,+372 502 2251,,
Puugi sadam,,,,,EE,,,,
Purtse jahtsadam,,,,,EE,heigoprits@gmail.com,+372 5058695,https://www.tulivee.ee/tulivee/purtse-jahtsadam/,
Purtse kalasadam,,,,,EE,reili.soppe@gmail.com,+372 53303930,,
Purtse sadam,,,,,EE,,+372 5018881,,
Port of Tallinn,,,,,EE,,,,
Sviby väikelaevasadam,,,,,EE,,+372 53012889,https://www.slmarinas.ee/home/sviby/,
Sõru jahisadam,,,92017,Pärna küla,EE,,+372 514 5206,https://hiiumaasadamad.ee/soru/,
Orjaku sadam,,,,,EE,,,https://hiiumaasadamad.ee/orjaku/,
Sigatsuaru väikesadam,,,,,EE,,+372 53328095,https://kihnu.ee/sigatsuaru-kalasadam,
Kõiguste sadam,,,,,EE,espumeru@mailasail.com,+372 5580970,https://www.koigustemarina.com/,
Vasknarva paadisadam,,,,,EE,info@alutagusevald.ee,+372 3366901,,
Viinistu sadam,,,,,EE,,+372 56229660,https://www.viinistu.ee/sadam,
Abaja Sadam,,,,,EE,,+37256647711,https://abaja.ee/,
Alajõe kalasadam,Kanarbiku,1,41001,Alajõe küla,EE,,+372 5151976,,
Taaliku sadam,,,,,EE,,+372 53452698,,
Suursadam,,,,,EE,,+3725296696,,
Talvesadam,Sadama,2,80012,Pärnu,EE,,+3725283077,https://talvesadam.ee/,
Abruka sadam,,,,,EE,,+3725294467,https://saarteliinid.ee/abruka/,
Admirali väikesadam,,,,,EE,,+3725118420,,
Ahoi jõesadam,,,,,EE,,+3725183187,,
Aegna sadam,,,,,EE,,+372 56624415,,
Nurme sadam,,,,,EE,,+372 5279233,,
Nõva sadam,,,,,EE,,+372 5299364,,
Oiu sadam,,,,,EE,oiu@iglupark.com,+372 5663 7684,http://www.oiusadam.ee/,
Atla sadam,,,,,EE,,+372 5149917,https://atlasadam.eu,
Dirhami sadam,,,91214,Dirhami küla,EE,,+372 4797221,https://www.dirhami.ee,
Eisma sadam,,,,,EE,,+37253452487,https://eismasadam.ee/sadamateenused/,
Hara sadam,,,,,EE,,+372 5021000,https://harasadam.ee/vaikelaevasadam/,
Tapurla sadam,,,,,EE,,+372 5252434,,
Salmistu sadam,,,,,EE,,+372 53307301,https://portsalmistu.ee/,
Salme jõesadam,,,,,EE,,,,
Sassukvere sadam,,,,,EE,,+372 5163059,http://sassukvere.ee/,
Sitme sadam,,,,,EE,,+372 5135104,,
Soo sadam,,,,,EE,,+372 5653250,,
Suaru sadam,,,,,EE,,+372 53328095,https://kihnu.ee/suaru-vaikesadam,
