Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Puerto Colón,,,,,ES,,,,
Puerto Deportivo,,,,,ES,,,,
Marina Rubicón,,,,,ES,,,,
Puerto Los Gigantes,,,,,ES,,,https://youtu.be/BwMML3DWhbw?si=8kr1YXz3XZTL0Pcl,
Puerto de Playa San Juan,,,,,ES,puertoplayasanjuan@puertoscanarios.es,+34 922 865 434,https://puertoscanarios.es/project/playa-san-juan/,
Puerto Sherry,,,,,ES,,,,
Embarcadero El Ancla,,,,,ES,,,,
Real Club Náutico de Cádiz,,,,,ES,,,,
Puerto América,,,,,ES,,,,
Real Club Náutico de El Puerto de Santa María,,,,,ES,,,https://www.rcnpsm.es/,
Club de Vela Blanes,,,,,ES,,,,
Club Náutico Moraira,,,,,ES,,,http://www.cnmoraira.com/,
Muelle de Los Cantos,,,,,ES,,,,
RCN Santa Cruz de la Palma,,,,,ES,,,,
Puertos de Las Palmas,,,,,ES,,+34 928300400,https://www.palmasport.es/,
Puerto del Rosario,,,,,ES,,+34 928860205,https://www.palmasport.es/,
Club Náutico,Portua kalea,17,20808,Getaria,ES,,,,
Puerto Deportivo de Gijón,,,,,ES,,+34 985179600,https://www.puertogijon.es/,
Drettmann International,,,,,ES,,,,Beschläge;Bootszubehör;Tauwerk
Club Nàutic,,,,,ES,,,,
Puerto Deportivo Caleta de Vélez,,,,,ES,,,,
Puerto de Los Cristianos,,,,,ES,,,,
Marina Yates del Principado,,,,,ES,,+34 985179600,http://www.marinayates.es/,
Motonautica,,,,,ES,,,,
Grua de contenedores,,,,,ES,,,,
Puerto Blanco,,,,,ES,,,,
Les Basetes,,,,,ES,,,,
Peirao do Requeixo,,,,,ES,,,,
Club Nàutic Santa Eulària,,,,,ES,,,,
Port de Sa Nitja,,,,,ES,,,,
Club Nàutic de Portocolom,,,,,ES,,+34 971 82 46 58,https://www.cnportocolom.com/,
Puerto deportivo de Lo Pagán,,,,,ES,info@clubnauticolopagan.es,+34 968186969,https://clubnauticolopagan.es,
Club náutico Mar Menor,Concha Walk,,30710,Los Alcázares,ES,cnautico@cnmarmenor.com,+34 968575129,https://cnmarmenor.com,
Real Club Naútico Santa Cruz de Tenerife,,,,,ES,,,,
Puerto Deportivo de Garrucha,,,,,ES,,,,
Port de Sóller,,,,,ES,,+49 971 631699,,
Puerto deportivo de Urrutias,,,,,ES,,+34 968134438,,
Embalse de la Loteta,,,,,ES,,,,
Marina San Miguel,,,,,ES,,+34 610 777 280,,
Puerto Tofiño,,,,,ES,,,,
Puerto de Tazacorte,,,,,ES,,,,
Puerto de la Estaca,,,,,ES,,,,
Puerto de La Restinga,,,,,ES,,,,
Puerto Vueltas,,,,,ES,,,,
Puerto Playa de Santiago,,,,,ES,,,,
Marina La Gomera (San Sebastian),,,,,ES,,,,
Real Club Náutico,Plaza de San Pedro,1,07012,Palma de Mallorca,ES,secretaria@rcnp.es,+34 971 726 848,https://www.rcnp.es/,
Real Club Náutico,,,,,ES,,,,
Nauservis,Avinguda de Joan Maragall,17,08320,El Masnou,ES,,,,Werften
Puerto de Chipiona,,,,,ES,,,,
Puerto Gelves,,,,,ES,,,,
Porto Deportivo de Baiona,,,,,ES,,,https://www.puertobaiona.com/,
Instalación menor Porto de Baiona - Uso Profesional Pesqueiro,,,,,ES,,,,
Marina Alicante,,,,,ES,,,,
Porto Deportivo de Sada,,,,,ES,,,,
Caranza,,,,,ES,,,,
Porto de Redes,,,,,ES,,,,
Peirao de Perlío,,,,,ES,,,,
Porto de Pontedeume,,,,,ES,,,,
Marina del Sur,,,,,ES,,,,
Dársena da Laxe,,,,,ES,,,,
Real Club Náutico de Castellón,,,,,ES,,,,
Port de Catarroja,,,,,ES,,,,
Porto deportivo,,,,,ES,,,,
Port de la Colònia de Sant Jordi,,,,,ES,,,,
Nautic Sant Antoni,Paseo Marítimo,,07820,Sant Antoni de Portmany,ES,info@esnautic.com,+34 971 340645,https://esnautic.com,
Marina Tenerife,,,,,ES,,,,
Salvamento Marítimo Las Palmas,,,,,ES,,,,
Port de l'Illa de l'Aire,,,,,ES,,,,
Marina d'estiu de Sa Mesquida,,,,,ES,,,,
Cala Figuera,,,,,ES,,+34 971 653220,,
Port de Peníscola,,,,,ES,,,,
Escuela de Vela,,,,,ES,,,,
Confraría de Pescadores,,,,,ES,,+34 881880313,https://www.portosdegalicia.gal/es/,
Mollet d'es Barcarès,,,,,ES,,,,
"Dársena del Puerto Deportivo de Melilla, Puerto Noray",,,,Melilla,ES,,,http://www.puertodemelilla.es/index.php/puerto-noray,
Dársena Pesquera,,,,,ES,,,,
Puertu Nuevu,,,,,ES,,,,
Puertu Vieyu,,,,,ES,,,,
Puerto de Carboneras,,,,,ES,,,,
Port Esportiu Les Fonts,,,,,ES,,,,
Puerto de Bonanza,,,,,ES,,,,
Embarcadero Club náutico,,,,,ES,,,,
Grúa de Piedra,,,,,ES,,,,
Embarcadero,,,,,ES,,,,
Club de Mar,,,,,ES,secretaria@clubdemar-mallorca.com,+34 971 40 36 11,https://www.clubdemar-mallorca.com/,
Marina Naviera Balear,Avinguda de Gabriel Roca,4,07014,Palma de Mallorca,ES,,+34 971454455,https://navierabalear.com/,
Marina Port de Mallorca,Paseo Marítimo,,07014,Palma de Mallorca,ES,recepcion@portdemallorca.com,+34 971 289 693,https://www.portdemallorca.com/,
Porto de Meira,,,,,ES,,,,
Puerto Chico,,,,,ES,,,,
Porto de Taragoña,,,,,ES,,,,
Nordeste,Avenida de José Hierro,46,39007,Santander,ES,info@velerianordeste.com,+34 942235556,https://www.velerianordeste.com/,Beschläge;Bootszubehör;Tauwerk
Tack velas,,,,,ES,,,,Segelmacher
Puerto de Ortiguera,,,,,ES,,,,
Antigua grua portuaria,,,,,ES,,,,
Antigua grua portuaria,,,,,ES,,,,
Antigua grua portuaria,,,,,ES,,,,
La Barca,,,,,ES,,,,
Port d'Altea,,,,,ES,,,,
Port Esportiu Luis Campomanes,,,,,ES,,,,
Dársena Santa Babara,,,,,ES,,,,
Dársena Villanueva,,,,,ES,,,,
Moll de Llevant,,,,,ES,,,,
Moll del Dipòsit,,,,,ES,,,,
Club Nàutic de Porto Cristo,,,,,ES,direccion@cnportocristo.com,+34 9 71 82 12 53,https://www.marinafuehrer.adac.de/haefen/club-nutico-portocristo/,
Port exterior de Ciutadella,,,,,ES,,,,
A Doca,,,,,ES,,,,
Dársena de Cabo de Palos,,,,,ES,,,,
Mollet d'en Guasc,,,,,ES,,,,
Dársena de Escombreras,,,,,ES,,,,
Enseada do Loeiro,,,,,ES,,,,
C.N.Villa de San Pedro,,,,,ES,,,,
Náutica Antonio de la Peña,Paseo de la Farola,15,29016,,ES,,,,Beschläge;Bootszubehör;Tauwerk
La Marina Yacht Service Sl,carretera de Teulada a Moraira,1,03724,Moraira,ES,,+34 965 743 091,http://www.lamarinayachtservice.es,Beschläge;Bootszubehör;Tauwerk
Hondarribia - Aeropuerto,,,,,ES,,,,
Grua de contenedores,,,,,ES,,,,
Port de Silla,,,,,ES,,,,
Puertu de Lluanco,,,,,ES,,,,
Associació Front al Mar,,,,,ES,,,,
Embarcadero club náutico,,,,,ES,,,,
Embarcadero del Ebro / Embarcador de l'Ebre,Avenida María Quintana / Avinguda María Quintana,,50170,Mequinenza,ES,,,,
Puerto Deportivo de Roquetas de Mar,,,,,ES,,,,
Puerto Pesquero de Roquetas de Mar,Avenida de Antonio Machado,,04740,Roquetas de Mar,ES,,,,
Grúas del Canal de Castilla,,,,,ES,,,,
AD NAUTIC,Avinguda de Joan Fuster,2c,03700,Dénia,ES,nautica@mundomarino.es,+34965784501,https://www.efectosnavales.es/,Beschläge;Bootszubehör;Tauwerk
Embarcadero de Boquiñeni Virgen del Rosario,,,,,ES,,,,
Club Naútico de Comillas,,,,,ES,,,,
Es Port,,,,,ES,,,,
Puerto de Garachico,,,,,ES,,,,
Porto de Caión,,,,,ES,,,,
Marina empuriabrava,,,,,ES,,,,
Marina Lanzarote,,,,,ES,,,,
Porto de Vigo,Avenida de Beiramar,,36202,Vigo,ES,,,,
Marina la Bajadilla Marbella,,,,,ES,,,,
Marina Marbella,,,,,ES,,,,
Náutica Guardamar,,,,,ES,,,,Beschläge;Bootszubehör;Tauwerk
Puerto Pesquero La Atunara,,,,,ES,,,,
Sport Nautic,Avinguda de Joan Fuster,1,03700,Dénia,ES,info@sportnautic.com,+34 96 578 43 20,https://sportnautic.com/,Beschläge;Bootszubehör;Tauwerk
Náutica Noguera,,,,,ES,,+34965780778,https://www.nauticanoguera.com/,Beschläge;Bootszubehör;Tauwerk
Port de Porto Cristo,,,,,ES,portportocristo@portsib.es,+34 971 820 419,https://www.portsib.es/es/paginas/inicio/puertos-y-amarres/todos-los-puertos/club-nautic-de-porto-cristo/,
M.D. Náutica,,,,,ES,,,https://www.mdnautica.com/,Beschläge;Bootszubehör;Tauwerk
Embarcadero de Logroño,,,,,ES,,,,
Salomar Velas,circunvalacion D.Aurelio folgar 2 Troans,2,,Cuntis,ES,,,,Segelmacher
Puerto Pesquero,,,,,ES,,,,
Antiga grua ferroviaria,,,,,ES,,,,
Puerto Estepona,,,,Estepona,ES,,,,
Objectes mercantils portuaris,,,,,ES,,,,
Puerto de Sotogrande,,,,,ES,,,,
"Talleres Candano, S.L.",,,,,ES,info@tcandano.com,+34 985 59 02 48,https://www.tcandano.com/,Beschläge;Bootszubehör;Tauwerk
BlueSea Nautic,,,,,ES,,,,Beschläge;Bootszubehör;Tauwerk
Armintza Portua,,,,,ES,,,,
Yacht Chandlers,Dic de Ponent (Estació Marítima),,,,ES,,+34 931195336,,Werften
Os Caneiros,"Os Caneiros, Coirós",,,Coirós,ES,,,,
Náutica Costa,,,,,ES,,,,Beschläge;Bootszubehör;Tauwerk
Nautica Busturia,,,,,ES,,,,Werften
Autoritat Portuària de València,,,,,ES,,,,
Embarcadero de Belver,,,,,ES,,,,
Grúa de Dexo,,,,,ES,,,,
Porto de Muxía,,,,,ES,,,,
Suites,,,,,ES,,,,
Balito,,,,,ES,,,,
Arguieguin,,,,,ES,,,,
Pasito Blanco,,,,,ES,,,,
Club Náutico del Embalse Cerro Alarcón,,,,,ES,,,,
Porto do Barqueiro,,,,,ES,,,,
Peirao do Coído,,,,,ES,,,,
Grúa de ferrocarril,,,,,ES,,,,
Porto de Cedeira,,,,,ES,,,,
puerto deportivo de isla cristina,,,,,ES,,,,
Porto de Malpica,,,,,ES,,,,
Porto de Razo,,,,,ES,,,,
Club Náutico Canet d'en Berenguer,,,,,ES,,,https://www.nauticcanet.com/,
NLC Tapiceria Nautica,,,,,ES,nauticnlc@gmail.com,+34 661 61 83 82,,Beschläge;Bootszubehör;Tauwerk
Real Fernando Boat,,,,,ES,,,,
Embarcadero,,,,,ES,,,,
Embarcadoro piraguas,,,,,ES,,,,
Porto de Cabanas,,,,,ES,,,,
Club Naútico de El Rasillo,,,,,ES,,,,
Aventura Sierra Norte,,,,,ES,,,,
Port Marina,,,,,ES,,,,
Peirao de Chapela,,,,,ES,,,,
Porto deportivo Punta Lagoa,,,,,ES,,,,
Boatlift,,,,,ES,,,,
Port Esportiu de Gandia,,,,,ES,,,,
