Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Jaakkolan satama,,,,,FI,,,,
Sulkava,,,,,FI,,,,
Ulenin ranta / vierassatama,,,,,FI,,,,
Koivuniemen laituri,,,,,FI,,,,
Neste Hirvensalmi,,,,,FI,,,,
Lutakonlahti,,,,,FI,,,,
Storm Marin,,,,,FI,,+358 10 5052717,https://www.stormmarin.fi/,Beschläge;Bootszubehör;Tauwerk
Vuohensaari,,,,,FI,,,,
vierassatama,,,,,FI,,,,
Mässkärs hamn,,,,,FI,,,,
Nobilis,,,,,FI,,,,Beschläge;Bootszubehör;Tauwerk
Juurusojan venesatama,,,,,FI,,,,
Sottunga,,,,,FI,,,,
Piitteri,,,,,FI,,,,
Vierasvenesatama,,,,,FI,,,https://www.jyvaskyla.fi/satamat/satamat,
Karlby gästhamn,,,,,FI,,,,
Sandvik Gästhamn,,,,,FI,,+358 457 3429242,https://www.sandvik.ax/,
Hellsö Gästhamn,,,,,FI,,,http://www.havspaviljongen.com/,
Astrum Vene Kemiö,Arkadiantie,13,25700,Kemiö,FI,vene@astrum.fi,,https://www.astrum.fi/veneet,Beschläge;Bootszubehör;Tauwerk
Kuhmoisten satama,,,,,FI,,,,
Ådö Fiskehamn,,,,,FI,,,,
W&W Marine,Kalkkirannantie,50,,,FI,,,https://www.wwmarine.fi/,Beschläge;Bootszubehör;Tauwerk
Kangasniemen venesatama,,,,Kangasniemi,FI,,,,
Grisselören,,,,,FI,,,,
Krok båthamn,,,,,FI,,,,
Larsmo Fiskehamn,,,,,FI,,,,
Soitunlahti,,,,,FI,,,,
Mäntyharju vierasvenelaituri,,,,,FI,,,,
Kuivanuoron venesatama,,,,,FI,,,,
Liperin satama,,,,,FI,,,,
Loviisan vierasvenesatama,Laivasilta,,07900,Loviisa,FI,,,https://www.visitkotkahamina.fi/kohteet/loviisa-laivasilta/#6b6ce018,
Norra Sandö,,,,,FI,,,http://www.uudenmaanvirkistysalueyhdistys.fi/index.php?k=13387,
Tammio,,,,,FI,,,,
Länsisatama,,,,,FI,,,,
Itäsatama,,,,,FI,,,,
Bockhamn,,,,,FI,,,http://www.uudenmaanvirkistysalueyhdistys.fi/index.php?k=13388,
Kausalan venesatama,,,,,FI,,,,
Kammelanranta,,,,,FI,,,,
Visavuori,,,,,FI,,,,
Aulanko,,,,,FI,,,,
Toijalan satama,,,,,FI,,,,
Nokian satama,,,,,FI,,,,
Sääksmäen silta,,,,,FI,,,,
Pukulmin venesatama,,,,,FI,,,,
Alinabba båthamn,,,,,FI,,,,
Skata båthamn,,,,,FI,,,,
