Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Port de plaisance de Cattenom,,,,,FR,,,,
Port Saint-Sauveur,,,,,FR,port-saintsauveur@mairie-toulouse.fr,+33 5 61 22 22 17,https://www.toulouse.fr/web/environnement/port-saint-sauveur,
Halte Nautique de Lutzelbourg Amont,,,,,FR,,,,
Halte Nautique de Crévic,,,,,FR,,,,
Vieux-Port,,,,,FR,,+33 4 91 33 25 44,,
Port de plaisance de Sarreguemines,,,,,FR,,+33 3 87 95 66 99,https://www.sarreguemines-tourisme.com/fr/ou-dormir/ports-de-plaisance/port-de-plaisance-sarreguemines-947000501,
Halte Fluviale de Void,,,,,FR,,,,
Halte nautique de Brienon-sur-Armançon,,,,,FR,,,,
Halte fluviale de Bonnant,,,,,FR,,,,
Halte Nautique de Villeneuve sur Yonne,,,,,FR,,,,
Halte Nautique de Mulhouse34,,,,,FR,,,,
Halte nautique de Hombourg,,,,,FR,,,,
Halte Nautique des Fouchards,,,,,FR,,,,
Halte Nautique de Léré,,,,,FR,,,,
Halte Nautique de Beaulieu,,,,,FR,,+33 2 38 35 32 16,,
Halte fluviale de Saint-Firmin,,,,,FR,,,,
Port de Dahouët,,,,,FR,,,,
Port de Bormes,,,,,FR,,,,
Port du Pradet,,,,,FR,,,,
Base Nautique des Murs Blancs,,,,,FR,,,,
Espace Nautique,,,,,FR,,,,
Grue Titan grise,,,,,FR,,,,
Halte nautique de Maron,,,,,FR,,,,
Port de Pêche et de Plaisance de Sainte-Marie,,,,,FR,,,https://portdesaintemarie.re/,
Halte nautique d'Amiens,,,,,FR,ot@amiens-metropole.com,+33 3 22 71 60 50,,
Port de plaisance de Bègles,,,33130,Bègles,FR,,,,
Halte Nautique de Pouillenay,,,,,FR,,,,
Halte fluviale de Meaux,,,,,FR,tourisme@meaux.fr,+33 1 64 33 02 26,https://www.ville-meaux.fr/-Halte-fluviale-.html,
Halte Nautique de Soing,,,,,FR,mairie.soing@wanadoo.fr,+33 3 84 78 41 97,,
Halte Nautique de Pontailler sur Saône,,,,,FR,,,,
La Seine,,,,,FR,,,,
Port de Pont d'Ouche,,,,,FR,,,,
Halte Nautique d'Alluy,,,,,FR,,,,
La Vallée des Moulins,,,,,FR,,,,
halte de Montereau-Fault-Yonne,,,,,FR,,,,
Port Grimaud,,,,,FR,,,,
Halte Nautique de Rogny les Sept Écluses,,,,,FR,,,,
Halte nautique d'Ouzouer sur Trézée,,,,,FR,,,,
Halte de Montbouy,,,,,FR,,,,
Halte Nautique de Nemours (Loing),,,,,FR,,,,
Halte de Saint-Mammès,,,,,FR,,,,
