Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Theale Water Ski club,,,,,GB,,,,
Rowing lake,,,,,GB,,,,
Hartlepool Yacht Club,,,,,GB,,,,
Royal Forth Yacht Club,,,,,GB,,,,
Haslar Marina,,,,,GB,,,,
Emberton Park Sailing Club,Olney Road,,MK46 5FJ,Emberton,GB,,,,
Pengwern Boat Club,,,,,GB,,,,
Lazy Otter Marina,,,,,GB,,,,
Burghfield Island Boat Club,,,,,GB,,,,
Littlehampton Marina,,,,,GB,,,,
Sandwich Marina,,,,,GB,,,,
Hill Head Harbour,,,,,GB,,,,
Huntingdon Boat Haven and Caravan Park,,,,,GB,,,,
Brandy Hole Yatch Club,,,,,GB,,,,
Ryde Harbour,,,,,GB,,,,
Sweet William Charter Boat,Coble Dene,,,North Shields,GB,,,https://www.sweetwilliam.uk/,
Buckden Marina,,,,,GB,,,,
Medway Bridge Marina,,,,,GB,,,,
Riverside Island Marina,,,,,GB,,,,
Mirfield Marina,,,,,GB,,+44 7854 235117,,
Lime Farm Marina,,,,,GB,sarah@limefarmmarina.co.uk,+44 1788 570131,,
Staunton Harold Sailing Club,Calke Road,,DE73 8DL,Derby,GB,,,https://shsc.org.uk/,
Trinity Marina,,,,,GB,,,,
Mylor Yacht Harbour,,,,,GB,,,,
Conwy Marina dry dock,,,,,GB,,,,
Ashlett Creek Sailing Club,,,,,GB,,,,
Ocean Quay Marina,,,,,GB,,,,
Kemps Quay Marina,,,,,GB,,,,
Smallgains Marina,,,,,GB,,,,
Troon Marina,,,,,GB,,,,
Tinsley Marina,,,,,GB,,,,
Ballintoy Harbour,,,,,GB,,,,
Royal Northumberland Yacht Club,,,,,GB,,+44 1670 353636,https://www.rnyc.org.uk/,
Blyth,,,NE24 3PB,Blyth,GB,enquiries@portofblyth.co.uk,+44 1670 352066,https://portofblyth.co.uk,
Humber Cruising Association Ltd,,,,,GB,,+44 1472 268 424,http://www.hcagrimsby.co.uk,
Boston Marina,,,,,GB,,+44 1205 364420,http://www.bostonmarina.net,
Medway Yacht Club,,,,,GB,,,,
Alvechurch Marina,,,B48 7SQ,Alvechurch,GB,abllg@alvechurchmarina.com,+441214451133,https://alvechurchmarina.com/,
Urquhart Bay Harbour,,,,,GB,,,,
Castle Semple Sailing Club,,,,,GB,,,,
Maestermyn,,,,,GB,,,,
Blairvadach Sailing and Outdoor Centre,,,,,GB,,,,
Canal Crane,,,,,GB,,,,
Canal Crane,,,,,GB,,,,
Titchmarsh Mill,,,,,GB,,,,
Parkstone Bay Marina,,,,,GB,,,,
Priorslee Lake,,,,,GB,,,,
Willowtree Marina,,,,,GB,,,,
Engineer's Wharf Moorings,Taywood Road,,,,GB,,,,Motor
rowing boat mooring,,,,,GB,,,,
roing boat mooring,,,,,GB,,,,
The Ferry Marina,,,,,GB,,,,
Cameron House on Loch Lomond,,,,,GB,,,,
Eype,,,,,GB,,,,
Liverpool Marina,,,,,GB,,,,
Wicormarine Boatyard,,,,,GB,,,,
fishng boats anchored,,,,,GB,,,,
Hornsea Sailing Club,,,,,GB,,,,
Cowes Yacht Haven,,,,,GB,,,,
Imperial Wharf Marina,,,,,GB,,,,
Millburn - Gairsay,,,,,GB,,,,
Kirkwall Marina,,,,,GB,,,,
Fairlie Quay Boatyard & Shed,,,,,GB,,,,
Dunseverick Harbour,,,,,GB,,,,
Newcastle Yacht Club,,,,,GB,,,https://www.newcastleyachtclub.co.uk/,
Grimsby & Cleethorpes Yacht Club,Lockhill Road,,DN31 3PG,Grimsby,GB,secretary@gcyc.co.uk,+44 1472 356 678,https://www.gcyc.co.uk/,
Milford Marina,,,,,GB,,,,
Sandown Marina,,,,,GB,,,,
Maryport Marina,,,,,GB,,,,
Aspley Marina,,,,,GB,,,,
Caernarfon Marina,,,,,GB,,,https://www.caernarfonharbour.org.uk/victoria-dock/,
Craighouse moorings,,,,,GB,,,,
Fisherrow Harbour,,,,,GB,,,,
Weymouth Marina,,,,,GB,,+44 1305 767576,http://www.deanreddyhoff.co.uk/weymouth-marina/,
Fowey Harbour,,,,,GB,,+44 1726 832471,https://www.foweyharbour.co.uk/,
Lochy Bay,,,,,GB,,,,
Lerwick Boating Club,,,,,GB,,,https://www.lerwickboatingclub.co.uk/,
Lerwick Sea Scouts,,,,,GB,,,,
Haversham sailing club,High Street,,MK19 7DX,Milton Keynes,GB,,,,
