Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Sani Marina,,,,,GR,,,,
Porto Bello Marina,,,,,GR,,,,
Paloi Marina,,,,,GR,,,,
Marina Lakki,,,,,GR,,,,
Marina Pythagorio,,,,,GR,,,,
Samos Marina,,,,,GR,info@samosmarina.gr,+30 22730 61600,https://samosmarina.gr,
Kouloura Marina,,,,,GR,,,,
Μαρίνα Βόλου,,,,,GR,,,,
Porto Carras,,,,,GR,,,,
Μαρίνα Μαντρακιού,,,,,GR,,,,
Monemvasia,,,,,GR,,,,
Ipsos,,,,,GR,,,,
Μαρίνα Καμμένων Βούρλων,,,,,GR,,,,
Πλημμύρι,,,,,GR,,,,
Yachts Park Λαυριου,,,,,GR,,,,
Mongonisi,,,,,GR,,,,
Αλιευτικό καταφύγιο,,,,,GR,,,,
Νέα Αρτάκη,,,,,GR,,,,
Sivota,,,,,GR,,,,
Λιμάνι Γαύδου,,,,,GR,,,,
Κερέντζας,,,,,GR,,,,
Άγιος Ανδρέας,,,,,GR,,,,
Λιμάνι της Κολώνας,,,,,GR,,,,
Κάλαμος,,,,,GR,,,,
Όρμος Αφροδίτης,,,,,GR,,,,
Μαρίνα Αγίας Πελαγίας,,,,,GR,,,,
New Port Public Marina,,,,,GR,,,,
Αλυκές Πύδνας,,,,,GR,,,,
Ναυτικός Όμιλος Θεσ/νίκης,,,,,GR,nautical@ncth.gr,,https://ncth.gr/,
Ναυτικός Όμιλος Καλαμαριάς,,,,,GR,,,,
Βάση Ναυτοπροσκόπων Καλαμαριάς,,,,,GR,,,,
Μαρίνα Θεσ/νίκης,,,,,GR,,,,
Λιμάνι Ίμερου,,,,,GR,,,,
dock to the Monastery,,,,,GR,,,,
Μέριχας,,,,,GR,,,,
Small Akrotiri Marina,,,,,GR,,,,
gridia,,,,,GR,,,,
Μολος,,,,,GR,,,,
Angistri,,,,,GR,,,,
Korthiou,,,,,GR,,,,
ΜΑΡΙΝΑ,,,,,GR,,,,
Ναυτικός Όμιλος Μυτιλήνης,,,,,GR,,,,
"Αλιευτικό καταφύγιο ""Τούρκικου γιαλού""",,,,,GR,,,,
Λιμάνι Φαληρακιού,,,,,GR,,,,
Μαρίνα Αγγελοχωρίου,,,,,GR,,,,
Leros Marina,,,,,GR,,,,
Brama Yachts & Catamarans,Ποσειδώνος,4,17455,Άλιμος,GR,,+30 6977977578,https://www.bramayachts.com/,Beschläge;Bootszubehör;Tauwerk
Πουρνιάς,,,,,GR,,,,
Limani Aghias Bay,,,,,GR,,,,
Λιμενίσμος Ανδρώνιου,,,,,GR,,,,
'Αγιος Στέφανος,,,,,GR,,,,
Λιμένας Μούδρου,,,,,GR,,,,
Γλαστρί,,,,,GR,,,,
Kamiros Skala,,,,,GR,,,,
Λιμάνι κόλπου Στεγνών,,,,,GR,,,,
Αγιόκαμπος λιμάνι,,,,,GR,,,,
Λιμενίσκος Συκαμινέας,,,,,GR,,,,
Agia Effimia Marina,,,,,GR,,,,
Greek Sails,,,,,GR,,,,
Μικρό λιμάνι,,,,,GR,,,,
