Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Luka Sali,,,,,HR,,+385 23 377 042,https://www.cpa-zadar.hr/luka/luka-sali/43.html,
Marina Veruda - Pula,,,,,HR,,+385 52 224 034,https://www.marina-veruda.hr/,
Igrane,,,,,HR,,,,
Lučica Slatine,,,,,HR,,,,
Sovlja,,,,,HR,,,,
Nehaj,,,,,HR,,,,
Marina Hramina,,,,,HR,recepcija@marina-hramina.hr,+385 22 434 411,http://www.marina-hramina.hr,
Marina Vlaška,,,,,HR,info@marinavlaska.com,+385 99 2447410; +385 21 636247,http://www.marinavlaska.com,
Dami Boats,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Nautika centar,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
ACI - Marina Mali Losinj,,,,,HR,,,,
Neue Steganlage - Marina,,,,,HR,,,,
Ilovik,,,,,HR,,,https://www.ilovik.hr/kontakt,
Rovenska,,,,,HR,,,,
Sv. Mikula,,,,,HR,,,,
Marina-Brioni,,,,,HR,,,,
Drvenik Veliki,,,,,HR,,,,
Marina Betina,,,,,HR,marina-betina@si.t-com.hr,+385 22 434497; +385 22 434844,https://www.marina-betina.com/,
Fažana,,,,,HR,,,,
Malinska,,,,,HR,,,,
Luka Cres,,,,,HR,,+38 51 571-111,,
Marina Prelog,,,,,HR,,,,
Vodice,,,,,HR,,,,
Konoba Opat,,,,,HR,dupin.opat@gmail.com,+385 914732550; +385 91 2247878,https://www.opat-kornati.com,
Novalja,,,,,HR,,,,
crane,,,,,HR,,,,
Njivice,,,,,HR,,,,
"Velika Stupica, Insel Žirje",,,,,HR,,,,
Insel Vrgada A u. B (Westteil),,,,,HR,,,,
Pakoštane II,,,,,HR,,,,
Pakoštane I,,,,,HR,,,,
"Bucht Soline 2, Insel Pašman",,,,,HR,,,,
"Bucht Soline 1, Insel Pašman",,,,,HR,,,,
"Zdrelašćica, Ugljan",,,,,HR,,,,
"Stržna, Dugi Otok",,,,,HR,,,,
"Mljake, in Durchfahrt Zapuntel, Insel Ist",,,,,HR,,,,
"Bucht Sv. Nikola, Insel Olib",,,,,HR,,,,
Otok Olib,,,,,HR,,,,
Ankerplatz Ilovik,,,,,HR,,,https://www.ilovik.hr/kontakt,
Lučica Porat,,,,,HR,,,,
Lučica Vantačići,,,,,HR,,,,
Port Bol,,,,,HR,,+385 635-903,https://www.bol.hr/,
Maslinica,,,,,HR,,,,
Marina Dalmatia,,,,,HR,info@marinadalmacija.hr,+385 23 200300,http://www.marinadalmacija.hr,
Sućuraj,,,,,HR,,,,
Marina,,,,,HR,,,,
Volme,Volme,209B,52100,Banjole,HR,office@volme.net,+385 98 324 098,http://www.volme.net/,
Luka Koromačna,,,,,HR,,,,
Marina LAV,,,,,HR,,,http://www.marinalav.hr/en/captains-corner/,
Bucht Triluke,,,,,HR,,,,
Camp Slatina,,,,,HR,,,,
Sveta Marina,,,,,HR,,,,
Konoba Piccolo,,,,,HR,,+385 22 643 688,,
Ravni Žakan,,,,,HR,niksa@marina-hramina.hr,+385 91 7260579,http://marina-hramina.com/de/taverne-zakan/,
Konoba Pipo,,,,,HR,pipo_luke@yahoo.com,+385-98-265315; +385-21-633096,http://www.pipo1.com,
Povlja,,,,,HR,,,,
Stara luka,,,,,HR,,+385 91 2894006,,
Sidrište Luka Hvar,,,,,HR,,,,
Mehanik nautic,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Ecos Yachting,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Marina Bunarina - Pula,,,,,HR,,,,
Luka Krapanj,,,,,HR,,,,
Luka Jelsa,,,,,HR,,,,
Skrivena Luka,,,,,HR,,,,
Marina Orebic,,,,,HR,,,,
Restaurant Festa,,,,,HR,restoran-festa@zut.hr,+385 22 643 190,https://www.zut.hr,
Marina Novigrad,,,,,HR,,+385 52 757176,,
Konoba Levrnaka,,,,,HR,daniel@konoba-levrnaka.hr,+385 91 4353777,http://www.konoba-levrnaka.hr,
Vrulje,,,,,HR,info@vrulje-kornati.com,+385 99 734 2169,http://www.vrulje-kornati.com/vruljeDE.html,
Strižnja,,,,,HR,,,,
Luka Šibenik,,,,,HR,,+385 91 1188875,http://www.cpa-sibenik-knin.hr/eng/ports/sibenik.asp,
Luka Rogoznica,,,,,HR,,+385 91 2564387;+385 91 256 43 85,http://www.cpa-sibenik-knin.hr/eng/ports/rogoznica.asp,
YC Orsan,,,,,HR,,,,
Luka Nerezine,,,,,HR,,,https://www.luckauprava-losinj.hr/luka-nerezine/,
Nautika Kranjec,Ulica grada Vukovara,3,,,HR,,,https://nautika.hr/,Beschläge;Bootszubehör;Tauwerk
Božava,,,,,HR,,,,
Marina Rogač,,,,,HR,,,,
Luka Susak,,,,,HR,,,,
Luka Mandre,,,,,HR,,,,
Goli otok,,,,,HR,,,,
Lučica Strožanac,,,,,HR,,,http://dsr-strozanac.hr/,
Konoba Sandra,,,,,HR,,+385 98 923 5033,,
Okrug Gornji,,,,,HR,,,,
Bojenfeld Badija,,,,,HR,,,,
Nautic Wasi,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Bobovišća,,,,,HR,,,,
Marina Zaton,,,,,HR,,,http://www.dreamyachtcharter.hr/Kategorija.aspx?Kat=63,
Pro-nautika,Zagrebačka,81,10290,Zaprešić,HR,,,https://www.pronautika.hr/,Beschläge;Bootszubehör;Tauwerk
Medveja,,,,,HR,,,,
Žman,,,,,HR,,,,
Luka,,,,,HR,,,,
Slano,,,,,HR,,,,
Marina Yachting Club,Privlaka bb,,51550,Mali lošinj,HR,yc.marina@losinia.hr,+385 51 231 626,https://losinia.hr/,
Marina Orašac,,,,,HR,,,,
Riva,,,,,HR,,,,
Jadranovo,,,,,HR,,,,
Muna,,,,,HR,,,,
Core Lounge,,,,,HR,info@core-kornati.com,+385 75 999995; +385 91 2004045,https://www.core-kornati.com/,
Igrane,,,,,HR,,,,
PRIVATE,,,,,HR,,,,
Windsurf Station,,,,,HR,,,,
Vinici,,,,,HR,,,,
Brodomehanika,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Luka marine,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Motonautika,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Mata Marine Service,,,,,HR,,,,Segelmacher
Hotel Spongiola,,,,,HR,,,https://spongiola.com/en/modern-marina/,
Luka Zapuntel,,,,,HR,,,,
Luka Zablaće,,,,,HR,,,,
Marina Veli Iž (Recepcija),,,,,HR,,,,
ACI Marina Žut (Recepcija),,,,,HR,,,,
crane,,,,,HR,,,,
crane,,,,,HR,,,,
Marina Frapa Dubrovnik,Lapadska obala,21,20000,Dubrovnik,HR,,,,
Zapadna obala,,,,,HR,,,https://splitskaobala.hr/zapadna-obala/,
Nautika centar Nava,,,,,HR,,,https://www.navaboats.com/,
Jedriličarski klub Mornar,,,,,HR,,,http://www.jk-mornar.hr/,
Jedriličarski klub Labud,,,,,HR,,,https://www.jklabud.hr/,
Sportska lučica Poljud,,,,,HR,,,,
Yacht center Adriatic d.o.o.,,,,,HR,,,https://www.yachtcenter.hr/o-nama,Beschläge;Bootszubehör;Tauwerk
Ultra Sailing,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Jazine,,,,,HR,,,https://cpa-zadar.hr/luke-1/luke-lokalnog-zna%C4%8Daja/luka-zadar-jazine,
Nautic Shop,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Wasi,Draga,6,,,HR,,,http://www.wasi.hr/,Beschläge;Bootszubehör;Tauwerk
Luka Karbuni,,,,,HR,,,,
Dang Nautica,Velebitska ulica,11,21000,Split,HR,,,,Beschläge;Bootszubehör;Tauwerk
Nova luka,,,,,HR,,+385 91 2894006,,
Wasi,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Aurani Marine Service Parts,,,,,HR,,+385 51 774 823,http://www.aurani.eu/,Beschläge;Bootszubehör;Tauwerk
Konoba Smokvica,,,,,HR,konobasmokvica@gmail.com,+385 22 643 454; +385 91 333 0044,https://smokvica-kornati.com/,
Marina stores,,,,,HR,,,https://www.marinastores.hr/,Beschläge;Bootszubehör;Tauwerk
Uvala Luka,,,,,HR,,,,
Prístav Arbanija,,,,,HR,,,,
Olive Island Marina,,,23273,Sutomišćica,HR,,,https://oliveisland-marina.eu/marina/,
Port of Kuciste,,,,,HR,,,,
Nautella,,,,,HR,,,,Beschläge;Bootszubehör;Tauwerk
Drage,,,,,HR,,,,
Marina Funtana,,,,,HR,,,https://funtana.com/en/accommodation/marina-funtana/,
Dizalica,,,,,HR,,,,
