Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Barcsi hajókikötő,,,,,HU,,,,
Koloska Marina,Kouvola utca,1,8230,Balatonfüred,HU,,,,
Szigliget id. Szívós István Vitorláskikötő,,,,,HU,,+36209733076,,
Hajóállomás,,,,,HU,,,,
Szivárvány kikötő,,,,,HU,kikotoszivarvany@gmail.com,+36 20 993 8164 +36 30 151 2408,https://tiszavalkikikoto.hu/,
Tihany Marina / The Sail,,,,,HU,,,,
Kishajó-kikötő,,,,,HU,,,,
Siófok,,,,,HU,,,,
Aliga,,,,,HU,,,,
Siófoki vitorlás kikötő,,,,,HU,,,,
Kaáli Nagy Dezső vitorláskikötő,,,,Balatonboglár,HU,,+36 20 972 2504,,
Zamárdi csónakkikötő,,,,,HU,,,,
Delfin kikötő,,,,,HU,,,,
BL Yacht Club,,,,,HU,,,,
Port Lacaj,,,,,HU,,,https://www.portlacaj.hu/,
Park Hotel kikötő,,,,,HU,,,,
Keresztes György vitorláskikötő,,,,,HU,,,,
Fonyód Yacht Club és fürdőház,,,,,HU,,,,
csónakkikötő,,,,,HU,,,,
Bélatelep önkormányzati csónakkikötő,,,,,HU,,,,
Balatonmáriafürdő Túravitorlás Egyesület,,,,,HU,,,,
Balatonberény Magyar tenger VSE,,,,,HU,,,,
Pannon Agrártudományi Egyetem,,,,,HU,,,,
Keszthelyi Yacht Club,,,,,HU,,,,
Helikon Horgászegyesület,,,,,HU,,,,
Keszthely kikötő,,,,,HU,,,,
Keszthelyi Vöröskeresztes Vízimentő Egyesület,,,,,HU,,,,
Balatonöszöd Kormányüdülő,,,,,HU,,,,
Ábrahámhegy Jégmadár Kikötő,,,,,HU,,,https://www.jegmadarkikoto.hu/,
BAHART Révfülöp kikötő,,,,,HU,,,,
Üdülőszálló,,,,,HU,,,,
Káptalan Vízisport Egyesület,,,,,HU,,,,
Aquilo Hotel Panoráma - Kikötő,,,,,HU,,,,
Wiking Yacht Club,,,,,HU,,,,
Városi kikötő,,,,,HU,,,,
Albatrosz kikötő,,,,,HU,,,https://albatroszkikoto.hu/,
Wiking Marina Budapest,,,,,HU,,,,
Kisapostagi Yacht Klub,,,,,HU,,,,
Hajoker Bootsclub,,,,,HU,,,,
Erzsébet Üdülőközpont és Tábor Zánka kikötő,,,,,HU,,,,
Kormorán Kikötő,,,,,HU,,,,
Szabics kikötő,,,,,HU,,,https://www.szabicskikoto.hu/,
Toponári csónakkikötő,,,,,HU,,,,
Vízisport-egyesület kajakkikötője,,,,,HU,,,,
"""Joker"" Csónakkikötő",,,,,HU,,,,
EGIS csopaki kikötő,,,,,HU,,,,
MOHOSZ Sajkod,,,,,HU,info@horgaszat-tihany-sajkod.hu,,https://horgaszat-tihany-sajkod.hu/,
Limnológiai Intézet,,,,,HU,,,,
Szalók Yacht Club,Attila-öböl,,5241,Abádszalók,HU,,+36 30 559 7954,,
Abádi Kikötő,,,5241,Abádszalók,HU,,,,
Ezüstpart Yach Kikötő,Liszt Ferenc sétány,,8600,Siófok,HU,,,,
Csicsman kikötő,,,,,HU,,,,
Hortobágyi Nemzeti Park kikötő,,,,,HU,,,,
Sukorói kikötő,,,,,HU,,,,
Tihany-Szántód Kikötő,,,,,HU,,,,
Szent Miklós kikötő,,,,,HU,,,,
Csónak kikötő,,,,,HU,,,,
Pletna kikötő,,,,,HU,,,,
Kikötő,,,,,HU,,,,
Csónak kikötő,,,,,HU,,,,
Stég (kikötésihely),,,,,HU,,,http://turistautak.hu/poi.php?id=92612,
Tahitótfalu kikötő,,,,,HU,,,http://turistautak.hu/poi.php?id=172046,
Stég,,,,,HU,,,http://turistautak.hu/poi.php?id=66326,
Kikötőhely,,,,,HU,,,http://turistautak.hu/poi.php?id=68496,
Csónakkikötő,,,,,HU,,,http://turistautak.hu/poi.php?id=92057,
Horgászkikötő,,,,,HU,,,http://turistautak.hu/poi.php?id=98615,
Ábrahámhegyi csónakkikötő,,,,,HU,,,http://turistautak.hu/poi.php?id=154631,
Gabonarakodó,,,,,HU,,,http://turistautak.hu/poi.php?id=74650,
