Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Ballyconnell Moorings,,,,,IE,,,,
Scarriff Harbour,,,,,IE,,,,
University of Limerick Activity Centre,,,,,IE,,,,
The Lagoon,,,,,IE,,,,
Arklow Marina,,,,,IE,,,,
LRYC Marina,,,,,IE,,,,
Kilrush Creek Marina,,,,,IE,,,,
Quilty Seafield Pier,,,,,IE,,,,
Sovereign Sailing,,,,Kinsale,IE,,+353 86 858 6212,https://www.sovereignsailing.com,Beschläge;Bootszubehör;Tauwerk
Dun Laoghaire Marina,Harbour Road,,A96 D376,Dún Laoghaire,IE,,+353 (1) 202 0040,https://www.dlmarina.com/,
Glandore Harbour Yacht Club,,,,,IE,,,,
Hanley's Marina,,,,,IE,,,,
Ballyleague Marina,,,,,IE,,,,
Portrunny,,,,,IE,,,,
Coolnahey Harbour,,,,,IE,,,,
Caladh Thadhg,,,,,IE,,,,
Hanover Quay,,,,,IE,,,,
Enfield Harbour,,,,,IE,,,,
Kinsale,,,,,IE,,,,
West Sails,Harbour Enterprise Park,,,Galway,IE,,+353 87 62 89 854,http://westsails.ie,Segelmacher
Greystones Marina,,,,,IE,,,,
Lower Aghada Pier Marina,,,,,IE,,,,
Rossmore,,,,,IE,,,,
Dublin Moorings,,,,,IE,,,,
Castle Harbour,,,,,IE,,,,
Connacht Harbour,,,,,IE,,,,
Munster Harbour,,,,,IE,,,,
Dromaan Harbour,,,,,IE,,,,
Killaloe,,,,,IE,,,,
Mountshannon,,,,,IE,,,,
WIlliamstown Harbour,,,,,IE,,,,
Nutgrove Harbour,,,,,IE,,,,
Dromineer,,,,,IE,,,,
Quay,,,,,IE,,,,
Terryglass Quay,,,,,IE,,,,
Houghton's Shore mooring,,,,,IE,,,,
Hodson Bay,,,,,IE,,,,
Lecarrow,,,,,IE,,,,
Tarmonbarry,,,,,IE,,,,
Carrick-on-Shannon,,,,,IE,,,,
Boyle Marina,,,,,IE,,,,
Lough Key Forest & Leisure Park,,,,,IE,,,,
The Moorings,,,,,IE,,,,
Richmond Harbour,,,,,IE,,,,
Drumsna,,,,,IE,,,,
Jamestown,,,,,IE,,,,
Kilglas,,,,,IE,,,,
Roosky,,,,,IE,,,,
Ballinasloe,,,,,IE,,,,
Banagher,,,,,IE,,,,
Clonmacnoise,,,,,IE,,,,
Shannonbridge,,,,,IE,,,,
Gortmore Point,,,,,IE,,,,
Garrykennedy,,,,,IE,,,,
Kilcoe Pier,,,,,IE,,,,
Annabeg,,,,,IE,,,,
Viking Marine,Marine Road,,A96 YE27,Dún Laoghaire,IE,sales@vikingmarine.ie,+353-1-280-6654,https://vikingmarine.ie/,Beschläge;Bootszubehör;Tauwerk
Carlingford Marina,,,,,IE,info@carlingfordmarina.ie,+353-42-9373072,https://www.carlingfordmarina.com/,
Turk Head Pier,,,,,IE,,,,
Fishing Club,,,,,IE,,,,
Reddan's Quay,,,,,IE,,,,
Lawrence Cove Marina,,,,,IE,,+353-27-75044,http://www.lawrencecovemarina.ie/,
Coosan Point,,,,,IE,,,,
Shannonbridge,,,,,IE,,,,
Malahide Marina Centre,Marina Village,,,,IE,info@malahidemarina.net,+353-1-8454129,http://www.malahidemarina.net/,
Riverdale Marina,,,,,IE,,,,
MoyCarn Lodge & Marina,Moycarn,,,Ballinasloe,IE,info@moycarnlodge.ie,+353-90-9645050,https://www.moycarnlodge.ie/,
Youghal Harbour,,,,,IE,,,,
Coolbagh Quay,Coolbagh,,,Clashmore,IE,,,,
Dinghy Supplies & Sutton Marine,Dublin Road,46,,,IE,,,http://www.dinghysupplies.ie/,Beschläge;Bootszubehör;Tauwerk
Fitzgerald Marine,Knocknabohilly,,,Kinsale,IE,gearoid@fitzgeraldmarine.com,+353 21 4772 582,https://www.fitzgeraldmarine.com/,Werften
The Boatyard,Portgate Business Park,,,Ringaskiddy,IE,,+353 86 835 8500,http://theboatyard.ie,Werften
Haven Marine,,,,,IE,,+353 87 322 4807,https://www.havenmarinecarrigaline.com/,Werften
MGM Boats,Pier Road,,,Kinsale,IE,,+353 21 470 9600,https://www.mgmboats.com/,Beschläge;Bootszubehör;Tauwerk
Leitrim Marina,,,,,IE,,,,
Kinsale Boatyard,,,,,IE,,,,
Malahide Marina Centre,,,,,IE,,,,
Waterford Boat Yard,,,,,IE,,,,
Carlingford Marina Boat Yard,,,,,IE,,,,
Howth Yacht Club,,,,,IE,,,,
Howth Yacht Club,,,,,IE,marina@hyc.ie,+353-1-8392777,,
Howth Yacht Club,,,,,IE,,,,
National Yacht Club,,,,,IE,,,,
National Yacht Club,,,,,IE,,,,
National Yacht Club,,,,,IE,,,,
National Yacht Club,,,,,IE,,,,
National Yacht Club,,,,,IE,,,,
Marine Motors Cork,,,,,IE,,,https://marinemotorscork.com/,Beschläge;Bootszubehör;Tauwerk
Royal National Lifeboat Institution,,,,,IE,,,,
Crane 292,,,,,IE,,,,
Boat House,,,,,IE,,,,Beschläge;Bootszubehör;Tauwerk
Galway Maritime,Merchants Road,,H91 PK5V,Galway,IE,,+353 91 566 568,https://galwaymaritime.com/,Beschläge;Bootszubehör;Tauwerk
Athlone Boat Club,,,,,IE,,,,
Small Craft Moorings,,,,,IE,,,,
Hugh Coveney Pier Marina,,,,,IE,,,,
Meitheal Mara,,,,,IE,,+353 21 4316813,https://meithealmara.ie/,Werften
Horsepower Workshop,,,,,IE,horsepowerworkshop@gmail.com,,https://horsepowerworkshop.com/,Beschläge;Bootszubehör;Tauwerk
Virginia Marina,,,,,IE,,,,
Céibh an tSrutháin,,,,,IE,,,,
Céibh Aill na Graí,,,,,IE,,,,
Lough Derg Yacht Club,,,,,IE,,,,
East Ferry,,,,,IE,,,,
Lowtown Marina,,,,,IE,,,,
Dromod,,,,,IE,,,,
Banagher Marina,,,,,IE,,,,
Bray Harbour,,,,,IE,,,,
McKeon Stone Ltd,,,,,IE,,,,
Ballinamore Mooring,,,,,IE,,,,
Iniscealtra Sailing Club,,,,,IE,,,,
Cahersiveen Marina,,,,,IE,info@cahersiveenmarina.ie,+353-66-9472777,https://www.cahersiveenmarina.ie/,
Baltmore,,,,,IE,,,,
Irish Rail,,,,,IE,,,,
