Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Borgarfjarðarhöfn,,,,,IS,,+3544729999,,
Eskifjarðarhöfn,,,,,IS,,,,
Eskifjarðarhöfn,,,,,IS,,,,
Smábátahöfn,,,,,IS,,,,
Húsavík Port,,,,,IS,,,,
Víkingur,Koparslétta,20,162,Reykjavík,IS,vikingbatar@vikingbatar.is,+354 560 7960,https://vikingbatar.is/,Werften
Flensborgarhöfn,,,,,IS,,,,
Snarfarahöfn,,,,,IS,,,,
Hafnarsvæði,,,,,IS,,,,
Brokey,,,,,IS,,,https://www.brokey.is/,
Siglingafélagið Ýmir,,,,,IS,,,,
Smábátahöfnin á Seyðisfirði,,,,,IS,,,,
