Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Foce Sisto Small Harbour,,,,,IT,,,,
Monteroso Levante Small Harbour,,,,,IT,,,,
Guardia Costiera,,,,,IT,,,,
Gru Alaggio,,,,,IT,,,,
Porto di Pisogne,,,,,IT,,,,
Arma di Taggia,,,,,IT,,,,
Marina di Scarlino,,,,,IT,,,http://www.marinadiscarlino.it,
Cannigione,,,,,IT,,+39 346 806 5848,,
Santa Teresa Gallura (marina di Longonsardo),,,,,IT,,,,
Civitavecchia Darsena Romana,,,,,IT,,,,
Chiaiolella Marina,,,,,IT,,,,
Porticciolo di Sistiana / Sesljanski pristan,,,,,IT,pietas.julia@tiscali.it,+39 40 291213,https://www.pietasjulia.it/,
Porto communale,,,,,IT,,,https://portolago.com/SpondaPiemontese/Ghiffa/Porti/DescrizionePorto.html,
Porto Turistico di Lovere,,,,,IT,,,,
Porto di Trani,,,,,IT,,,,
Circolo Nautico di Brenzone,,,,,IT,,,,
Centro Velico Punta Marina,,,,,IT,,,,
Porticciolo di San Nicola L'arena,,,,,IT,,,,
Canale Torre Paola,,,,,IT,,,,
Nautica Casarola,,,,,IT,,,,Beschläge;Bootszubehör;Tauwerk
Circolo Vela Gargnano,Via Alessandro Bettoni,23,25084,Gargnano,IT,info@centomiglia.it,+39 0365 71433,http://www.centomiglia.it/,
Rapallo Carlo Riva Marina,,,,,IT,,,,
Porto Luzzara,,,,,IT,,,,
Marina Corta,,,,,IT,,,,
Marina Corta,,,,,IT,,,,
Porto Pignataro,,,,,IT,info@portopignataro.it,+39 090 9880354,https://www.portopignataro.it/,
Porto Skanderberg,,,,,IT,,,,
Porto di Castiglione della Pescaia,,,,,IT,,,https://visitcastiglionedellapescaia.it/castiglione-della-pescaia/il-porto/,
Porto Azzurro Marina,,,,,IT,,00 39 056 51935269,http://www.marinaportoazzurro.com,
Porto Bussari,,,,,IT,,,,
Porto Maran,,,,,IT,portomaran@portomaran.com,+39 431 67409,https://www.portomaran.com/,
Lega Navale Italiana - Sezione di Garda,,,,,IT,,,,
Marina di Aquilea,,,,,IT,,+39 0431 91041,https://www.marinadiaquileia.it/,
Antica Gru Armstrong,,,,,IT,,,,
Marina di Brindisi,,,,,IT,,,https://www.marinadibrindisi.it/,
Marina di Lio Grando Srl,,,,,IT,,+39 041 966044,http://www.marinadiliogrando.com/,
Porto Antico di Piombino,,,,,IT,,,,
Argegno,,,,,IT,,,,
Porticciolo turistico,,,,,IT,,+39 923946388,https://guardiacostiera.it/mazaradelvallo,
Porto di Pila,,,,,IT,,+39 0426 387055,,
Gite sul fiume,,,,,IT,,,,
Porticciolo di Levanzo,,,,,IT,,,,
Marina degli Aregai,Via Gianni Cozzi,1,18010,Santo Stefano al Mare,IT,reception@marinadegliaregai.it,+39 0184 489-1,https://marinadegliaregai.it,
Lega Navale Italiana Monfalcone,,,,,IT,,,,
Torre del Greco Marina,,,,,IT,,,,
C.U.S. Bari,,,,,IT,,,,
Mandello del Lario,,,,,IT,,,,
Mandello del Lario,,,,,IT,,,,
Lierna,,,,,IT,,,,
Nautica Lierna,,,,,IT,,,,
Varenna,,,,,IT,,,,
Varenna,,,,,IT,,,,
Porto Turistico di Como,,,,,IT,,,,
Porto turistco,,,,,IT,,,,
Alto Lario Marine Center,,,,,IT,,,https://nausika.it/sedi/colico/,
Porto di Verceia,,,,,IT,,,,
Gera Lario,,,,,IT,,,,
Domaso,,,,,IT,,,,
Domaso,,,,,IT,,,,
Colonno,,,,,IT,,,,
Sala Comacina,,,,,IT,,,,
Moltrasio,,,,,IT,,,,
Tavernola,,,,,IT,,,,
Grotte di Nettuno,,,,,IT,,,,
Porto di Riccione,,,,,IT,,,,
Lega Navale Bari,,,,,IT,,,https://www.leganavale.it/portale/sezioni/index.asp?ID_sezione=154,
Marina di Porto Rotondo,,,,,IT,amministrazione@marinadiportorotondo.it,+39 789 34203,https://www.marinadiportorotondo.it/en/,
P.za G. CASARTELLI,,,,,IT,,,,
Darsena Europa,,,,,IT,,,,
Darsena Lucca,,,,,IT,,,,
Darsena Toscana,,,,,IT,,,,
Porto di Viareggio,,,,,IT,,,,
Darsena Italia,,,,,IT,,,,
Porto di Anzio,,,,,IT,,,,
Marina di Otranto,,,,,IT,otranto@guardiacostiera.it,+39 0836 801073,,
Porto Turistico,,,,,IT,,,,
Marina di San Vincenzo,,,,,IT,,,,
Reno di Leggiuno,,,,,IT,,,,
Porto di Arolo,,,,,IT,,,,
Sasso Moro,,,,,IT,,,,
Brebbia - Lavazza,,,,,IT,,,,
Circolo Vela Torbole,,,,,IT,,,,
Port Of Cremia,,,,,IT,,,,
Circolo Pesca Sportiva,Lungomare Cristoforo Colombo,31a,57016,,IT,,+39 0586 753564,,
"Marina 4, Porto S. Margherita",,,,,IT,,,,
Marina di Casal Velino,,,,,IT,,,,
Porto di Ranco,,,,,IT,protocollo@autoritadibacino.va.it,,https://www.autoritadibacino.va.it/,
Sasso Moro 2,,,,,IT,,,,
Cariati,,,,,IT,,,,
Marina di Porto Levante,,,,,IT,info@marinadiportolevante.it,+39 0426 666047,https://www.marinadiportolevante.it/,
Porto Caleri,,,,,IT,,,,
Porto di Buggerru,,,,,IT,,,,
Porto di Carloforte,,,,,IT,,,,
Cala Cravieu,,,,,IT,,,,
Bardalato Marina,,,,,IT,,,,
Porto Santo Stefano Porto Domiziano,,,,,IT,,,,
Porto Turistico,,,,,IT,,,,
Marina di Cortellazzo,,,,,IT,info@marinadicortellazzo.it,+39 0421 980356,https://www.marinadicortellazzo.it/,
Nautica Garden Center,,,,,IT,,+39 349 3212167,https://www.nauticagardencenter.com,Beschläge;Bootszubehör;Tauwerk
Porto di Falconera,,,,,IT,,,,
Marina di Rodi Garganico,,,,,IT,,,http://www.marinadirodigarganico.it/,
Acquamorta Marina,,,,,IT,,,,
Porto Turistico Marina di Leuca S.p.A.,,,,,IT,info@portodileuca.it,+39 833 758687,https://www.portodileuca.it/internet/italiano/,
Le Cinque Vele,Contrada Torrenova,,62018,Porto Potenza Picena,IT,,,,
Circolo Nautico Marina Romea,,,,,IT,,,https://www.cnmr.it,
Marina di Policoro,,,,,IT,,349 606 2056,https://www.marinadipolicoro.it/,
Porto di Agropoli,,,,,IT,,,,
Talamone Marina,,,,,IT,,,,
Forio d'Ischia Marina,,,,,IT,,,,
Porticciolo di Fesca,,,,,IT,,,,
Passo Campalto,,,,,IT,,,,
Porto di Palmi,,,,,IT,,,,
Catanzaro Lido,,,,,IT,,,,
Marina Cala De Medici,,,,,IT,,,,
Capitaneria Di Porto Military headquarter,,,,,IT,,,,
Scauri Small Harbour,,,,,IT,,,,
Sulzano,,,,,IT,,,,
Porto di Santo Spirito,,,,,IT,,,http://www.portosantospirito.it/,
Porto di Saline Joniche,,,,,IT,,,,
Stromboli Porto,,,,,IT,,,,
Circolo Nautico Foce Cecina,,,,,IT,,,,
Le Boat,,,,,IT,,,,
Punta Lingua,,,,,IT,,,,
Rinella,,,,,IT,,,,
Darsena turistica,,,,,IT,,,,
Scalo Galera,,,,,IT,,,,
Cirò Marina,,,,,IT,,,,
CR 17,,,,,IT,,,,
CR 2,,,,,IT,,,,
Porto Budello,,,,,IT,,,,
Bellagio Porto turistico,,,,,IT,,,,
Bacino San Giorgio,,,,,IT,,,,
Fontanelle,,,,,IT,,,,
Porto Mercantile,,,,,IT,,,,
Porto Peschereccio,,,,,IT,,,,
Poltu Quatu,,,,,IT,,,,
Porto Cervo,,,,,IT,info@marinadiportocervo.com,+39 0789 905602,https://marinadiportocervo.com,
Porto San Paolo,,,,,IT,,,,
ASNAT,,,,,IT,,,,
La Caletta,,,,Sant'Elia,IT,,,,
Ottoni del Mare,Via Borgo dei Cappuccini,,57126,Livorno,IT,,,,Beschläge;Bootszubehör;Tauwerk
Carate Urio,,,,,IT,,+39 031400132,,
Carate Urio - I Canapi,,,,,IT,,+39 031 400410,,
Porto di Baratti,,,,,IT,,,,
Formia Marina,,,,,IT,,,,
Boe di cortesia,,,,,IT,,,,
Marina di Bogliaco,,,,,IT,,,,
Porto di Gorino,,,,,IT,,,,
Porto Oro Small Harbour,,,,,IT,,,,
Motonautica Verbano,,,,,IT,,,,
Marina Punta Verde,,,,,IT,,,,
Brucoli,,,,,IT,,,,
Pontile Monte Paza,,,,,IT,,,,
Portosole Sanremo,,,,,IT,,+39 0184 5371,https://www.portosolesanremo.it/,
Portopalo,,,,,IT,,,,
Nautica Fausto Zola,,,,,IT,,+39 0161 98189,https://www.nauticazola.it/,
Porticciolo di Bagnella,,,,,IT,,,,
Porto di Cetraro,,,,,IT,,,,
Tropea Marina,,,,,IT,,,,
San Lucido,,,,,IT,,,,
Marina di Camerota,,,,,IT,,,,
Porto di Sapri,,,84073,Sapri,IT,,,,
Marina di Pisciotta Harbour,,,,,IT,,,,
Porto di Acciaroli,,,,,IT,,,,
Scario,,,,,IT,,,,
San Nicola a Mare Harbour,,,,,IT,,,,
Porto di Salerno,,,,,IT,,,,
Vibo Marina Stella del Sud,,,,,IT,,,,
Porto di Reggio Calabria,,,,,IT,,,,
Marina del Nettuno,,,,,IT,,,,
Angera - Isola Partegora,,,,,IT,,,,
Molo turistico,,,,,IT,,,,
Porto di Loano,,,,,IT,,,,
Club Nautico Marina di Brondolo,,,,,IT,info@marinadibrondolo.it,+39 041 490950,https://www.marinadibrondolo.it/,
Marina Romea,,,,,IT,info@prolocomarinaromea.it,+39 339 4455461,https://www.prolocomarinaromea.it/en/home,
Porto di Goro,,,,,IT,,,http://www.clubgoronautica.com/accessoporto.php,
Marina di Rimini,,,,,IT,,+39 054 129488,https://marinadirimini.com/,
Baia Vallugola,,,,,IT,info@vallugola.it,,http://www.vallugola.it/,
Marina Di Cattolica,,,,,IT,info@marinadicattolica.it,+39 0541 830789,http://www.marinadicattolica.it/,
Porto di pesaro,,,,,IT,,,http://www.guardiacostiera.it/,
Porto di Numana,,,,,IT,info@cnnumana.it,+39 071 9331542,https://www.cnnumana.it/,
Marina di Vieste,,,,,IT,michele@marinavieste.it,+39 88 4708180,https://www.marinavieste.it/,
Marina Bisceglie Approdi,,,,,IT,info@bisceglieapprodi.it,+39 80 3954845,https://www.bisceglieapprodi.it/,
Marina Torre Vado,,,,,IT,info@marineitalia.it,,http://www.marinatorrevado.it/site/torrevado/home.html,
