Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Vecā zvejas osta,,,,,LV,,,,
Laivu nams,Tilta iela,28,LV-1005,Rīga,LV,laivunams@mail.teliamtc.lv,+371 22 053 929,https://www.laivunams.lv/,Beschläge;Bootszubehör;Tauwerk
Marinetek,,,,,LV,,,,
Sailing school,,,,,LV,,,,
Roja,,,,,LV,rojasosta@rgu.lv,+371 63269957,,
Roja,,,,,LV,,,,
Kuivižu osta,,,,,LV,,,,
Jahtklubs Uzvara,,,,,LV,,+371 20 651 051,http://jahtklubsuzvara.lv/,
Skautu Jahtklubs,,,,,LV,,,,
Stirnuraga Jahtklubs,,,,,LV,,,,
Auda,,,,,LV,,,,
Jahtas.lv,,,,,LV,,,,
Pāvilosta Marina,,,,,LV,,,,
Liepaja Marina,,,,,LV,,,,
Suzuki marine,Augusta Deglava iela,46,LV-1035,Rīga,LV,,,,Beschläge;Bootszubehör;Tauwerk
Varkaļu osta,,,,,LV,,,,
Bush Boats,Jelgavas iela,38,LV-1004,Rīga,LV,,,https://www.bushboats.com/,Beschläge;Bootszubehör;Tauwerk
Laivu piestātne,,,,,LV,,,,
Laivu piestātne,,,,,LV,,,,
Engure,,,,,LV,,,,
Rīgas Sporta Burāšanas Centrs,,,,,LV,,,https://www.rigasailingcenter.com/,
Dulkan,Latgales iela,322T,LV-1063,Rīga,LV,,,https://dulkanshop.com/,Beschläge;Bootszubehör;Tauwerk
Boatshop,Krasta iela,89,LV-1019,Rīga,LV,,,,Beschläge;Bootszubehör;Tauwerk
Jahtklubs Lielupe,,,,,LV,,,,
Jahtklubs,,,,,LV,,,,
Marina Malina,,,,,LV,info@marinamalina.eu,+371 20212123,https://www.marinamalina.eu,
Airis 1,,,,,LV,,,,
"Individuālo laivu garāžu īpašnieku kooperatīvā sabiedrība ""Vilnis""",,,,,LV,,,,
Jahtu Osta,Vecā ostmala,39,LV-3401,Liepāja,LV,,,,Beschläge;Bootszubehör;Tauwerk
"KS ""Makšķernieks""",,,,,LV,,,,
Ventspils Marina,,,,,LV,ventspilsmarina@nym.lv,+371 26518421; +371 28311919,https://www.ventspilsmarina.lv/,
Priedaines jahtklubs,,,,,LV,,,,
Jūrmalas jahtklubs,,,,,LV,,,,
Jahtklubs Uzvara,,,,,LV,,,,
