Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Marina - Škver,,,,,ME,,,,
Marina Kacema,,,,,ME,,,,
Yacht club Delfin,,,,,ME,,,,
Vani Sjercit,,,,,ME,,,,
Kotor Cruise Pirs,,,,,ME,,,,
Virpazar,,,,,ME,,,,
Navar,,,,,ME,,,https://www.navaryacht.com,Werften
Porto Montenegro,,,,,ME,,,,
Bigova,,,,,ME,,,,
Marina Bar,,,,,ME,,,,
Marina Budva,Stari grad Budva,,85310,Budva,ME,,,https://dukley.com/#marina,
Portonovi Marina,"Portonovi Resort, Vojna Kasarna",,83450,Herceg Novi,ME,,,,
Pine,,,,,ME,,,,
Aeroport Marina,,,,,ME,,,,
prodaja jahti i brodova,,,,,ME,,,,Beschläge;Bootszubehör;Tauwerk
