Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Jachthaven Meerewijck,,,,,NL,,,,
Herkingen marina,,,,,NL,info@herkingen-marina.nl,+31 187 669 344,https://www.herkingen-marina.nl/,
Watersportvereniging Herkingen,,,,,NL,havenkantoor@wsv-herkingen.nl,+31 187 669 623,https://www.wsv-herkingen.nl/,
Watersportvereniging Oude Tonge,,,,,NL,havenkantoor@wsvoudetonge.nl,+31 187 643 050,https://wsv-oudetonge.nl/,
Nautica,,,,,NL,,,,
Jachthaven Kralingen,,,,,NL,,,,
Poelgeest,,,,,NL,,,,
Vlijhaven,,,,,NL,,,,
Curaçao Yacht Club,,,,,NL,,,,
WSV Sluis 1,,,,,NL,,,https://www.wsv-sluis1.nl/,
Asiento Marina,,,,,NL,,,,
Jachthaven Rhoon,,,,,NL,info@jachthavenrhoon.nl,+31 10 501 2270,https://www.jachthavenrhoon.nl/,
JH Sneekermeer,,,,,NL,,,http://www.jachthaven-sneekermeer.nl,
Anleger,,,,,NL,,,,
Passantenhaven,,,,,NL,,,,
Passantenhaven,,,,,NL,,,,
Passantenhaven,,,,,NL,,,,
Nieuwe Haven,,,,,NL,,,,
Gemeente De Fryske Marren Binnenhaven Lemmer,,,,,NL,,,https://www.defryskemarren.nl/haven-lemmer/,
Jachthaven Bouwsma,,,,,NL,jachthavenbouwsma@kpn-officedsl.nl,+31 515 542 004,https://www.jachthavenbouwsma.nl,
Kuperus Watersport,,,,,NL,,,,
Marina Lachswehr Wasserfahrer,,,,,NL,,,,
Oosterhaven,,,,,NL,,,,
VVV Steiger,,,,,NL,,,,
Passantenhaven Doesburg,,,,,NL,,+31 6 55177509,,
Passantenhaven Delft / De Kolk,,,,,NL,,,,
't Sas,,,,,NL,ofni@wsvsas.nl,,https://wsvsas.nl,
't Sas,,,,,NL,ofni@wsvsas.nl,,https://wsvsas.nl,
De Rietpol,,,,,NL,,,,Kran;Werften
Marina Het Steel,,,,,NL,,,,
Passantenhaven It Munerak,,,,,NL,,,,
Royal Marine Services,,,,,NL,,,,
Jachthaven ZC'37,,,,,NL,,,,
Jachthaven It Soal,,,,,NL,marina@itsoal.com,+31 515 542 937,https://www.itsoal.nl,
Bonshaven Zeewolde,,,,,NL,havenkantoor@wolderwijd.nl,+31 36 522 1220,https://www.wolderwijd.nl/page2.php,
Aanloophaven Zeewolde,,,,,NL,,,,
Bolhaven Zeewolde,,,,,NL,msteenken@solcon.nl,+31 6 13142414,https://www.wolderwijd.nl/page6.php,
Plaszicht,,,,,NL,,,https://www.tijstermanboten.nl/,
Jachthaven Oude Veer,,,,,NL,,,,
Beaut,Papaverweg,43,1032KE,Amsterdam,NL,,,,Beschläge;Bootszubehör;Tauwerk
Enjoy Sailing,,,,,NL,info@enjoysailing.nl,+31 514 568 383,https://www.enjoysailing.nl/,
Jachthaven Maran,,,,,NL,,,,
Jachthaven de Mars,,,,,NL,,,,
Jachthaven Giesbeek,,,,,NL,post@wsvgiesbeek.nl,,https://www.wsvgiesbeek.nl/,
Passantenhaven Katerveer,,,,,NL,,,,
Jachthaven de Veerstal,,,,,NL,,+31 313 631 319,https://nl.deveerstal.nl,
Passantenhaven,,,,,NL,,,https://www.wilsum.info/dorpsbelangen/dorpsbelangen-haven.html,
Zeilschool Haven Vinkeveen,,,,,NL,,,https://www.vinkeveenhaven.nl,
Watersportvereniging De Engel,,,,,NL,,+31 6 23821329,https://www.wsvdeengel.nl,
Almelo,,,,,NL,,,,
Jachthaven WSV Almelo,,,,,NL,info@awvalmelo.nl,+31 546 571 455,https://www.awvalmelo.nl,
Jachthaven Lochem,,,,,NL,,,,
Jachthaven De Nieuwe Aanleg,,,,,NL,,,,
Passantenhaven Marsdijk,,,,,NL,,,https://www.assen.nl/vrije-tijd/recreatie/varen-in-assen,
WV Volendam,,,,,NL,,+31 6 51337494,https://www.wsvvolendam.nl/,
Kraan 2868,,,,,NL,,,,
Jachthaven De Mars,,,,,NL,,,https://www.wsvdemars.nl/,
W.S.V. De Oude IJssel,,,,,NL,,,https://www.wsvdeoudeijssel.nl/,
Oud Delfshaven,Westzeedijk,925,,Rotterdam,NL,,+31 10 477 2462,,
Schelphoekplaat,,,,,NL,,,,
Gemeentehaven Kamperland,,,,,NL,havenkpl@zeelandnet.nl,+31 113 371 628,,
Mosselplaat,,,,,NL,,,,
Haringvreter,,,,,NL,,,,
WSVW,,,,,NL,,,https://www.wsvw.com/cms,
Delta Marina,,,,,NL,homeport@deltamarina.nl,+31 113 307 171,https://www.deltamarina.nl/,
Oostwatering,,,,,NL,,,https://www.wvarne.nl/,
Marina Veere,,,,,NL,,,,
Jachthaven Nieuwboer,,,,,NL,,+31 33 298 2306,https://www.jachthavennieuwboer.nl/,
Het Vennemeer,Vennemeer,1,2374AV,Oud Ade,NL,,+31 71 501 8220,https://www.vennemeer.nl/,
Middenhaven,,,,,NL,,,,
WSV de Gors,Rietveld,1,4241EB,Arkel,NL,,,https://www.wsvdegors.nl/,
Jachtclub Scheveningen,,,,,NL,,,,
WSV De Watergeuzen,,,,,NL,,,,
Harbour Village Marina,,,,,NL,,,,
Passantenhaven,,,,,NL,,,,
Passantenhaven Coevorden,,,,,NL,,,,
De Eemhof,,,,,NL,,+31 36 522 8521,https://www.centerparcs.nl/nl-nl/nederland/fp_EH_vakantiepark-de-eemhof,
Zeilvereniging Oosterplas,,,,,NL,,,,
Jachthaven Oosterhaven,,,,,NL,,,https://www.jachthavenoosterhaven.nl,
Passantenhaven Almelo,,,,,NL,,,,
Passantensteiger Winschoten,,,,,NL,,,,
WSV Dronten,,,,,NL,,,https://www.wsvdronten.nl/,
Passantenhaven Wijhe,,,,,NL,,,https://www.deloswalwijhe.nl/passantenhaven,
WSV Montfoort,,,,,NL,,,,
"WSV ""Maartensgat""",,,,,NL,info@maartensgat.nl,+31 78 613 1053,http://www.maartensgat.nl/,
Jachthaven Ridderkerk BV,,,,,NL,,,,
Passantenhaven De Vaart,,,,,NL,,,https://www.assen.nl/vrije-tijd/recreatie/varen-in-assen/havens,
Passantenhaven Meppel,,,,,NL,,,,
Oude Dorp Uithoorn,,,,,NL,,,,
Piushaven,,,,,NL,,,,
Passantenhaven Geertruidenberg,,,,,NL,,,,
Passantenhaven Oirschot,,,,,NL,,,,
Passantenhaven,,,,,NL,,,,
Passantenhaven Weert,,,,,NL,,,https://www.weert.nl/passantenhaven,
JH Winsum,,,,,NL,,,,
Grand Cafe Rutgers,,,,,NL,,,,
Haven Marenland Winsum,,,,,NL,info@marenland.nl,+31 595 442 750,https://www.marenland.nl/,
Stichting Recreatiehaven Onderdendam,,,,,NL,johanpruis@live.nl,+31 50 304 9187,https://www.jh-onderdendam.nl/index.php,
Jachthaven de Leyen,,,,,NL,,,,
Passantenhaven Blerick,,,,,NL,,,,
Passantenhaven Arcen,,,,,NL,,,,
Jachthaven,,,,,NL,,,,
WSV De PaesPlas,,,,,NL,,,,
Lindenberghaven Passantensteiger,,,,,NL,,,,
Florijnhaven,,,,,NL,,,,
Jachthaven Bruinisse,,,,,NL,,,,
Camping Reitdiep,,,,,NL,info@campingreitdiep.nl,+31 6 50970903,,
Jachthaven Aduarderzijl,,,,,NL,camping@aduarderzijl.com,+31 594 621 836,https://www.aduarderzijl.com/?page_id=14,
ZVG zeilvereniging gaasperplas,,,,,NL,,,https://www.zeilvereniging-gaasperplas.nl/,
Watersportvereniging Maas en Waal,,,,,NL,,,https://www.wsvmaasenwaal.nl,
Tweede Wantijhaven,,,,,NL,,,,
Eerste Wantijhaven,,,,,NL,,,,
Jachthaven 't Eiland,,,,,NL,,+31 313 631 620,https://www.jhte.nl,
W.S.V. IJsselmonde,,,,,NL,,,,
jachthaven Jutryp,,,,,NL,,,,
Stadshaven Wijk bij Duurstede,,,,,NL,,,,
Ponton Ontdek Tilburg,,,,,NL,,,,
JH Garnwerd,,,,,NL,,+31 594 628 130,https://garnwerdaanzee.nl/,
Jachthaven Zierikzee,,,,,NL,gemeentehavenzierikzee@schouwen-duiveland.nl,+31 111 413 174,https://www.schouwen-duiveland.nl/Bezoeker/Jachthaven_Zierikzee,
