Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Fuglevik marina,,,,,NO,,,,
Store Brevik marina,,,,,NO,,,,
Reipå havn,,,,,NO,,,,
Tøndergård småbåthavn,,,,,NO,,,,
Alta Båthavn,,,,,NO,,,https://altabf.no/,
Oksval,,,,,NO,,,,
Ursvikbukta,,,,,NO,,,,
Skansen Marina,,,,,NO,,,,
Sjøbadet,,,,,NO,,,,
Gjestehavn,,,,,NO,,,,
Havnen Båtforening,,,,,NO,,,http://havnenbaatforening.no,
Byglandsfjord Båtforening,,,,,NO,,,,
Nøkledypet Båthavn,,,,,NO,,,http://nokledypet.no/,
Tungenes havn,,,,,NO,,,,
Revehamnen,,,,,NO,,,,
Løpshavna,,,,,NO,,,,
Stranna,,,,,NO,,,,
Flåm Marina,,,,,NO,,,https://www.flammarina.no,
Øyro Marina,,,,,NO,,,,
Uskedal Båtlag,,,,,NO,,,,
Husnes Båthavn,,,,,NO,,,,
Bygland brygge,,,,,NO,,,,
Valebø brygge,,,,,NO,,,,
Korsvik Marina,,,,,NO,,+47 38 04 47 11,,
Kleppestø,,,,,NO,,,,
Elnesvågen Småbåtforening,,,,,NO,,,,
Kvernevik,,,,,NO,,,,
Flekkefjord gjestehavn,,,,,NO,,,,
Nøsted Brygge småbåthavn,,,,,NO,,,https://nostedmarina.no/,
Solumstrand,,,,,NO,,,,
Askje,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Småbåtshavn,,,,,NO,,,,
Grannesvågen,,,,,NO,,,,
Stangvik småbåthavn,,,,,NO,,,,
Biltrend,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Trones,,,,,NO,,,,
Edlarvågen,,,,,NO,,,,
Gardsvågen,,,,,NO,,,,
Gongstø,,,,,NO,,,,
Østabøvågen,,,,,NO,,,,
Nordstø,,,,,NO,,,,
Rosendal Hamn,,,,,NO,,,,
Os Hamn,,,,,NO,,,,
Sunde båthavn,,,,,NO,,,,
Fyllinga båthavn,,,,,NO,,,,
Frafjord kai,,,,,NO,,,,
Solberg båt og motor AS,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
gjestebrygge,,,,,NO,,,,
Grimsøy Marine,,,,,NO,,,,
Sand Marina,,,,,NO,,,http://www.sandmarina.no,
Falcon,,,,,NO,,,,
Eidsvika,,,,,NO,,,,
"Sæbøvik, Halsnøy Samfunnshus",,,,,NO,,,,
Jørpeland,,,,,NO,,,,
Bygland båtforening,,,,,NO,,,,
Storøen Båthavner,,,,,NO,,,https://storoenbathavner.no,
Frognerkilens Båtforening av 1860,,,,,NO,,,https://fb1860.no,
Magerøya,,,,,NO,,,,
Holandshamn,,,,,NO,,,,
Skarsvåg,,,,,NO,,,,
Dusavik,,,,,NO,,,,
Ryggstranden båtforening,,,,,NO,,,,
Vangsvik båtforening,,,,,NO,,,,
Grøttingen småbåthavn,,,,,NO,,,,
Lura Båthavn,,,,,NO,,,,
Lillesand gjestehavn,,,,,NO,,,https://www.lillesand.kommune.no/gjestehavn-og-bobilhavn.520880.no.html,
Hankø Marina,,,,,NO,,,,
Marina service,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Strynt,,,,,NO,,,,
Geiranger,,,,,NO,,,,
Notodden Motorbåtforening,,,,,NO,,,https://www.havneweb.no/notodden-mbf/,
Drøbak,,,,,NO,,,,
Oscarsborg gjestehavn,,,,,NO,,,http://oscarsborggjestehavn.no/,
Helgelandsbase,,,,,NO,,,,
Tveit,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Kabelvaag,,,,,NO,,,,
Esso Servicenter,,,,,NO,,,,
Heistad motorbåtforening,,,,,NO,,,,
Urnesbukta Marina,,,,,NO,,,,
Strusshamn,,,,,NO,,,,
Frydensborgbukten beboerhavn,,,,,NO,,,,
Nystrand,,,,,NO,,,,
Laberget småbåthavn,,,,,NO,,,http://labergetsmabathavn.no,
Fossahagen,,,,,NO,,,,
Lysefjorden marina,,,,,NO,,,,
Tangstad molo,,,,,NO,,,,
Kvæfjord båtforening,,,,,NO,,,,
Lundenes,,,,,NO,,,,
Rommetveit Båtlag,,,,,NO,,,,
Seljevågen,,,,,NO,,,,
Paradisbukten båtlag,,,,,NO,,,,
Sandbakken Marina,,,,,NO,,,,
Stabbestranda båtforening,,,,,NO,,,,
Åsatangen,,,,,NO,,,,
Hagastua,,,,,NO,,,,
Gomserud,,,,,NO,,,,
Berg,,,,,NO,,,,
Nesseby Småbåthavn,,,,,NO,,,,
Burøysund,,,,,NO,,,,
Torsvåg,,,,,NO,,,,
Vannhamre Sjøfiske,,,,,NO,,,,
Kragerø trebåtbyggeri,,,,,NO,,,,Werften
Borteid småbåthavn,,,,,NO,,,,
Bogenbukta,,,,,NO,,,,
Grisebukta,,,,,NO,,,,
Stakabukta,,,,,NO,,,,
Helgøysund Marina,,,,,NO,,,https://helgoysund.no/,
Småbåtshavn,,,,,NO,,,,
Hubukta,,,,,NO,,,,
Goavika Båtforening,,,,,NO,,,,
Polarbase,,,,,NO,,,,
Tokle marina,,,,,NO,,,,
Davikhavnen,,,,,NO,,,,
Bremnes havn,,,,,NO,,,,
Framnes Maritime,,,,,NO,,,,
Marina Rorbu Hotell,,,,,NO,,,,
Kjerregårdsbukta,,,,,NO,,,,
Løviga,,,,,NO,,,,
Sande & Havna Båtforening,,,,,NO,,,,
Stranda båthamn,,,,,NO,,,,
Ankenes småbåthavn,,,,,NO,,,,
Holmen,,,,,NO,,,,
Gammelkaia,,,,,NO,,,,
Ytterland småbåthavn,,,,,NO,,,,
Knarren brygge,,,,,NO,,,,
Kommunal havn,,,,,NO,,,,
Træna småbåthavn,,,,,NO,,,,
Gjestehavn Lovund,,,,,NO,,,http://gjestehavner.batmagasinet.no/lovund-rorbu-hotell/,
"Gjestehavn Træna, Sanna",,,,,NO,,,http://gjestehavner.batmagasinet.no/lovund-havn/,
Hankø Yacht Club,,,,,NO,,,,
Kvesmenes båtforening,,,,,NO,,,,
Leksvik Båthavn,,,,,NO,,,,
Fallet,,,,,NO,,,,
Sauda Motorbåt Forening,,,,,NO,,,http://www.saudambf.no/index.htm,
Ryggstranden båtforening,,,,,NO,,,,
Madland havn,,,,,NO,,,,
Sleneset Båtforening,,,,,NO,,,http://www.slenesbat.no/,
Gjestehavn Lovund,,,,,NO,,,http://gjestehavner.batmagasinet.no/lovund-havn/,
Vikebygd Motorbåtforening,,,,,NO,,+47 92411152,,
Bjoa Båthavn,,,,,NO,,,,
Soria Moria Båtforening,,,,,NO,,,,
Industri & Marine-Diesel,,,,,NO,,,https://imd.no/,Beschläge;Bootszubehör;Tauwerk
Skibs- & Fiskeriutstyr,,,,,NO,,,http://www.skibsogfiskeriutstyr.no/,Beschläge;Bootszubehör;Tauwerk
Kongshavn,,,,,NO,,,,
Kjerknesvågen kai,,,,,NO,,,,
Helgeland båt,,,,,NO,,,,Beschläge;Bootszubehör;Tauwerk
Herøy båtforening,,,,,NO,,,,
Grilstad Marina,,,,,NO,,,,
Langevåg gjestehavn,,,,,NO,,,http://www.b-bl.no/Batlaget/Velkommen.html,
Brandbu småbåtforening,,,,,NO,,,http://www.brandbubaat.net,
Revsnes,,,,,NO,,,,
Olderstad Formidling AS,,,,,NO,,,https://olderstad.no,Beschläge;Bootszubehör;Tauwerk
Bjerkaker Båthavn,,,,,NO,,,,
Torvikbukt gjestehavn,,,,,NO,,,,
Mastrevik kai,,,,,NO,,,,
Røsvik småbåthavn,,,,,NO,,,,
Surnadal småbåthavn,,,,,NO,,,,
Stadsbygd Batsenter,,,,,NO,,,https://www.stadsbygd-batsenter.no/,Beschläge;Bootszubehör;Tauwerk
Arnavik,,,,,NO,,,,
Kiærs Bruk Marina,,,,,NO,,,,
Fjeldberg båthavn,,,,,NO,,,http://www.f-mf.no,
Rød Båtforening,,,,,NO,,,,
Nabbetorp Båtforening,,,,,NO,,,,
