Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Przystań kajakowa w Owińskach,,,,,PL,,,https://akwenczerwonak.pl/przystan-owinska/,
"Szturnoga M. Port jachtowy ""Maruś""",,,,,PL,,,,
Bungee Jumping Mario,,,,,PL,,+48500021342,https://jumping.pl/,
Przystań statków spacerowych,,,,Kazimierz Dolny,PL,,,,
Wypożyczalnia sprzętu wodnego,,,,Lublin,PL,,,,
Wake & Roll Park,,,,,PL,,,,
SASEK,,,,,PL,,,,
Międzyszkolny ośrodek sportowy,,,,,PL,mos-elk@o2.pl,+48876103769,,
Ustka,,,,,PL,,,,
Żeglarz,Ludwika Waryńskiego,3,00-645,Warszawa,PL,,,http://www.sklep-zeglarz.com.pl/,Beschläge;Bootszubehör;Tauwerk
Wypożyczalnia łódek,,,,,PL,,,,
przystań Kapitan Victor,,,,,PL,,,,
port zimowy,,,,,PL,,,,
port letni,,,,,PL,,,,
Awanport górny,,,,,PL,,,,
Awanport dolny,,,,,PL,,,,
Marina - Pyzdry,,,,,PL,,,,
Dom Polonii - port,,,,,PL,,,,
Przystań rybacka,,,,,PL,,,,
Przystań rzeczna,,,,,PL,,,,
Przystań rzeczna,,,,,PL,,,,
Smętek,,,,,PL,,,,
Przystań żeglarska w Olejnicy,,,,,PL,,,,
port zimowy,,,,,PL,,,,
"Wynajem: kajaki, rowery wodne",,,,,PL,,,,
"Wynajem: kajaków, rowerów wodnych",,,,,PL,,,,
Przystań motorowodniaków,,,,,PL,,,,
Przystań TW Odra,,,,,PL,,,,
Przystań turystyczna,,,,,PL,,,"https://dolny-slask.org.pl/522463,Cigacice,Port_Cigacice.html",
Yacht Klub Polski Bielsko,,,,,PL,,,,
Marina Kluszkowce,Przedszkolaków,3,34-440,Kluszkowce,PL,,+48 609 264 633,https://chatki-qdlatki.pl/przysta,
PTŻ,Stylchyn,36,34-440,Czorsztyn,PL,,+48 530 523 433,http://ptznowytarg.pl/,
"przystań statków ""Dunajec"" i ""Halny""",,,,,PL,,,,
"przystań gondoli ""Czorsztynianka""",,,,,PL,,,,
