Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Porto do Seixal,,,,,PT,,,,
Marina,,,,,PT,,,,
Marina dos Pescadores,,,,,PT,,,,
Marina de Ovar,,,,,PT,,,,
Cais Areinho Avintes,,,,,PT,,,,
Marina da Torreira,,,,,PT,,,,
Marina de Esposende,,,,,PT,,,,
Fluvina de Barca de Alva,,,,,PT,,,,
Marina de Ponta Delgada,,,,,PT,,,,
Cais,,,,,PT,,,,
Ânima Durius,"Travessa da Marginal, Cais 1",,5085-037,Pinhão,PT,,,,
Cais de Midões,,,,,PT,,,,
Cais de Cancelos,,,,,PT,,,,
Marina de Melres,,,,,PT,,,,
Cais da Lomba,,,,,PT,,,,
Cais de São Tiago,,,,,PT,,,,
Porto Antigo,,,,,PT,,,,
Caís Palafítico da Carrasqueira,,,,,PT,,,,
Amieira Marina,,,,,PT,,,,
Cais Ancoradouro da Barragem de Alqueva,,,,,PT,,,,
Cais Flutuante de Monsaraz,,,,,PT,,,,
Cais Flutuante,,,,,PT,,,,
Cais Ancoradouro da Estrela,,,,,PT,,,,
Cais da Juromenha,,,,,PT,,,,
Associação Náutica da Gafanha da Encarnação,,,,,PT,,,,
Marina de Palhais,,,,,PT,,,,
Cais Palafítico,,,,,PT,,,,
Vila do Porto,,,,,PT,,,,
Porto de Abrigo do Porto Moniz,,,,,PT,,,,
Gincho para barcos,,,,,PT,,,,
Marina da Vagueira,,,,,PT,,,,
la leclerk,,,,,PT,,,,
Marina Reception,,,,,PT,,,,
Marina do Cais do Ouro,,,,,PT,,,,
Marina,,,,,PT,,,,
Praia da Vitoria - Marina,,,,,PT,,,,
Marina da Póvoa de Varzim,,,,,PT,,,,
Marina da Ferradosa (Douro Fluvina),,,,,PT,,,https://www.douro.biz,
Centro Náutico de Algés,,,,,PT,,,,
Capitania do Porto de Vila Real de Santo António,Avenida da Republica,,,,PT,,,http://autoridademaritima.marinha.pt/PT/Capitanias/departamentomaritimosul/vilareal/Pages/CapitaniadoPortodeVilaRealdeSantoAnt%C3%B3nio.aspx,
MarPesca,Rua Conselheiro Frederico Ramirez,38,8900,Vila Real de Santo António,PT,,,,
Marina da Lixa,,,,,PT,,,,
Marina da Afurada,,,,,PT,,,,
União Construtora Naval,,,,,PT,,,,Werften
Marina do Freixo,,,,,PT,,,,
Marina do Gameiro,,,,,PT,,,,
Terminal Multiusos do Beato,,,,,PT,,,,
Clube Naval da Nazaré,,,,,PT,,,,
Cais de Alqueva,,,,,PT,,,,
Alquevatours,,,,,PT,info@alquevatours.com,,,
Embarcadouro,,,,,PT,,,,
Cais do Campinho,,,,,PT,,,,
Marina de Angra,,,,Angra do Heroismo,PT,,,,
São Martinho do Porto,,,,,PT,,,,
Marina de Vila do Conde,,,,,PT,,,,
Doca de Vila do Conde,,,,,PT,,,,
Douro Marina,,,,,PT,,,http://douromarina.com,
Cais Ancoradouro da Luz,,,,,PT,,,,
Marina da Afurada,,,,,PT,,,,
Porto de Pesca da Nazaré,,,,,PT,,,,
Porto Velho,,,,,PT,,,,
Cais da Senhora da Cabeça,,,,,PT,,,,
Marina de Cristelo Covo,,,,,PT,,,,
Titã do Molhe Norte do Porto de Leixões (parcialmente desmantelado),,,,,PT,,,,
Cais do Ferrão (Norte),Ferrão,,5085-207 Covas do Douro,Sabrosa,PT,,,,
BBDouro Sailing Academy,,,,,PT,,,,
Marion 2,,,,,PT,,,,
Cais de Rio Mau,,,,,PT,,,,
Cais Torreira,,,,,PT,,,,
Cais Palafítico do Samouco,,,,,PT,,,,
Clube Naval da Horta,,,,,PT,,,,
West Coast i,,,,,PT,,,,Beschläge;Bootszubehör;Tauwerk
Garraio equipamentos,,,,,PT,,,https://www.jgarraio.pt,Beschläge;Bootszubehör;Tauwerk
Cais de Monte Fidalgo,,,,,PT,,,,
Titã do Molhe Sul do Porto de Leixões,,,,,PT,,+351 229 990 700,https://titan-apdl.pt/,
Laurel,,,,,PT,,,,Werften
Porto Abrigo,,,,Albufeira,PT,,,,
Fluvina de Valada,,,,,PT,,,,
Gasopesca,,,,,PT,,,,Beschläge;Bootszubehör;Tauwerk
Sea way,,,,,PT,,,https://siroco-nautica.pt/,Beschläge;Bootszubehör;Tauwerk
Edificio Infante D. Henrique,,,,,PT,,,,
Porto da Palha,,,,,PT,,,,
Portinho da Gâmbia,,,,,PT,,,,
Marina da Torreira,,,,,PT,,,,
Southwest Boats,,,,,PT,,,,Beschläge;Bootszubehör;Tauwerk
Luxury Charter Madeira - Private Yacht Rental,,,,,PT,luxurychartermadeira@gmail.com,(+351) 291 280 600,https://luxurychartermadeira.pt,
"Nautifish, lda - Loja Náutica e Pesca Online",Rua Major Neutel de Abreu,116,3260-427,Figueiró dos Vinhos,PT,,+351236628235,,Beschläge;Bootszubehör;Tauwerk
Marina de Pombal,,,,,PT,,,,
Guindastre,,,,,PT,,,,
Doca das Três Marias,,,,,PT,,,,
Marina da Calheta,,,,,PT,,,,
Porto de Pesca,,,,,PT,,,,
Marina do Clube de Vela Costa Nova,,,,,PT,,,,
Marina Clube da Gafanha,,,,,PT,,,,
