Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Тисин цвет,,,,,RS,,,,
Међународна марина Апатин,,,,,RS,,,,
Sportboothafen Apatin,,,,,RS,,,,
Yachtclub Liman,,,,,RS,,,,
Марина „Храбро срце”,,,,,RS,,,,
Марина Кладово,,,,,RS,,,,
Марина Ковин,,,,,RS,,,,
Свети Никола,,,,,RS,,,,
Академски једриличарски клуб Београд,,,,,RS,,,,
Сремски Карловци,,,,,RS,,,,
Anchorage for Path 2,,,,,RS,,,,
Градиште,,,,,RS,,,,
Marina,Тиска,,,,RS,,,,
Иван Милушинович,,,,,RS,,,,
Daska Veslo,,,,,RS,,,,
Технонаутика,,,,,RS,,,https://tehnonautika.rs/kontakt/,Beschläge;Bootszubehör;Tauwerk
Стенка,,,,,RS,,,,
Марина Дорћол,,,,,RS,,,http://www.engel-marina-dorcol.com/,
Ада,,,,,RS,,,http://www.adaciganlija.rs/page/home/ci/marina.html,
Вајс,,,,,RS,,,,
Goga Yachting Club,,,,,RS,,,https://www.gogaclub.com/,
Nautec,,,,,RS,,,http://www.nautec.rs,
Колорит,,,,,RS,,,http://marinakolorit.com/,
Савска оаза,,,,,RS,,,,
Једриличарски клуб „Земун”,,,,,RS,,,https://www.jkz.rs/,
СРД „Дунав” Земун,,,,,RS,,,,
4. јули,,,,,RS,,,,
Војна марина,,,,,RS,,,,
Наутички клуб ММ,,,,,RS,,,,
Nautički klub Gardoš,,,,,RS,,,,
