Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Slottshamnen,,,,,SE,,,,
Mälar Marinan,,,,,SE,,,,
Fiskehamnen,,,,,SE,,,,
Käppalahamnen,,,,,SE,,,,
Preem - Stavsnäs Macken,,,,,SE,,+46-8-57151143,https://www.preem.se/,
Hovetorps båtklubb,,,,,SE,,,,
Sigtuna båthamn och gästhamn,,,,,SE,,,https://www.sigtunabk.se,
Lövskär småbåtshamn,,,,,SE,,,,
Uppsala gästhamn,,,,,SE,,,,
Västerhammen,,,,,SE,,,,
Gästhamnen,,,,,SE,,,,
Hovås hamn,,,,,SE,,,,
Laholm hamn,,,,,SE,,,,
Småbåtshamn,,,,,SE,,,,
Norra hamnen,,,,,SE,,,,
Torviks båtklubb,,,,,SE,,,,
AB Lidingövarvet,,,,,SE,,,,
Killingsholmens Marina,,,,,SE,,,http://www.grefab.se/killingsholmen/start,
Inre Saltholmen,,,,,SE,,,https://goteborg.se/wps/portal/enhetssida/grefab/hamnar/saltholmen,
Hönsäter Hamn,,,,,SE,,,http://www.hallekisbatklubb.se,
BBK,,,,,SE,,,,
Bosö varvet,,,,,SE,,,,
Lidingö Båtklubb,Klubbvägen,1,181 42,,SE,info@lidingobatklubb.se,,https://www.lidingobatklubb.se/,
Velamsunds båtklubb,,,,,SE,,,http://velamsundsbk.se/,
Talluddens båtsällskap,,,,,SE,,,,
ESK,,,,,SE,,,,
USS,,,,,SE,,,,
UMS,,,,,SE,,,,
Arilds hamn,,,,,SE,arildshamnkapten@arild.se,+46-703 85 56 55,http://www.arild.se/page%203.html,
Småbåtshamn,,,,,SE,,,,
Bua Hamn,,,,,SE,info@batfjordenshamn.se,+46-340-66 16 02,http://www.batfjordenshamn.se/,
Småbåtshamn,,,,,SE,,,,
Fotö gästhamn,,,,,SE,,,http://www.fotoorad.se/,
Morarnas Batklubb,,,,,SE,,,,
Vadviken,,,,,SE,,,,
Fiskarhamnen,,,,,SE,,,,
Skeatångens hamn,,,,,SE,,,,
Talluddens båtsällskap,,,,,SE,,,,
Sticklinge Udde Båtklubb,,,,,SE,,,https://www.subwebben.se/,
Österhamnen,,,,,SE,,,,
Norrbergshamnen,,,,,SE,,,,
Framnäshamnen,,,,,SE,,,http://www.framnashamnen.se/,
Breviks brygga,,,,,SE,,,,
Fliskärsvarvet,,,,,SE,,,http://www.fliskarsvarvet.se/,
