Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Luka Sailor,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Luka Koper,,,,,SI,,,,
Navtika Cizej d.o.o.,Kopitarjeva ulica,8,2000,Maribor,SI,info@navtika-cizej.si,+386 2 228 23 30,http://www.navtika-cizej.si,Beschläge;Bootszubehör;Tauwerk
Blumar d.o.o.,Vrhovlje,1,6221,Dutovlje,SI,,,https://www.blumar.si/,Werften
Whaly Čolni,Kersnikova ulica,6,1000,Ljubljana,SI,,,https://whaly-boats.si/,Beschläge;Bootszubehör;Tauwerk
Mandrač Molet / Mandracchio Moleto,,,,,SI,,,,
Pletnarska marina,,,,,SI,,,,
Marina for disabled persons,,,,,SI,,,,
Kajak klub,,,,,SI,,,,
STRAVS SAILS - Jadrarna Seaway Portorož d.o.o.,,,,,SI,,,,Segelmacher
Stal Mar d.o.o.,,,,,SI,,,,Beschläge;Bootszubehör;Tauwerk
Marine System d.o.o.,,,,,SI,,,,Beschläge;Bootszubehör;Tauwerk
C&G NAVIGATOR PTUJ d.o.o.,Ormoška cesta,29,2250,Ptuj,SI,info@navigator-ptuj.si,+386 51 238 901,https://www.navigator-ptuj.si/,Beschläge;Bootszubehör;Tauwerk
Zidgrad,,,,,SI,,,,
Škver,,,,,SI,,,,Werften
Marina Portorož,Cesta Solinarjev,8,6320,Portorož,SI,marina.portoroz@marinap.si,+386 5 6761200,https://www.marinap.si/,
Marina Koper,,,,,SI,,,https://www.marina-koper.si/,
Jadralni klub Pirat,Obala,7,6320,Portorož,SI,,,https://www.klub-pirat.si/,
AsBoats,Turnerjeva ulica,2,2313,Fram,SI,,,https://www.as-boats.si/si/kontakt/,Beschläge;Bootszubehör;Tauwerk
Marina Ranca,,,,,SI,,,,
Pristanišče Piran,,,,,SI,,,https://okoljepiran.si/dejavnosti/sektor-turisticne-infrastrukture-2/pristanisca/,
Pristanišče Koper / Porto di Capodistria,,,,,SI,,,,
Marina Izola / Marina Isola,,,,,SI,,,https://www.marinaizola.com/,
Bernardin,,,,,SI,,,https://www.hoteli-bernardin.si/si/dozivetja/marina-bernardin,
Pristanišče Portorož,,,,,SI,,,,
Pristanišče Sveta Katarina,,,,,SI,,,,
Mandrač Valdoltra / Mandracchio di Valdoltra,,,,,SI,,,,
Pomol Adria Ankaran,,,,,SI,,,,
Mandrač Badaševica,,,,,SI,,,,
Javni zavod Krajinski park Strunjan,,,,,SI,,,https://parkstrunjan.si/privezna-mesta/,
Javni zavod Krajinski park Strunjan,,,,,SI,,,https://parkstrunjan.si/privezna-mesta/,
GEPŠ in FPP,,,,,SI,,,,
Droga,,,,,SI,,,,
Mala Zaka,,,,,SI,,,,
Velika Zaka,,,,,SI,,,,
Blejski otok - Severna stran,,,,,SI,,,,
Pristan za pletne Mlino,,,,,SI,,,,
Pristanišče na Špici,,,,,SI,,,https://www.lpt.si/plovba/pristanisce-na-spici,
