Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Riečny prístav Ladmovce,,,,,SK,,,,
Požičovňa lodí,,,,,SK,,,,
Prístav Skalica,,,,,SK,,,http://prvaplavebna.sk/,
Prístav č. 2,,,,,SK,,,,
Mlynčok,,,,,SK,,,,
Patince,,,,,SK,,,,
Prístav č. 1,,,,,SK,,,,
Gbely - Adamov,,,,,SK,,,https://www.gbely.sk/mesto/navstevnik/zaujimave-lokality/adamovske-jazera-raj-dovolenkarov-24sk.html,
Dani & Kati Marine,,,,,SK,,,,
YACHTSHOP.SK,Stará Vajnorská,15A,,Bratislava,SK,,,https://yachtshop.sk/,Beschläge;Bootszubehör;Tauwerk
Yacht club Ružomberok,,,,,SK,,,,
Prístav Pltí,,,,,SK,,,https://www.pltnictvo.sk/,
Slnečný Lúč,,,,,SK,,,,
Medvedia hora,,,,,SK,,,,
Lodenica,,,,,SK,,,,
Marina YACHTER CLUB Modrá Čajka,,,,,SK,modracajka@yachter.sk,,https://yachter-cajka.sk,
Lodenica Zálesie,,,,,SK,lodenicazalesie@gmail.com,+421 949 277 761,http://lodenicazalesie.sk/,
Prístav Pltí,,,,,SK,,,,
VDG Yacht Centrum,,,,,SK,,,,
Prístavisko Gajary,,,,,SK,,,,
Lodenica Sigord,,,,,SK,,,,
Zimný prístav Komárno,,,,,SK,,,,
Prístav lodenice Komárno,,,,,SK,,,,
Gleistein Slovakia - laná,,,,,SK,,+421 (32) 7417910,https://www.gleistein.com/,Segelmacher
Muziker BOATS & MOTO,,,,,SK,bratislava@muziker.boats,+421 2 581 017 80,https://www.muziker.sk/muziker-boats-moto-bratislava,Beschläge;Bootszubehör;Tauwerk
Prístav Viničky,,,,,SK,,,,
ProYacht s.r.o.,,,,,SK,info@pro-yacht.sk,+421 905 628 687,https://www.pro-yacht.sk/,Beschläge;Bootszubehör;Tauwerk
Jachtárske stredisko mládeže,,2751,04012,Košice,SK,,,,
DYC Marína - Prístavisko Jarovce,,,,,SK,,,http://www.dycmarina.sk/pristavisko-jarovce.html,
YACHT CLUB HM,,,,,SK,yachtclub@szm.sk,+ 421 903 254 478,http://yachtclub.szm.com,
Yacht club Ružomberok,,,,,SK,,,,
DYC Marína - Prístavisko Čunovo,,,,,SK,,,http://www.dycmarina.sk/pristavisko-cunovo.html,
Marina,,,,,SK,,,,
Prístav pltí Červený kláštor,,,,,SK,,,https://pltnici.sk/,
Prístav pltí pri chate Pieniny,,,,,SK,,,,
Prístav Vysoká pri Morave,,,,,SK,,,,
Lodenica Hliník nad Hronom,,,,,SK,,,https://regiongron.sk/lodenica-hlinik-nad-hronom/,
Štrkovecká Lodenica,,,,,SK,,,,
Královský prístav,,,,,SK,,,,
