Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Netsel Marina Marmaris,,,,,TR,,,,
Marti Marina Jetty,,,,,TR,,,,
D-Marin Göcek,,,,,TR,,,,
My Marina Yacht Club,,,,,TR,,,,
Club Marina Göcek,,,,,TR,,,,
Kumlubükü Yacht Club Hollandali Ahmet'in Yeri,,,,,TR,,,,
Palamutbükü Liman,,,,,TR,,,,
Port of Fethiye,,,,,TR,,+90 252 614 1187,https://www.fethiye.bel.tr/,
Marti Marina,,,,,TR,,,,
Port Akdeniz,,,,,TR,,+90 242 259 1380,http://www.portakdeniz.com/,
Alemdar Limanı,,,,,TR,,+90 262 754 7600,,
Botas (Ceyhan) Oil Terminal,,,,,TR,,+90 322 355 1700,https://www.botasint.com/,
Dikili Limanı,,,,,TR,,+90 232 671 4400,https://portofdikili.com,
Port of Fatsa,,,,,TR,,+90 452 423 4338,,
Finike Limanı,,,,,TR,,+90 242 855 3787,,
Port of Giresun,,,,,TR,,+90 454 216 1490,,
İçdaş Limanı,,,,,TR,,+90 286 364 5800,https://www.icdas.com.tr/,
Port of Inebolu,,,,,TR,,+90 366 811 4016,,
Port of Samsun,,,,,TR,,+90 362 445 1656,,
Port of Iskenderun,,,,,TR,,+90 326 614 0044,http://www.tcdd.gov.tr,
Port of Istanbul,,,,,TR,,+90 212 252 2100,https://www.tdi.com.tr/,
Zeytinburnu Limanı,,,,,TR,,+90 212 679 9001,https://zeyport.net/,
Port of Zonguldak,,,,,TR,,+90 372 252 1031,,
Trabzon Limanı,,,,,TR,,+90 462 321 1156,,
Sinop Limanı,,,,,TR,,+90 368 261 7155,,
Marmaris Yacht Marina A.Ş,,,,,TR,,,,
İzmit Yat Limanı,,,,,TR,,,,
Marmaris Albatros Marina,,,,,TR,,,,
Bozburun Marina,,,,,TR,,,,
Antalya Yat Limanı / Old Harbor,,,,,TR,,,,
Selimiye,,,,,TR,,,,
Çamburnu Limanı,,,,,TR,,,,
Konacik,,,,,TR,,,,
Kas Marina,,,,,TR,,,,
Poyrazköy Limanı,,,,,TR,,,,
Yalıköy Balıkçı Barınağı,Bolaman-Perşembe Sahil yolu,,,Ordu,TR,,,,
Kışlaönü Balıkçı Barınağı,,,,,TR,,,,
Adaköy Marina,Adakoy Yolu,108,48700,Marmaris,TR,info@adakoymarina.com,+90 533 033 5900,https://adakoymarina.com,
Marina,,,,,TR,,,,
Ece Marina,,,,,TR,,,,
Teos Marina,,,,,TR,,,,
Gazipaşa Gold Marina,,,,,TR,,+90 530 663 07 87,,
Marinturk Göcek Village,,,,,TR,,,,
Yes Marina,,,,,TR,,,,
D-Marin,,,,,TR,,,,
İbrice Limanı,,,,,TR,,,,
Büyükkumla İskelesi,,,,,TR,,,,
Akçakoca Limanı,,,,,TR,,,,
Güzelçamlı Limanı,,,,,TR,,,,
Ulaşlı Limanı,,,,,TR,,,,
2. Liman,Siteler Mh.,,35310,Izmir,TR,,,,
Municipality Marina,,,,,TR,,,,
Skopea Marina Göcek,,,,,TR,,,,
D-Marin Didim Yacht Club,Çamlık Mah. Paşa Cad.,4/A,09270,Aydın,TR,,,,
D-Marin Didim Marina,Çamlık Mah. Paşa Cad.,4/A,09270,Aydın,TR,,,,
Yeşilyurt Liman İşletmeleri,,,,,TR,,,,
Terme Liman,,,,,TR,,,,
Tersane,,,,,TR,,,,Werften
Kefken Limanı,,,,,TR,,,,
Çebi Tersanesi,,,,,TR,,+90 462 752 26 52,https://cebitersanesi.com/,Werften
Burhaniye Yat Limanı,,,,,TR,,,,
West Marine,,,,,TR,,,,Beschläge;Bootszubehör;Tauwerk
Eastmarine,,,,,TR,,,,Beschläge;Bootszubehör;Tauwerk
Bodrum Yachting,,,,,TR,bodrum@bluecruisebodrum.com,+90 532 355 99 86,https://www.bluecruisebodrum.com/,
Küçük Liman,,,,,TR,,,,
Bayramoğlu Marina Yat Limanı,,,,,TR,,,,
Lapseki Limanı,,,,,TR,,,,
MARTI Marina & Yacht Club,,,,,TR,,,,
Akçay Yat Limanı,,,,,TR,,,,
Ship Art,Turan Güneş Caddesi,,,İstanbul,TR,,,,Beschläge;Bootszubehör;Tauwerk
Datça Limanı,,,,,TR,,,,
Davutlar Limanı,,,,,TR,,,,
Kapi Creek,,,,,TR,,,,
Ufuk Marin,,,,,TR,,,,Werften
İğneada Limanı,,,,,TR,,,,
Paşalimanı,,,,,TR,,,,
Büyükliman,,,,,TR,,,,
İzmir Marina,,,,,TR,,,,
Kurucu Vinç,,,,,TR,,,,
İzmir Marina,,,,,TR,,,,
Yeniçağa İskelesi,,,,,TR,,,,
Blues Aqua,,,,,TR,,,,Beschläge;Bootszubehör;Tauwerk
Ertaç Team Marine,,,,,TR,,,,Beschläge;Bootszubehör;Tauwerk
Şengün Gemi Sanayi,,,,,TR,,+90 462 752 20 60,https://www.sengungemi.com.tr/,Werften
Başaran Gemi Sanayi,,,,,TR,,+90 462 752 20 24,https://www.basarangemi.com.tr/,Werften
Memiş Usta Gemi Sanayi,,,,,TR,,+90 530 964 1784,https://memisustagemi.com/,Werften
Ergün Gemi Sanayi,,,,,TR,,+90 462 752 20 39,https://ergungemi.com.tr/,Werften
Aksoy Gemi Sanayi,,,,,TR,,+90 462 752 20 54,https://www.aksoygemi.com.tr/,Werften
Erhan Gemi Sanayi,,,,,TR,,+90 462 752 2203,,Werften
Seabob Center,,,,,TR,,,,Beschläge;Bootszubehör;Tauwerk
İBB,,,,,TR,,,,
bilinmiyor,,,,,TR,,,,
Karacasöğüt,,,,,TR,,,,
Mai Sun City,,,,,TR,,,,
Güzelyalı Yat Limani,,,,,TR,,,,
Hereke Yat ve Tekne Limanı,,,,,TR,,,,
Yat park yeri,,,,,TR,,,,
Kurucaşile Limanı,,,,,TR,,,,
Joker Marine Store,,,,,TR,,,http://www.jokermarine.com/,Beschläge;Bootszubehör;Tauwerk
Atlas Teknik,,,,,TR,,,,Motor;Werften
Tirilye Limanı,,,,,TR,,,,
Vinç Sepetim,,,,,TR,,,,
İskenderun Balıkçı Barınağı,,,,,TR,,,,
Armutlu Devlet Limanı,,,,,TR,,,,
İnşaat Vinci,,,,,TR,,,,
Güzelce Marinası,,,,,TR,,,,
Akliman,,,,,TR,,,,
Yalıkavak Marina,,,,,TR,,,https://yalikavakmarina.com.tr/,
Kemer Marina,,,,,TR,,,,
Yelken Kulübü,,,,,TR,,,,
D-Marin Turgutreis,Gazi Mustafa Kemal Bulv.,24,48400,Muğla,TR,,,https://www.d-marin.com/en/marinas/turgutreis/,
Setur Fenerbahçe Marina,,,,,TR,,,,
Bostancı Kayıkçı Limanı,,,,,TR,,,,
Setur Kalamış Marina,,,,,TR,,,,
Ataköy Marina,,,,,TR,,,,
Marintürk İstanbul City Port,,,34890,İstanbul,TR,,+90 216 524 15 70,https://www.marinturk.com.tr/,
Ayvalık Marina,,,,,TR,,,,
Bandırma Balıkçı Barınağı,,,,,TR,,,,
Kaş Limanı,,,,,TR,,,,
Albatros Marina,,,,,TR,,,,
Ereğli Limanı,,,,,TR,,,,
Tarabya Marina,,,,,TR,,,,
İstinye Marina,,,,,TR,,,,
Mersin Çamlıbel Yat Limanı,İsmet İnönü Bulvarı,,,Mersin,TR,,,,
Amasra Tarlaağzı Limanı,,,,Amasra / Bartın,TR,,,,
West İstanbul Marina,,,,,TR,marina@westistanbulmarina.com,+90 212 850 22 00,https://www.westistanbulmarina.com/,
Eskihisar Balıkçı Barınağı,,,,,TR,,,,
Bostanlı Barınağı,,,,,TR,,,,
Plus Watersports,,,,,TR,,,,
Kumkuyu Marina Limanı,,,,,TR,,,,
Bozyazı Limanı(Yoğun Duvar),,,,,TR,,,,
Özdere Limanı,,,,,TR,,,,
Trabzon Yat Limanı,,,,,TR,,,,
Sürmene Tersaneleri,,,,,TR,,,,Werften
Milta Bodrum Marina,,,,,TR,,,,
Milta Bodrum Marina,,,,,TR,,+90 252 316 1860,,
Yelken Klübü,,,,,TR,,,,Segelmacher
Cumhurtiyet Kayıkhane,,,,,TR,,,,
Pendik Marina,,,,,TR,,,,
Setur Marina,,,,,TR,,,,
İasos Yat Limanı,,,,,TR,,,,
Mersin Marina,,,,,TR,,,,
Erdemli Marina,,,,,TR,,,,
Caddebostan Marina,,,,,TR,,,,
Kardeşler Denizcilik,,,,,TR,,,,Kran;Werften
Pendik Balıkçı Barınağı,,,,,TR,,,,
Alanya Marina,,,,,TR,,,,
Didim-Akbük Balıkçı Barınağı,,,,,TR,,,,
Çayağzı,,,,,TR,,,,
Bandırma Liman Sahası,,,,,TR,,,,
Akkok Marine Motors,,,,,TR,,,,Werften
Mordoğan Limanı,,,,,TR,,,,
Abana Limanı,,,,,TR,,,,
İlişi Limanı,,,,,TR,,,,
Misakça Limanı,,,,,TR,,,,
Sefine Tersanesi,,,,,TR,,,,Werften
STS rıhtım vinci 4,,,,,TR,,,,
STS rıhtım vinci 3,,,,,TR,,,,
STS rıhtım vinci 2,,,,,TR,,,,
STS rıhtım vinci 1,,,,,TR,,,,
Kurşunlu Yat Limanı,,,,,TR,,,,
Ahlat Yat Limanı,,,,,TR,,,,
Oasis Marina Yeni Foça,,,,,TR,,,,
KOCAELİ SERBEST BÖLGE,ARPALIK CADDESİ,,,KOCAELİ,TR,info@kosbas.com.tr,+90 0262 341 38 41,https://www.kosbas.com.tr/,Werften
Yeşilköy Marina,,,,,TR,,,,
Yarımca Yat&Tekne Barınağı,,,,,TR,,,,
DOĞAL TAŞ MARKET,,,,,TR,,,,
Halıdere Tekne ve Yat Barınağı,,,,,TR,,,,
Tavşancıl Sandal & Kayık Barınağı,,,,,TR,,,,
RTG 1,,,,,TR,,,,
RTG 2,,,,,TR,,,,
RTG 3,,,,,TR,,,,
RTG 4,,,,,TR,,,,
RTG 5,,,,,TR,,,,
RTG 6,,,,,TR,,,,
RTG 7,,,,,TR,,,,
RTG 8,,,,,TR,,,,
RTG 10,,,,,TR,,,,
RTG 11,,,,,TR,,,,
RTG 9,,,,,TR,,,,
Setur Marinas Yalova,,,,,TR,,,https://cbs.yalova.bel.tr/GiSoftGis/#/cityguidepublic,
ICT SHIPYARD Vinç,,,,,TR,,,,
Erkuş Max 15 Ton,,,,,TR,,,,
Erkuş Max 10 Ton,,,,,TR,,,,
Arnikon Max 40 Ton,,,,,TR,,,,
Demag Max 40 Ton,,,,,TR,,,,
Özfahtihler Max 30 Ton,,,,,TR,,,,
İstanbul Büyükşehir Belediyesi,,,,,TR,,,,
İstanbul Büyükşehir Belediyesi,,,,,TR,,,,
Bülbüloğlu Max 5 TonBülbüloğlu Max 5 Ton,,,,,TR,,,,
Marmara Max 5 Ton,,,,,TR,,,,
Bülbüloğlu Max 5 Ton,,,,,TR,,,,
Bülbüloğlu Max 5 Ton,,,,,TR,,,,
Özfatihler Max 15 Ton,,,,,TR,,,,
Ceylan Max 5 Ton,,,,,TR,,,,
Ceylan Max 10 Ton,,,,,TR,,,,
Kümsan Max 10 Ton,,,,,TR,,,,
Bülbüloğlu Max 5 Ton,,,,,TR,,,,
Elkon Max 5 Ton,,,,,TR,,,,
Erkuş Max 40 Ton,,,,,TR,,,,
Özfatihler Max 15 Ton,,,,,TR,,,,
Demag Max 15 Ton,,,,,TR,,,,
Özfatihler Max 80 Ton,,,,,TR,,,,
Marmara Max 5 Ton,,,,,TR,,,,
İstanbul Büyükşehir Belediyesi,,,,,TR,,,,
bina,,,,,TR,,,,
Bülbüloğlu Max 5 Ton,,,,,TR,,,,
Bülbüloğlu Max 5 TonBülbüloğlu Max 5 Ton,,,,,TR,,,,
Amasra Büyük Limanı,,,,,TR,,,,
Çeşme Marina,,,,,TR,,,,
