Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
Золотой символ,,,,,UA,,,,
Нижні Сади - 2,,,,,UA,,,,
РОП,,,,,UA,,,,
Річний порт,,,,,UA,,,,
Енергетик,,,,,UA,,,,
"Причал ""Остер""",,,,,UA,,,,
Яхт-клуб Одеського морського торгового порту,,,,,UA,,,,
СКР 3500ЭМ,,,,,UA,,,,
Радуль,,,,,UA,,,,
Гавань річкового порту,,,,,UA,,,,
Гавань ЧСЗ,,,,,UA,,,,
Каботажна гавань,,,,,UA,,,,
Причал,,,,,UA,,,,
БК-1000,,,,,UA,,,,
КБ-674,,,,,UA,,,,
ДЕК-25Г,,,,,UA,,,,
Моби-Дик,,,,,UA,,,,
57 яхт клуб Черноморского флота,,,,,UA,,,,
Малий порт,,,,,UA,,,,
Порт острова Зміїний,,,,,UA,,,,
Земснаряд,,,,,UA,,,,
Пристань,,,,,UA,,,,
YACHT CHARTER,,,,,UA,,,,
"Човнова станція ""Ластівка""",,,,,UA,,,,
Luxeon,,,,,UA,support@stabilizator-lux.com.ua,+380 99 666 8838,http://www.luxeon.ua,
"""Юниор""",,,,,UA,,,,
Рентяхтинг - аренда яхт,,,,,UA,,,,
Причал № 1,,,,,UA,,,,
ФлайБро водные развлечения,Алупкинское шоссе,12А,,,UA,,+79104557945,http://crimea.flybro.ru,Beschläge;Bootszubehör;Tauwerk
Радуль,,,,,UA,,,,
Баргузин,,,,,UA,,+380 67 868 5877,,
Прип'ятський вантажний порт,,,,,UA,,,,
Нібулон,,,,,UA,,,,
Нібулон,,,,,UA,,,,
Нібулон,,,,,UA,,,,
Нібулон,,,,,UA,,,,
Прохорівка,,,,,UA,,,,
Келеберда,,,,,UA,,,,
Яхт-клуб «Білі крила»,,,,,UA,,,,
«Maxim marine»,,,,,UA,,,,
"Яхт клуб ""Стеблеєвський""",,,,,UA,,,,
BARK,Набережне шосе,25,,,UA,,+380 63 851 3506,https://bark.kiev.ua/,Beschläge;Bootszubehör;Tauwerk
"Причал 380 ""Скадовськ-Марина""",,,,,UA,,,,
Причал № 2,,,,,UA,,,,
Причал № 3,,,,,UA,,,,
Яхт-клуб Січ,,,,,UA,,,,
Укрзалізниця,,,,,UA,,,,
Укрзалізниця,,,,,UA,,,,
Золотой пляж,,,,,UA,,,,
Легіон Моторс,,,,,UA,legionmotors.com.ua@gmail.com,+380 73 08 30 102,https://legionmotors.com.ua/,Beschläge;Bootszubehör;Tauwerk
"Човновий причал №5 ""Судобудівник""",,,,,UA,,,,
Човновий причал №9,,,,,UA,,,,
BRP,,,,,UA,,,https://www.brpcentre.kuev.ua,Beschläge;Bootszubehör;Tauwerk
ABC Motors,вулиця Петра Калнишевського,16,,,UA,,,https://motor.com.ua,Beschläge;Bootszubehör;Tauwerk
Рибальські снасті,,,,,UA,,,,Beschläge;Bootszubehör;Tauwerk
Приток Свинний,,,,,UA,,,,
Кран (демонтований),,,,,UA,,,,
"Руїни причалу ""Русанівські Сади""",4-та Садова вулиця,1,,,UA,,,,
Яхт-клуб “Порт Львів”,,,,,UA,,,,
Sirka Sport,,,,,UA,,,,
козловий кран,,,,,UA,,,,
Кіль,,,,,UA,,+380 99 434 6658;+380 96 801 9010;+380 98 270 2211,http://keel.com.ua/,Beschläge;Bootszubehör;Tauwerk
Яхт-клуб «Південний»,,,,,UA,,,https://www.nau.edu.ua/ru/Structure/NSOC/Yachtclub/,
Яхт-клуб «Стугна»,,,,,UA,,,http://stugna-club.org.ua/,
Київський міський крейсерський яхт-клуб,,,,,UA,,,http://yachtclub.kiev.ua/,
Рибалка,Макарова вулиця,2а,,,UA,,,,Kran;Werften
Лодочна станція,,,,,UA,,,,
Bartolomeo,,,,,UA,,,https://bartolomeo.com.ua/yacht-club,
Причал водних велосипедів,,,,,UA,,,,
"Яхтклуб ""ЮГ""",,,,,UA,,,,
Южненський яхт-клуб,,,,,UA,,,,
Кран КП-640 (ГП 640 тонн),,,,,UA,,,,
Товариство човнярів «Ветеран»,,,,,UA,,,,
Судоверфь Валм,Ангарская улица,24,,Севастополь,UA,,+7 (978) 860-83-20,,Werften
Яхт-клуб Посейдон,,7а,,,UA,,,http://www.yachtclub-poseidon.com.ua/,
Адамівка,,,,,UA,,,,
Казачья Бухта,,,,,UA,,,,
Човнова станція,,,,,UA,,,,
Яхт-клуб «Межигір'я»,,,,,UA,,,,
Скадовський морський торговельний порт,,,,,UA,,,,
Маленький причал для лодок,,,,,UA,,,,
Яхт-клуб «Парус»,,,,,UA,parusckua@gmail.com,+380 68 212 5242,https://yachtclub.ck.ua/uk,
Буревісник,,,,,UA,,,,
Сент-Климент,,,,,UA,,,,
Яхт-клуб 243 г,,,,,UA,,,,
Рыбный стан,,,,,UA,,,,
248,,,,,UA,,,,
Човникова станція «Лагуна» (РВП №6),Прирічна вулиця,17/19,,,UA,,+380 44 332 7209,,
Спортивний яхт-клуб «Наталка»,Прирічна вулиця,9,,,UA,denis@natalka-boat.kiev.ua,+380 44 417 0795,http://www.natalka-boat.kiev.ua/,
Яхт-клуб «Оболонь»,Прирічна вулиця,30,,,UA,yahtclub_Obolon@ukr.net,+380 44 411 0311,http://yahtclub.kiev.ua/,
Спуск катерів та човнів на воду,,,,,UA,,,,
Стапель (сухий док),,,,,UA,,,,Werften
Стапель,,,,,UA,,,,Werften
Сухий док,,,,,UA,,,,Werften
Яхт-клуб «Maxim marine»,,,,,UA,,,http://maxmarine.com.ua/eng/,
Комунаровець,,,,,UA,,,,
Яхт-клуб,,,,,UA,,,,
Старий яхт-клуб,,,,,UA,,,,
Верф (корабельня),,,,,UA,,,,Werften
Яхтклуб,,,,,UA,,,,
