Name,Straße,Hausnummer,PLZ,Ort,Land,Email,Telefonnummer,Website,Produktkategorien
SVB-Spezialversand für Yacht- und Bootszubehör GmbH,Gelsenkirchener Str.,25-27,28199,Bremen,Deutschland,info@svb.de,+49 421 57290-0,https://www.svb.de,Bootszubehör;Beschläge;Tauwerk;Rettungsmittel;Elektrik/Elektronik;Etc.
Osculati S.r.l.,Via Pacinotti,12,20054,Segrate (MI),Italien,assistenza@osculati.it,,https://www.osculati.com,Bootszubehör;Beschläge;Tauwerk;Etc.
North Sails GmbH,Harkortstraße,79,22765,Hamburg,Deutschland,webcustomercare@northsails.com,+39 0185 200555,https://www.northsails.com,Segelmacher;Tauwerk;Bekleidung/Accessories;Etc.
Accastillage Diffusion (Strasbourg),Rue de Boulogne,2,67100,Strasbourg,Frankreich,,+33 3 88 41 02 41,https://www.ad-strasbourg.fr,Bootszubehör;Beschläge;Tauwerk;Rettungsmittel;Etc.
Webasto SE (Headquarters),Kraillinger Straße,5,82131,Stockdorf,Deutschland,info@webasto.com,+49 89 85794-0,https://www.webasto.com,Heizung;Klimaanlage;Etc.
Webasto Thermo & Comfort (Superyacht),Friedrichshafenerstr.,9,82205,Gilching,Deutschland,superyacht@webasto.com,+49 89 8579453211,https://www.webasto.com,Heizung;Klimaanlage;Etc.
Eberspächer Gruppe GmbH & Co. KG,Eberspächerstraße,24,73730,Esslingen,Deutschland,info@eberspaecher.com,+49 711 939-00,https://www.eberspaecher.com,Heizung;Klimaanlage;Etc.
Dometic E-commerce AB,Hemvärnsgatan,15,171 54,Solna,Schweden,contact.eu@dometic.com,+49 511 474046-400,https://www.dometic.com,Klimaanlage;Kühlung;Bootszubehör;Etc.
VETUS B.V. (Headquarters),Havenstraat,11,3115 HC,Schiedam,Niederlande,info@vetus.com,+31 88 4884 700,https://vetus.com,Motor;Heizung;Bootszubehör;Etc.
VETUS Service (Grou),Singel,10B,9001 XP,Grou,Niederlande,vetusgrou@vetus.com,+31 566 625 420,https://vetus.com,Motor;Bootszubehör;Etc.
Seldén Mast AB,Redegatan,11,SE-421 21,Västra Frölunda,Schweden,info@seldenmast.com,+46 31 69 69 00,https://www.seldenmast.com,Rigging;Tauwerk;Beschläge;Etc.
Seldén Mid Europe,Noorddijk,4,4318 CA,Brouwershaven,Niederlande,info@seldenmast.nl,+31 111 698 120,https://www.seldenmast.com,Rigging;Tauwerk;Beschläge;Etc.
Seldén Mast Ltd,Lederle Lane,,PO13 0FZ,Gosport,Vereinigtes Königreich,info@seldenmast.co.uk,+44 1329 50 40 00,https://www.seldenmast.com,Rigging;Tauwerk;Beschläge;Etc.
Lalizas Hellas S.A.,D. Gounari,3,18531,Piraeus,Griechenland,supplies@lalizas.com,+30 210 422 6274,https://www.lalizas.com,Rettungsmittel;Sicherheitsausrüstung;Etc.
Plastimo Distribution,Rue Ingénieur Henry Verrière,15,56100,Lorient,Frankreich,contact@plastimo.com,+33 2 97 87 36 36,https://www.plastimo.com,Rettungsmittel;Bootszubehör;Etc.
Bavaria Yachtbau GmbH,Bavariastraße,1,97232,Giebelstadt,Deutschland,info@bavariayachts.com,+49 9334 942 0,https://www.bavariayachts.com,Werften;Service/Werft;Etc.
HanseYachts AG,Ladebower Chaussee,11,17493,Greifswald,Deutschland,sales@hanseyachts.de,+49 3834 8888 000,https://hanseyachts.com,Werften;Service/Werft;Etc.
Royal Huisman Shipyard B.V.,Flevoweg,1,8325 PA,Vollenhove,Niederlande,yachts@royalhuisman.com,+31 527 24 3131,https://www.royalhuisman.com,Werften;Kran/Lift;Service/Werft;Etc.
Sunreef Yachts Shipyard,ul. Tarcice,6,80-718,Gdańsk,Polen,,,https://sunreef-yachts.com,Werften;Service/Werft;Etc.
